"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.541942379232743,NA,3.28181926079196e-13
"mouse_C57BL6",0.541942379232743,1,3.28181926079196e-13,NA
