"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.573745734071726,NA,0
"mouse_C57BL6",0.573745734071726,1,0,NA
