"","other","myeoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","myeoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.623797400885201,0.802734723473434,0.879110686931357,0.959420561147606,0.807092069712306,0.802734723473434,0.763512108912035,0.848250491819416,0.798199113168779,NA,0,0,0,0,0,0,0,0,0
"myeoligo",0.623797400885201,1,0.856804581869247,0.307656982525217,0.762506143383598,0.26231003535951,0.856804581869247,0.215209523948814,0.384276814286522,0.260728458867961,0,NA,0,2.14468756531971e-07,0,1.12663255267265e-05,0,0.000341513320718967,4.88777907037274e-11,1.27771156854806e-05
"mouse_FVN_Swiss",0.802734723473434,0.856804581869247,1,0.425411192461178,0.918302466986899,0.366895159786925,1,0.31806499578933,0.504270439759319,0.361832851334303,0,0,NA,2.00062189037453e-13,0,4.00767419250769e-10,0,7.81647457870349e-08,0,7.22689019738709e-10
"mouse_C57BL6",0.879110686931357,0.307656982525217,0.425411192461178,1,0.729139661181926,0.937287088365904,0.425411192461178,0.908939885976226,0.889954732643484,0.928128664130258,0,2.14468756531971e-07,2.00062189037453e-13,NA,0,0,2.00062189037453e-13,0,0,0
"No_data",0.959420561147606,0.762506143383598,0.918302466986899,0.729139661181926,1,0.61478196233257,0.918302466986899,0.562603188715396,0.759202147763932,0.688418958353359,0,0,0,0,NA,0,0,0,0,0
"5_months",0.807092069712306,0.26231003535951,0.366895159786925,0.937287088365904,0.61478196233257,1,0.366895159786925,0.986106039253637,0.78384888844696,0.774482089927854,0,1.12663255267265e-05,4.00767419250769e-10,0,0,NA,4.00767419250769e-10,0,0,0
"cerebral_cortex",0.802734723473434,0.856804581869247,1,0.425411192461178,0.918302466986899,0.366895159786925,1,0.31806499578933,0.504270439759319,0.361832851334303,0,0,0,2.00062189037453e-13,0,4.00767419250769e-10,NA,7.81647457870349e-08,0,7.22689019738709e-10
"peritoneum",0.763512108912035,0.215209523948814,0.31806499578933,0.908939885976226,0.562603188715396,0.986106039253637,0.31806499578933,1,0.70034986393998,0.755484318306363,0,0.000341513320718967,7.81647457870349e-08,0,0,0,7.81647457870349e-08,NA,0,0
"brain",0.848250491819416,0.384276814286522,0.504270439759319,0.889954732643484,0.759202147763932,0.78384888844696,0.504270439759319,0.70034986393998,1,0.766307983106722,0,4.88777907037274e-11,0,0,0,0,0,0,NA,0
"blood",0.798199113168779,0.260728458867961,0.361832851334303,0.928128664130258,0.688418958353359,0.774482089927854,0.361832851334303,0.755484318306363,0.766307983106722,1,0,1.27771156854806e-05,7.22689019738709e-10,0,0,0,7.22689019738709e-10,0,0,NA
