"","other","myeoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1700047M11Rik",1.81484518942027,5.14925895821188,2.34447759930574,1.76821855186943,2.12201642667587,1.80372772916528,2.34447759930574,2.34907646254322,0.114106607011668,2.72530100391866
"2210011C24Rik",1.11335217134121,5.40457411605774,2.3536713856807,0.564475601883722,1.9083185922577,0,2.3536713856807,0,0.862472496888256,0.943849429139653
"2700046A07Rik",0.765140561474817,4.30981570074931,2.02881877203155,0.102506519646985,1.3326936821962,0.0905382643096449,2.02881877203155,0.0724848875292,0.12502900022005,0.116009997615263
"2810468N07Rik",2.98539744923238,9.88375807123323,5.87942263450847,1.3154204898659,4.49345486383424,0.562829714577473,5.87942263450847,0.237336229387159,2.21889160066531,1.70565049164097
"AC110091.1",0.411791279223218,5.74200587911996,1.61590348161909,0.0244699271139241,1.04503034516121,0.00293749786791089,1.61590348161909,0.00391666382388118,0.0212622805957533,0.0523414895801465
"AC122356.1",0.533769525459508,3.51022864119094,1.29080452118662,0.243421293664716,0.963286473623972,0.0967126969400865,1.29080452118662,0.128950262586782,0.074362317490592,0.54984550713236
"AC140244.1",1.36820542268301,7.884325649746,3.76906101529283,0.0819718075322831,2.45810923339165,0,3.76906101529283,0,0.262309784103306,0
"AC142114.1",3.28188469309538,9.66856306815309,7.49852510071109,0.390659133313843,5.05590443377167,0,7.49852510071109,0,0.204969464921896,1.0451397616824
"AC161763.1",1.8590400392284,4.97975561249444,1.54696859425908,2.52219200023482,1.52854709310172,3.5480745343933,1.54696859425908,3.52121112074006,3.242182527359,0.603378528504332
"Aatk",2.92499035001852,7.95857686026006,4.82954542205941,1.88770297576294,4.06476230179221,1.04901411020128,4.82954542205941,1.19592729449122,1.68266907270578,2.92286769634617
"Abca2",4.48844370624899,9.41430457120816,6.6408795391829,3.22079496055171,5.58937673451379,2.69234309476058,6.6408795391829,3.00740538727002,2.87082522708088,3.82683218196058
