"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.571541309679902,NA,4.13225009765483e-12
"mouse_C57BL6",0.571541309679902,1,4.13225009765483e-12,NA
