"","CellType","Age","Study","Species","Tissue","2700046A07Rik","A930003A15Rik","AC110091.1","AC114543.1","AC116487.3","AC131033.1","AC140244.1","AC161383.1","AC161763.1","Acy3","Adamtsl4","Adap1","Adi1","Adssl1","Ankub1","Anln","Aplp1","Apod","Arsg","Aspa","B3galt5","Car14","Carns1","Cdc42ep2","Cers2","Cldn11","Cldn14","Cmtm5","Cnp","Cntn2","Cryab","Cyp2j12","D7Ertd443e","Dock5","Efhd1","Efnb3","Endod1","Ermn","Fa2h","Gal3st1","Galnt6","Gamt","Gjb1","Gjc2","Gm10687","Gm11453","Gm11954","Gm12193","Gm12326","Gm12390","Gm14516","Gm14808","Gm19439","Gm19963","Gm21168","Gm23814","Gm24803","Gm24978","Gm33594","Gm36961","Gm37774","Gm42495","Gm42500","Gm43494","Gm43653","Gm45405","Gm48395","Gm4974","Gm5067","Gm7424","Gng13","Gng8","Gpr37","Gpr62","Gsn","Hapln2","Hcn2","Hist1h4c","Hist1h4h","Hist1h4i","Hoxd1","Inf2","Insc","Itgb4","Josd2","Kcna1","Kif5a","Klk6","Larp6","Ldb3","Lgi3","Lpar1","Ly6g6f","Mag","Mal","Map6d1","Mbp","Micall1","Mir7688","Mobp","Mog","Ndrg1","Nipal4","Nkain1","Nkx2-9","Nkx6-2","Nmral1","Nol3","Nrtn","Opalin","Padi2","Pdlim2","Phlda3","Pigz","Pla2g16","Plekhb1","Plekhh1","Plp1","Plpp2","Ppp1r14a","Prr5l","Qdpr","Rab37","Rftn1","Rpl31-ps15","S100b","S1pr5","Scd1","Sec14l5","Sept4","Sh3d2c-ps1","Sh3gl3","Shisa8","Slain1","Slc48a1","Slc5a11","Slco3a1","Smim1","Smtnl2","Sp7","Tbc1d9b","Tmem125","Tmem151a","Tmem88b","Tmem95","Tmod1","Tnni1","Tppp3","Tprn","Traj18","Trak2","Trp53inp2","Wfdc18","mt-Atp8","mt-Rnr1"
"astro_SRR1033783","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",3.37787634972155,0,0.00387638372032999,0,0.926465625310051,0.974995728547164,3.20716032181208,0,0,2.20858423307481,2.04512356398268,0.62888883618636,3.94773366515565,0.071152898611589,0.0325621983040444,1.68251972540753,8.14854220361562,0.86778921784774,1.68263216016601,3.84931163208984,1.02518985770522,2.06716138284992,2.06617163415252,2.83981186224447,7.38245704402737,0.534922772476559,0.0342146197303437,8.59174980883446,6.84170687800697,0.252329681336383,4.76933557356751,0.00926099124231364,0.00646978933389108,0.277971652556893,4.00120772858001,5.37028179981792,4.29291151044429,0.0492876928539472,0.0471185626627634,0.249589097235478,0.0408059678622521,5.64783504752758,0,1.3306362448416,1.34098408530901,0,0.825341908461257,0,1.32810287574322,0.74727595711728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61681842389979,0,0,0.341426986073163,0,0.445160402106326,0.85734806434998,3.83041906105805,2.09442481336687,1.93909581786737,0.453583385707263,2.28084234615686,0.409854206913065,2.75107288583474,3.25147056523671,0,4.62332715672283,0,0.223871158564558,5.52316632024731,0,2.8050545409973,0,0.729040078422736,0.308811418930814,4.49253680757015,0.921954338508139,0,1.14959524882806,0.982375221872135,3.06990939381659,0.77566805005921,2.63116283562573,0,0.0946733310688507,0.117893500878829,0.263564071625025,0.0621714641864817,1.36145453532434,0,0.558146983424717,2.86545139406427,0.550412049202664,0.0613083509672064,0,1.41480633342804,1.79127578882153,3.91689885435647,1.28443359732241,3.1544136806311,4.99537650249198,1.33881761173976,3.63775152880902,0.822096307230968,0.310104271093662,0.1672768887934,2.15026509128021,0.228014684069975,0.0613609871934133,2.19917404140963,4.81815425597928,0.314410565984129,8.52485703298479,0.019226431319423,5.68029625458842,0,0.114621948586615,2.65736922758845,1.71640324418101,6.94872901622513,0.282792208926421,0.09684968216198,2.3938557153546,0.322959438051019,0.0362874254269075,4.96568536792495,0,0.287274970242949,3.14746989385372,0.853778349453699,0.0880051083715459,0.37719677235947,5.22746476472188,4.03741781651947,0,4.47561750933429,8.46975168382043,0,0,9.80437474942108
"astro_SRR1033784","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",3.3727882804056,0.0489402168150438,0,0.0247563373544274,1.36162812218011,0,1.68180976341595,0,0,2.52590891947538,2.39856945364239,0.692680776386597,3.89092079646103,0.413741575447882,0.22822172786041,2.38982286413871,7.31159291927805,0.600369336001276,1.31610535796855,3.38176068036748,0.491680425765,1.9578852069494,2.005199654299,2.52003034645022,7.23735823289584,0.254694011105958,0.00405618319337193,8.12768110677245,6.77969699787494,0.228856207912259,3.75180293367599,0,0.00303964744375406,0.154404183480255,3.53374460705279,5.78164625079002,3.42119607214216,0.176922490521969,0.029661051609756,0.154195062004854,0,5.37068061904149,0.184783537725193,0.99428243041997,1.24933362450074,0,0,0,0.558383060493259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196379445761744,0,0,0,0.586106921126894,0,0,0.636024709146255,3.10094710557085,2.41912527709262,2.0905928871676,0,1.44720048482656,0.693059678760296,1.38622578456063,3.11296661897669,0,3.93081490021556,0.0102210759590989,0.301663581107951,5.38947856740958,0.116966750379752,2.82457356638656,0,0.949026780872063,0.329522812482992,3.99032217559874,1.27335358173787,0.0693983323113379,0.195303033288543,0.681051252877806,2.52193012180861,0.32655235206015,2.35541392649984,0,0.0114337780452065,0.137363891892875,0.657089136052445,0.0392122959169474,2.21807058831924,0,0.373574466315397,3.15598823472765,0.384231579886241,0.26749334147686,0,1.17129736701986,1.70202350423357,3.84007556852066,1.43298322232888,3.12547918110563,5.17075166808388,1.51566267170341,3.30830340105061,0.839481658667037,0.0789704984644403,0.313532132648357,2.23126643666993,0.123369303095202,0.0787063330728124,0.743530550738376,3.63852377043295,0.12619817178014,8.85650752359365,0.0534918130348108,4.5017069618256,0,0.115414974004927,3.35646503554184,2.07828811748107,6.22438046354291,0.159309012930237,0.0996357490226223,1.73386286982861,0.465961984769663,0.0340828440043831,4.69046017127028,0,0.408619467475339,2.30873319021683,0.64911273095006,0.0602339024692043,0.184238207957631,6.16017065711747,3.76118224091283,0,4.4744895715677,8.52523507389964,0,0,9.55688389435856
"endo_SRR1033795","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",2.08827547012127,0,0,0,0.149477330731164,1.39982038388026,5.24545255301756,0,0,4.32837555342149,1.14379208516408,0.433909358360101,3.92940041089285,0.153940217791162,0,1.67849117198915,3.07726351817062,6.93533623202631,0.687612771090172,0.0526421866431719,0.032969148838081,4.60731397159828,0.3171781171778,3.83332267467263,6.61417367732499,0.757290735698893,0,1.55289241887589,3.08043188825724,0.0897606658101911,3.52898911018863,0,0,0.389050738157603,0.294254023640559,1.72221629928997,3.27886507439547,0,0,0.0414355026843048,0.072760283729793,4.1994685160389,0,0.143578260631135,1.18464856369308,0,0.40871478199652,0,0,0,0,0,0,0,0.605432206095653,1.08445409485246,0,1.04838247165017,0,0,0,0,0,0,0.0920938237195665,0,0,0,0,0.172124775947819,0,0,0.00661998037737643,0.900885130738882,0.404847276399315,0,4.15973616129326,0.354764338082658,3.54847106450883,3.06855173568136,0,4.52264553045688,0.0153735834491804,0.410287395850304,4.74692383971271,0.0272785164560453,0.611823677855743,0,0.139918200092537,0.0158499006621501,0.25639099671678,0.201992863810842,0,0.0816786652841932,4.52219521258648,0.295376552690492,0.166156365065735,2.10228568669168,0,0.0659281163222178,0.0637180610131226,1.81322305522816,0.0178576164606607,0.0306589979733993,0,0.0474002730706855,1.78503441586035,0.458829146856321,0.266146660666195,0,0.0212382868140642,2.86096703466316,2.75629347048539,0.0400021957796902,2.39239913755676,1.10265301626098,2.10099667372278,0.431171377016997,0.902139731491663,1.7507443286089,1.48633172357446,2.23927789244776,0.0858888286694126,0.662100903156248,1.33570000610082,0.539657422545797,0.029504228706209,1.06680983116303,0,6.41427588378958,0.463945667749378,0.0377692059997235,0.331009881560391,0.0619788452852765,4.27882472574785,0.12680155323077,0.212565222830598,0.600118332709725,0.105718305353885,0,4.29694823163483,0.330857408752293,0.466440091258021,1.88546155010636,0.228028865425205,0.109123755981375,0.0812759747572363,4.21246079336849,2.9968331002227,0,3.76048042972806,5.85100464008715,0,0.641810925088057,11.668324559618
"endo_SRR1033796","other","No_data","GSE52564","mouse_FVN_Swiss","cerebral_cortex",1.83728533510185,0.0223778407942168,0,0,0,0.864857171427779,5.00063129992638,0,0,4.27641702736622,1.18949368668724,0.326107420909258,3.89128063031888,0.181865171960207,0.013935071232181,1.67436270473108,2.84096619220469,6.90645150604042,0.680595593188624,0.10988963387021,0.0195276264924213,4.50499733001315,0.43201638917823,3.82509488210893,6.58154308315726,0.608664046537809,0,1.24381265545435,3.17527909761787,0.0433093526123243,3.61804391161569,0,0,0.29863237402363,0.286121817397799,1.85719915549887,3.24925545430582,0.0211628043801463,0,0.0209124123720269,0.0218315338801982,4.36823097668718,0,0.0425936773377183,1.31620589187639,0,0,0,0,0.365741133154355,0,0,0,0,0.143416933505491,0,0,0,0,0,0,0,0,0,0.0922915187072416,0,0,0,0,0,0,0.044569596153613,0.0522417766698808,0.367047825245104,0.371318224927368,0,3.94201696093329,0.640425592223424,3.77334322329355,3.22513439406636,0,4.37707948959477,0.0245735849778005,0.19250707319529,4.84204960964074,0.156760698703577,0.296513226231405,0,0.0929736526422739,0.0289898823606696,0.182620019212567,0.171823681761632,0.0318544989537081,0.0517007563242193,4.40210465442554,0.191964283128493,0.0828310658238996,1.92990740670223,0,0,0.0762951289213918,1.62535764792002,0.0178969456669362,0.0533489186050187,0,0.0475036046456933,1.76132261213236,1.06092340000878,0.221721212714879,0,0.0106817569482615,3.01411550849534,2.97637598380305,0.091866293339634,2.17837238318029,1.36316953683738,2.07159509709457,0.304477192318861,0.867195240185764,2.47578449601194,1.46445267088327,2.16433897771134,0.088270772254163,0.689853287016155,0.687905058295401,0.304691838228391,0.114804683331674,0.626944963451603,0.0325485600072249,6.52003315694092,0,0.0269645111882422,0.04888066810733,0.0387653059832961,4.31679453824482,0.0390348796707707,0.213513439361938,0.951996567322218,0.260767685746808,0.0155407678178996,4.1185643531942,0.151486937123246,0.523251353604894,1.66261298478419,0.425702232852059,0.111342347355414,0.0362019493845519,4.62210686286836,3.07441667555985,0,3.62677038102527,5.64767963373232,0,0.642958524353387,11.9367661892621
"macrophages_SRR1106141","other","5_months","SRP035309","mouse_C57BL6","peritoneum",0,0,0,0,0,4.91945202155151,0,0,4.10423598392785,4.2393895510826,1.11190160199736,4.38185987512032,4.44414032676572,5.10104834920231,0,2.14630146242269,0,0.370003842126484,2.07472172099658,3.86831406580417,0.0905143506518539,2.78567128521836,0.314917287313629,5.38725338105797,0,0,0.0430683183584297,0,5.67177304029947,0,0.596755272202826,0.17645236838651,0,1.19587892375981,0.370463715953043,0,1.75423975391753,0,0.0784627525186707,0.900864481041674,0.367133863178326,6.33759206079819,0,0,0.288360805894083,0,0,0,0,0,0,0,1.76321745111305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149915127945459,0,1.07684389318641,0,0,0,0,6.09549992047766,0,0.937186114609973,0.0363380849542751,0.4892555841957,6.9673594592197,0,0.194782349210788,0,0.276025955940258,0.0618963881065521,0.439574177125054,0.813063238942588,0,1.02868043035881,0,0,1.28008313736123,0.133803366973723,5.6321634799537,0.22808060788261,0.280989935406211,0.344782954685384,0.374672873285461,0.089395920366593,0,0,4.42546263577092,0,0,0,0.0824981626342569,5.27034487129475,3.66929802585522,1.47773368600549,4.94727363479397,0,0,0,3.35545285926141,0,0.331177318855901,4.82552890713421,0.106842953251322,0.844383976344609,0,0,5.91944591922535,4.41411286152888,0,0.170918793424866,0,0,0,0.200766246178106,4.17705232589859,0.128399823087601,0.0951687366716176,0,0,0,3.29432945704126,0,0,0.709508611651597,0,0.0500459689207941,0,8.52087848124668,2.12760717262888,0,2.34040845587456,1.79753169285544,5.86128649577607,0,3.25533385071959
"macrophages_SRR1106142","other","5_months","SRP035309","mouse_C57BL6","peritoneum",0,0,0,0,0,4.87842473538584,0,0,4.62021456813505,3.38875712973942,1.82259525126476,3.82791004914579,4.30991551879732,4.86649265454716,0.223943513607911,1.91569589437798,0,0.399842811417776,1.73967948271957,3.80406624847808,0.130019379824988,2.55236154934902,0,5.17832227383551,0.536017314673176,0,0.0623098399067134,0,5.17393621054699,0,0.457428839708189,0.0667759126684514,0,0.906486942860669,0.173672026561629,0,1.69271454033811,0,0.0575594986205036,1.0954208330574,0.0741762450288909,5.86976141454248,0,0,0.403000292742007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972199146924717,0,0.267271377131837,0,4.46490977454261,6.11170431776412,0,1.07746955199985,0.0265535502922064,0.371849570834559,6.70483814901611,0,0.0740053363219359,0,0,0,0.332744290108254,0.723749471764176,0,0.813523111656201,0,0,1.13865872870354,0,5.18548959460304,0.0872809113981027,0.555605401178863,0.478400738922594,0.720611918379956,0.0656458010375522,0,0,4.1220547476137,0,0.712546476345701,0,0,5.44427230627643,2.48459620718184,0.981858932069673,4.61990288533981,0,0.0534657308930369,0,3.52252846772646,0.527073336741712,0.204996476207743,4.62702645220706,0,0.730514563596821,5.24773233669213,0,5.85704961721746,4.37368199394279,0.0694899098301814,0.12643930757921,0,0.0831741926224388,0.376418022092879,0,3.87811060004082,0.0946229171804578,0.0988811961441483,0,0.121529628771883,0,3.17700945703018,0,0,0,0,0,0,8.06750022601278,2.18424610281875,0,2.04365597624519,1.70229022930423,5.81232867922442,0,5.4095633004417
"macrophages_SRR1106143","other","5_months","SRP035309","mouse_C57BL6","peritoneum",0,0,0,0,0,3.39232912302734,0,0,0,3.68690996244062,1.60212725235157,4.0430692243843,4.27194513066331,4.84442511463672,0,2.13225508679458,0,0.192031454400233,1.85803963067209,3.60918633094667,0,2.15225531604075,0,5.43776484906987,0.379496930533161,0.243669398876595,0,0,5.41765854631507,0.210010553777583,0,0,0.0926509560473799,0.897252181778438,0.0800145742055941,0,1.92344185893325,0.424293107492101,0,0.591449646656408,0,5.91339141531658,0,0,0.281537711353962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02081852997895,0,0,0,5.33899074727116,6.05799329095308,0,0.672630891881262,0.0699584494748851,0.210741009527383,6.73864163254067,0,0,0,0,0,0.429671869791921,0.660694716553454,0,0.591233265682298,0,0.410665122475131,1.07276804951725,0,0,0,0,0.728854849224409,1.66273802935354,0,0,0,3.90382199964893,0,0,0.240066017619257,0,5.42395430379935,3.15447731279495,1.76154072555977,4.89813005436236,0,0.138795859750599,0,3.46909580777518,0,0.190762922397058,4.83085322629706,0.15354700469374,0.891364822080661,0,0,5.90526592020177,3.84735064805355,0.0921995448346519,0,0,0,0,0.195876830189634,3.89131243949894,0.18394344590414,0.0271194344843497,0.546047912396024,0,0,3.08617578810087,0,0,0,0,0.0487643774346962,0.116357154835253,8.09977466945656,2.2162501614836,0,2.28864573207671,1.63704892403283,6.1113831255372,0,4.69926055075444
"macrophages_SRR1106169","other","5_months","SRP035309","mouse_C57BL6","peritoneum",0,0,0,0.223021367038663,0,0,0,0,3.95766327740876,3.74466632806189,2.0449418599052,4.20546846082669,4.37106055966267,4.87845169356761,0,2.36268579304092,0,0.177834490469387,2.10382539425118,4.04302846239848,0.0413189413546853,2.65325937716539,0.728363158060044,5.22211731370616,0,0,0,0,5.43906798294182,0.100563668983073,0.545734938634383,0,0.0290953190669405,0.958224974722184,0.144171244499747,0,1.80117666136377,0,0,0.951502098477042,0.090875256811136,6.20034119022079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21878019759203,0,0,0,2.63140909844219,6.09143516537731,0,0.629759255192006,0.126397931951876,0.283787312587761,6.72482370725815,0,0.175971464213608,0,0,0.109268579316568,0,0.637647439542686,0,0.951191400945597,0,0.382307216834382,1.36140450779382,0,0,0,0,0.683180343630398,1.30083194932134,0,0,0,3.61995560330893,0,0,0.222583746958003,0.0742502067419807,5.54568569544229,3.18465007377769,1.58617064628007,4.88352812887893,0,0,0,3.72966436134819,0,0.475892824691215,4.8129861785088,0.142056619996123,0.98891734288373,0,0,6.00296316605467,4.16559883026285,0.0851646963511852,0,0,0.0518124389729577,0,0.0630399491945917,4.06012975047715,0.0590322090463159,0.10926782593444,0.509879019680452,0,0,3.27409859769617,0,0.222119780311178,0,0,0,0,7.61430728384268,2.4244891015542,0,2.30706267013701,1.6880735212366,6.04167974973108,0,5.20174524601639
"macrophages_SRR1106186","other","5_months","SRP035309","mouse_C57BL6","peritoneum",0,0,0,0,0,3.40562196135219,0,0,4.0822204330653,3.56073508084764,1.66493712892527,3.29176796752503,4.03755594333968,4.56521780972318,0.0535455514949312,1.93857160663201,0.172301005069905,0.281836614087693,1.59573684258032,3.48922903935916,0.0673378309076713,2.22460476113706,0,4.90441015123535,0.541960549427699,0,0.0423858929496245,0,4.8583853541778,0,0.324277167364707,0.173779346242644,0.0475428218969658,0.696239158074042,0.157333953101872,0,1.51035244611909,0,0.0391339358572347,0.675607011274733,0,5.47588405771135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756992922708419,0.746052997736931,0.676058753168858,0.298055122698105,0.0959184698283268,0,1.94431651136757,5.24151122924314,0,0.263056032352144,0.0533144659270321,0.308404403205329,6.30661611303848,0,0.0991115127881071,0,0,0,0,0.736194968381339,0,0.821770979429977,0.0800352986821294,0.221980687354455,1.10507822035904,0,0,0,0.145071468207416,0.449140226880803,1.11577200628145,0,0,0,3.45092357156221,0,0.720006987795799,0.12624535548598,0,5.48068080065163,3.30337687739895,1.40415681530458,4.36123272379743,0,0.071775687012057,0.210297500564801,3.16931774814186,0,0.222329361604079,4.57710181058139,0.0535514904213766,0.80650527550535,3.02509534500937,0,5.78688627857365,3.67965036234955,0,0,0,0.0143875907262238,0.264700891159935,0.102260283643675,3.81104535692994,0.126423126535778,0.0408987805329615,0.550691389180581,0,0.171947797099426,2.78388774264574,0,0.125973468705894,0,0,0.0248376185249512,0.0599460934936343,7.08475460348428,2.16990681536855,0,1.99644594939761,1.7155229849197,5.79424811313094,2.91892907603843,6.65155890124443
"macrophages_SRR1106188","other","5_months","SRP035309","mouse_C57BL6","peritoneum",0.4349093251752,0,0.0234999829432871,0,0,3.67672529569646,0,0,4.3629324619034,3.976315520319,1.56795620822709,4.08500167064159,4.63892740451231,5.07178664253319,0,2.12597116119949,0,0.527719472794421,1.84772581032321,3.68139298775745,0.0553701996895543,3.06392202544451,0.372737201071666,5.24471224290641,0.641573566518571,0.155952768700902,0,0,5.129721624062,0,0.389092817026835,0.109180311665439,0.0581792854498614,0.817104491227402,0.145540546881655,0,1.95173976718407,0,0,0.95844176265131,0.121086674353823,5.79661436469353,0,0,0.181031071941728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353423198801528,0,0,0,0,0,0,0,1.01544506938962,0,0,0,3.52310873812491,6.24115735183173,0,0.634845639897695,0.0652132739178534,0.0687264855501605,6.45318274641888,0,0.12081211881947,0,0,0,0.281241340367419,0.723716863047101,0,0.958129468464583,0.0976989255398761,0.494267943255869,1.34080829429116,0,0,0.0727884771549503,0.176237436915196,0.57471043572649,0.853084377175978,0,0,0,3.64337469277815,0,0,0,0,5.50256079838459,3.28066049590488,1.38846876689209,4.9340386848685,0,0.0445014605581962,0.132740370896937,3.57744045009936,0.449870550204657,0.336992129309259,4.65163341553869,0.033122716583046,0.824367514172129,3.82328803266088,0,6.1468130462199,4.14919747651489,0,0.105679447453753,0,0.0350903133282929,0.318875260056821,0.124621051268214,4.13682249435603,0.116853713574458,0.152951057574688,1.27930034761669,0,0,3.13539113793922,0.613323274467513,0.15325034240556,0,0,0.0304478743925175,0,7.57714099048398,2.4056870096252,0,2.20324127602636,1.52123945939021,6.08603718223454,3.17966255339411,4.8354556475285
