"","other","myeoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"0610043K17Rik",0.25538517427583,0.0207114461715873,0.0847702804130126,0.375338990392765,0.289253017624696,0.103580173040388,0.0847702804130126,0.109929871506259,0.201415240782289,0.867753682667049
"1110060G06Rik",0.178420695700639,0.431827481912875,0.300481599299084,0.103293253328529,0.266337929247438,0,0.300481599299084,0,0,0.330538410651294
"1500015O10Rik",0.633903652819996,0.0122126498043952,0.269702072626609,0.874868660112259,0.714789910389837,0.256043693749031,0.269702072626609,0.341391591665375,0.563667421988781,1.826242380372
"1600027J07Rik",0.206857432945189,0,0,0.362000507654082,0.263273096475696,0,0,0,0.140842770069724,1.01755885442334
"1700001K19Rik",0.881157356215749,0.0838454672766105,0.350395922174593,1.24590962488437,0.971163447427731,0.434312633148013,0.350395922174593,0.533528966023025,1.09921164274809,2.24746439765426
"1700003I16Rik",0.220047663580953,0,0.000729400166310693,0.384445186121146,0.240719370398199,0.108188553938287,0.000729400166310693,0.115067567297467,0.0410432592963028,1.0511002555344
"1700008H02Rik",0.756262710422884,0,0.039903239451509,1.28854440871998,0.962516176901852,0,0.039903239451509,0,1.05150802999672,3.0718340779072
"1700008K24Rik",0.205808597899194,0,0.309990783868753,0.0889231104384306,0.261938215508065,0,0.309990783868753,0,0,0.284553953402978
"1700011L03Rik",0.140954413007889,0,0,0.246670222763807,0.179396525646405,0,0,0,0,0.789344712844181
"1700012A03Rik",0.147227693326025,0,0.00650267949630714,0.251958618761275,0.152141180519539,0.0969086802123555,0.00650267949630714,0.0494694734323513,0.0956905202209472,0.651213691696311
"1700013F07Rik",0.365699612046928,0.0406833763481129,0.176803868137428,0.490356358505389,0.42181319570289,0.130133198068329,0.176803868137428,0.0537824228492913,0.625847101177156,0.878754338620938
"1700015C15Rik",0.261352999147933,0,0.00800977660672873,0.450359193977996,0.315952746472392,0.0458654442186888,0.00800977660672873,0.0611539256249183,0.60384979059109,0.763914919388594
"1700015G11Rik",0.167257110038174,0,0,0.292699942566804,0.17983104684028,0.0908645063228374,0,0.121152675097117,0.107520762883468,0.683735843213766
"1700015O11Rik",0.392981190012731,0,0.242335061463849,0.475673903741412,0.500157878198022,0,0.242335061463849,0,0.64032617770087,0.881830314271648
"1700016G14Rik",0.2809442849156,0.198708145899508,0.112709552841349,0.417870158103559,0.357512657321554,0.0498222260452035,0.112709552841349,0,0.185732545608861,1.15145196032253
"1700021F02Rik",0.158048964863263,0,0.012958237693623,0.265247230528791,0.20115322800779,0,0.012958237693623,0,0.306705220486394,0.542085917205736
"1700021G15Rik",0.158483540874795,0,0,0.277346196530891,0.114920996553315,0.238659652540166,0,0.318212870053555,0.043188736091572,0.462463648743012
"1700021P04Rik",0.110394291001944,0,0,0.193190009253403,0.0889793166512325,0.141686897715916,0,0.188915863621222,0,0.391508993265423
"1700023F06Rik",0.606071707787461,0.0300498909546041,0.504934703637763,0.62256385931434,0.710827162433465,0.173988753302736,0.504934703637763,0.145696970506419,0.350758780159231,1.46660920503895
"1700024J04Rik",0.222395767795496,0,0.0106862081728433,0.37984216149088,0.28304915901245,0,0.0106862081728433,0,0.291768874428665,0.923726042342151
"1700025A08Rik",0.277639409957579,0,0.102452852872975,0.396222721161911,0.353359249036919,0,0.102452852872975,0,0.338235562473168,0.929677145244946
"1700029E06Rik",0.165057914328686,0,0,0.2888513500752,0.122137054972813,0.241825798975164,0,0.18693758973234,0.162596170681454,0.537403041880377
"1700029H14Rik",0.913496721742022,0.0124686571008307,0.271662941825349,1.36247277108896,1.16376570558992,0,0.271662941825349,0,0.824127559797541,3.53578530768714
"1700030C14Rik",0.182631061390226,0,0,0.319604357432896,0.23243953267847,0,0,0,0,1.02273394378527
"1700030N03Rik",0.178182328664978,0.00111664785230202,0.0393935073678111,0.277489337198415,0.209218157671031,0.0485673786951643,0.0393935073678111,0.0610036056917507,0.0587195782781279,0.7560419739267
"1700031P21Rik",0.200334052781206,0,0.0262050655996653,0.327655159967403,0.254970612630626,0,0.0262050655996653,0,0.683644273852081,0.364852238043609
"1700042D02Rik",0.265677255138174,0,0,0.464935196491804,0.282698778226209,0.152448752861534,0,0.120145961036334,0.285510383975176,1.058107091555
"1700054O05Rik",0.229047204324964,0,0,0.400832607568687,0.264214891998365,0.07507426214187,0,0.0445948605856612,0.222573901505525,1.00657661001148
"1700054O19Rik",0.724153973955268,0,0.256560087629129,1.04277937774623,0.921650512306704,0,0.256560087629129,0,0.824732390997958,2.51216161778998
"1700072O05Rik",0.198504764990738,0,0,0.347383338733791,0.216734728750055,0.0987461734049316,0,0.131661564539909,0.085025834862617,0.868606971637623
"1700084C06Rik",0.300721937084644,0.0237615398662667,0.113915897904031,0.429557171715383,0.36376190592577,0.0581219234669536,0.113915897904031,0.0598345855659129,0.288787338114866,1.01399410869526
"1700093K21Rik",0.438537806034971,0.111235653745578,0.249448037472113,0.563078584491298,0.514353124511209,0.14822014215297,0.249448037472113,0.126462880724277,0.340340557691262,1.30975545581176
"1700113B19Rik",0.298191613176946,0,0,0.521835323059656,0.285600828432993,0.258268367928582,0,0.344357823904777,0.509614068363362,0.747029576741806
"1700124L16Rik",1.01395944678066,0.121977661283124,1.16948370258215,0.766377999767169,1.30158271965567,0,1.16948370258215,0,0.41844292402063,2.03396667523431
"1700127F24Rik",0.111850348381443,0,0,0.195738109667526,0.14235498884911,0,0,0,0,0.626361950936082
"1810013D15Rik",0.418328211844171,0,0.0328308718093512,0.703347357894117,0.470475289656782,0.170341694898447,0.0328308718093512,0.175959689547566,0.596622641940401,1.44293727586369
"2010109I03Rik",0.432653474362276,0.0288663285624691,0.0764510741451102,0.693857181327321,0.538659475801104,0.0401901839555474,0.0764510741451102,0.0298749098210913,0.737553328949011,1.44693975951311
"2010110E17Rik",0.348513474311289,0,0.23113500101902,0.407655454153114,0.443562603668914,0,0.23113500101902,0,0.20527734369896,1.099220109591
"2010310C07Rik",0.570040263926043,0.0138552829242065,0.174090625960481,0.846973074520681,0.711710013556093,0.0414022071929484,0.174090625960481,0.0552029429239312,0.506090354983877,2.13797995197358
"2200002A13Rik",0.697776683034258,0.449706372880825,0.358315335080709,0.963796573724435,0.928961812305495,0,0.358315335080709,0,0.624654140469968,2.45949489544822
"2210039B01Rik",0.367564231665712,0,0.0405749824976153,0.607734295729583,0.467809022119997,0,0.0405749824976153,0,0.475936253774376,1.46881349256029
