"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.413175815715734,NA,0
"mouse_C57BL6",0.413175815715734,1,0,NA
