"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.323056932368088,0.516630583417356,0.347100815307092,NA,0,0,0
"peritoneum",0.323056932368088,1,0.653159474372287,0.62022500461948,0,NA,0,0
"brain",0.516630583417356,0.653159474372287,1,0.747752187992389,0,0,NA,0
"blood",0.347100815307092,0.62022500461948,0.747752187992389,1,0,0,0,NA
