"","other","monocytes","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1110019B22Rik",0,1.69936341200315,0,0.531051066250984,0.386218957273443,0,0,0,0,1.69936341200315
"1110032F04Rik",1.33775791492045,0.657417482348596,2.33651937808389,0.251235249473739,1.6362890320417,0.0915845724796062,2.33651937808389,0,0.14653531596737,0.657417482348596
"1110035H17Rik",1.35646329907,3.63861682283671,1.25682948649714,2.15681586124834,1.82874089259108,1.48404586924123,1.25682948649714,1.74229823951578,1.17243604573906,3.63861682283671
"1190001M18Rik",0.613566660535336,1.00988270770449,0.315168567054685,0.998513757071266,0.430080612604002,1.36585082182722,0.315168567054685,1.61638386794269,0.24570067339233,1.00988270770449
"1700003I16Rik",0.0362333321037867,1.0511002555344,0.000729400166310693,0.384445186121146,0.240719370398199,0.108188553938287,0.000729400166310693,0.115067567297467,0.0410432592963028,1.0511002555344
"1700003N22Rik",2.98641744750556,0.533302840391194,5.33288829911707,0.166657137622248,3.51486138134522,0,5.33288829911707,0,0,0.533302840391194
"1700010B13Rik",0.068034758528095,1.38023339815571,0.0166658537803896,0.523044625065967,0.355767245955501,0.0968945678699891,0.0166658537803896,0.129192757159985,0.138478093463402,1.38023339815571
"1700011L03Rik",0,0.789344712844181,0,0.246670222763807,0.179396525646405,0,0,0,0,0.789344712844181
"1700012A03Rik",0.0346522781858858,0.651213691696311,0.00650267949630714,0.251958618761275,0.152141180519539,0.0969086802123555,0.00650267949630714,0.0494694734323513,0.0956905202209472,0.651213691696311
"1700016C15Rik",0.245488546663973,1.4248151959792,0.391906373391345,0.485912526188531,0.590051554498601,0.0350194309407624,0.391906373391345,0.0194596259826442,0.106753336644925,1.4248151959792
"1700016G14Rik",0.100263858712927,1.15145196032253,0.112709552841349,0.417870158103559,0.357512657321554,0.0498222260452035,0.112709552841349,0,0.185732545608861,1.15145196032253
"1700018G05Rik",0.540484889067178,0.834696034375254,0.965151587619961,0.260842510742267,0.803891018116169,0,0.965151587619961,0,0,0.834696034375254
"1700020L24Rik",1.82974152995295,1.11644582573448,1.50169791344946,1.89387478682522,1.20936363258931,3.0899709325664,1.50169791344946,3.51675584839795,0.7238464740287,1.11644582573448
"1700025F24Rik",0.341622449400764,0.558776140692651,0.591467620496687,0.190868453220546,0.503383063200767,0.032501818508185,0.591467620496687,0.0433357580109133,0,0.558776140692651
"1700027J19Rik",0.431408929793634,2.3307936929164,0.715692546549394,0.776218503608209,0.996740529773598,0.0638625068004633,0.715692546549394,0.0225750128854957,0.126015503167275,2.3307936929164
"1700029E06Rik",0.0773842556720525,0.537403041880377,0,0.2888513500752,0.122137054972813,0.241825798975164,0,0.18693758973234,0.162596170681454,0.537403041880377
"1700029H14Rik",0.316956759381704,3.53578530768714,0.271662941825349,1.36247277108896,1.16376570558992,0,0.271662941825349,0,0.824127559797541,3.53578530768714
"1700030C14Rik",0,1.02273394378527,0,0.319604357432896,0.23243953267847,0,0,0,0,1.02273394378527
"1700036O09Rik",0.0558328507796344,0.593416751420846,0,0.272681564162193,0.134867443504738,0.174477658686358,0,0.232636878248477,0,0.593416751420846
"1700039I01Rik",0,0.89474640933096,0,0.279608252915925,0.203351456666127,0,0,0,0,0.89474640933096
"1700040K01Rik",0.665237946270626,0.382743852177084,1.18792490405469,0.119607453805339,0.842939450802321,0,1.18792490405469,0,0,0.382743852177084
"1700047M11Rik",1.89950712802392,2.72530100391866,2.34447759930574,1.76821855186943,2.12201642667587,1.80372772916528,2.34447759930574,2.34907646254322,0.114106607011668,2.72530100391866
"1700063I16Rik",0,0.7747498554399,0,0.242109329824969,0.176079512599977,0,0,0,0,0.7747498554399
"1700127F24Rik",0,0.626361950936082,0,0.195738109667526,0.14235498884911,0,0,0,0,0.626361950936082
"1810006J02Rik",0.142056800356719,1.02008345307188,0.160167548244384,0.400593224928498,0.346362103869972,0.128983873642248,0.160167548244384,0.142754045243893,0.0905100124066442,1.02008345307188
"1810058I24Rik",5.16066224608932,7.07393906016475,5.00824153839319,5.891929369722,5.38541813484523,5.73838156080771,5.00824153839319,6.00941092226573,4.56894181622677,7.07393906016475
"2010016I18Rik",0.00285029449907867,2.45868368484234,0.00508981160549762,0.768338651513231,0.562030717576758,0,0.00508981160549762,0,0,2.45868368484234
"2310001H17Rik",0.706221954675833,3.65553773816253,0.176851168685019,2.09108257475739,1.08426125729375,1.50993623715576,0.176851168685019,1.5948886107595,1.12206016814972,3.65553773816253
"2310026L22Rik",1.55634922675673,2.62910384075486,2.28223130724841,1.25643822320092,2.19036990219317,0.483264003055365,2.28223130724841,0,1.3914984734881,2.62910384075486
"2410004P03Rik",0.783041740789036,2.50795542005371,0.954635804828999,1.17193245952428,1.28354184177341,0.484737512622431,0.954635804828999,0.478951332478424,0.667486851449872,2.50795542005371
"2410024N13Rik",0.0135858576158656,0.65841784875412,0.0242604600283315,0.205755577735662,0.165078894734875,0,0.0242604600283315,0,0,0.65841784875412
"2810030D12Rik",0.163364830534164,0.852613268692173,0.239327015859765,0.312288055298642,0.356496268172306,0.0630336508780308,0.239327015859765,0.0507687931530567,0.0857859564798121,0.852613268692173
"2810433D01Rik",0.244801764068381,0.651580024251706,0.240716400857311,0.375494663185357,0.30126953333004,0.343751811213397,0.240716400857311,0.293551384388487,0.197741236675251,0.651580024251706
"2900042G08Rik",0,0.754992794972086,0,0.235935248428777,0.171589271584565,0,0,0,0,0.754992794972086
"2900045O20Rik",0.123859009379799,2.16821824483297,0.187941994517413,0.706648658463502,0.61934266148316,0.0390034882537858,0.187941994517413,0.0520046510050477,0.0306518810441827,2.16821824483297
"2900076G11Rik",0.301943960345519,1.86585782008981,0.442976205873178,0.667263826678909,0.767176732231228,0,0.442976205873178,0,0.269386425282697,1.86585782008981
"4632432E15Rik",0.132110931944305,3.17320685147717,0,1.19805047224959,0.797117172905537,0.204028719008957,0,0.272038292011943,0.334108709307195,3.17320685147717
"4732465J04Rik",0.0351251645242411,2.66870855248121,0.0198681634897713,0.871469849165956,0.629777843250315,0.0458199155006471,0.0198681634897713,0.0333377707620931,0.0799896399353342,2.66870855248121
"4732490B19Rik",0.0915855200347971,1.01418420726468,0.051150927419769,0.415277878332285,0.281374673841691,0.146289526584515,0.051150927419769,0.0553343031225948,0.248303839651518,1.01418420726468
"4921522P10Rik",0.219357666005192,0.932469840693909,0.281383190866113,0.38793288634211,0.407272645244055,0.148286582278767,0.281383190866113,0.197715443038356,0.0716568639548144,0.932469840693909
"4921527H02Rik",0.229042182688345,1.70594335500439,0,0.890985708889412,0.447661589945138,0.550902045429695,0,0.521049811454795,0.519951139695972,1.70594335500439
"4922502N22Rik",0.0413131503249977,0.727895534994044,0.0642099228134281,0.235835469606698,0.212377565140689,0,0.0642099228134281,0,0.0267779677473898,0.727895534994044
"4930438A08Rik",0.0638749015341243,2.11218250752946,0.0253691119190773,0.737663594320834,0.509959450445368,0.117334645775292,0.0253691119190773,0.0539421914882042,0.18361036451136,2.11218250752946
"4930455G09Rik",1.87488303883449,4.19901879270335,0.499650927144015,3.80450355964768,1.30515292947765,4.89422568573384,0.499650927144015,6.45001896983418,0.235369834368204,4.19901879270335
"4930459C07Rik",0.103841565631508,1.0207754760039,0.00474950171121962,0.477088968553133,0.236936771002471,0.310913444844106,0.00474950171121962,0.316719450864023,0.125845882329297,1.0207754760039
"4930463O16Rik",0.0257890883779554,0.955872148171581,0.016398020870635,0.324657228632369,0.246549452286672,0,0.016398020870635,0,0.083030983451999,0.955872148171581
"4930480E11Rik",0,0.861069699258014,0,0.269084281018129,0.195697658922276,0,0,0,0,0.861069699258014
"4930507D10Rik",0.0347009922957076,1.05332233317352,0.0225187216886246,0.363679648101222,0.266452604199802,0.0340223976080827,0.0225187216886246,0.045363196810777,0.0560167045774568,1.05332233317352
"4930518I17Rik",0,0.572381375516938,0,0.178869179849043,0.13008667625385,0,0,0,0,0.572381375516938
"4930519G04Rik",0.0645674713944813,1.95616817494913,0.0712676491727397,0.649830035699333,0.499300880771927,0.0513010353281614,0.0712676491727397,0.0602785024816734,0.0509537363107272,1.95616817494913
"4930523C07Rik",0.692298642920791,5.30951130488159,0.808186399379347,2.0337758128823,1.84471554970698,0.408910062984269,0.808186399379347,0.489746273922989,0.610875767634198,5.30951130488159
"4930529C04Rik",0.0723651695995666,1.07180880705702,0.00712117419174408,0.441779802286866,0.259646143295268,0.181994765347298,0.00712117419174408,0.242659687129731,0.0506949357052722,1.07180880705702
"4930529I22Rik",0.00713318681880626,0.607074157151289,0.0062051583554829,0.195426764953115,0.146077293464846,0,0.0062051583554829,0,0.0182914906986792,0.607074157151289
