"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.263228420929635,0.372600994010382,0.267749720315929,NA,0,0,0
"peritoneum",0.263228420929635,1,0.72039527465593,0.64764467980456,0,NA,0,0
"brain",0.372600994010382,0.72039527465593,1,0.74798352360113,0,0,NA,0
"blood",0.267749720315929,0.64764467980456,0.74798352360113,1,0,0,0,NA
