"","other","monocytes","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","monocytes","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.60689644171378,0.86998170015104,0.793483992826574,0.938133877560688,0.758964657154995,0.86998170015104,0.730925854723185,0.775205425355914,0.60689644171378,NA,0,0,0,0,0,0,0,0,0
"monocytes",0.60689644171378,1,0.33859650689154,0.859849165615906,0.640835605735048,0.664295677413006,0.33859650689154,0.618998236217552,0.760773833818404,1,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.86998170015104,0.33859650689154,1,0.413175815715734,0.934685464569064,0.348678905904059,1,0.319533084328642,0.514028760858856,0.33859650689154,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.793483992826574,0.859849165615906,0.413175815715734,1,0.664238651914676,0.944321077759759,0.413175815715734,0.916761719745564,0.853404845745261,0.859849165615906,0,0,0,NA,0,0,0,0,0,0
"No_data",0.938133877560688,0.640835605735048,0.934685464569064,0.664238651914676,1,0.534903822448894,0.934685464569064,0.494218758360286,0.735810990805518,0.640835605735048,0,0,0,0,NA,0,0,0,0,0
"5_months",0.758964657154995,0.664295677413006,0.348678905904059,0.944321077759759,0.534903822448894,1,0.348678905904059,0.989614262906936,0.725439906999607,0.664295677413006,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.86998170015104,0.33859650689154,1,0.413175815715734,0.934685464569064,0.348678905904059,1,0.319533084328642,0.514028760858856,0.33859650689154,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.730925854723185,0.618998236217552,0.319533084328642,0.916761719745564,0.494218758360286,0.989614262906936,0.319533084328642,1,0.649344677990642,0.618998236217552,0,0,0,0,0,0,0,NA,0,0
"brain",0.775205425355914,0.760773833818404,0.514028760858856,0.853404845745261,0.735810990805518,0.725439906999607,0.514028760858856,0.649344677990642,1,0.760773833818404,0,0,0,0,0,0,0,0,NA,0
"blood",0.60689644171378,1,0.33859650689154,0.859849165615906,0.640835605735048,0.664295677413006,0.33859650689154,0.618998236217552,0.760773833818404,1,0,0,0,0,0,0,0,0,0,NA
