"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.319533084328642,0.514028760858856,0.33859650689154,NA,0,0,0
"peritoneum",0.319533084328642,1,0.649344677990642,0.618998236217552,0,NA,0,0
"brain",0.514028760858856,0.649344677990642,1,0.760773833818404,0,0,NA,0
"blood",0.33859650689154,0.618998236217552,0.760773833818404,1,0,0,0,NA
