"","other","monocytes","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","monocytes","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.524949584889047,0.907760756429771,0.664908009353946,0.956817409440211,0.651331310125071,0.907760756429771,0.633039424109831,0.66538129856316,0.524949584889047,NA,0,0,0,0,0,0,0,0,0
"monocytes",0.524949584889047,1,0.267749720315929,0.900177006181105,0.610870899312958,0.664175425155837,0.267749720315929,0.64764467980456,0.74798352360113,1,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.907760756429771,0.267749720315929,1,0.318051668074176,0.92416992010701,0.279590564102471,1,0.263228420929635,0.372600994010382,0.267749720315929,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.664908009353946,0.900177006181105,0.318051668074176,1,0.623733162784988,0.91760678646686,0.318051668074176,0.902092529227143,0.873195141664422,0.900177006181105,0,0,0,NA,0,0,0,0,0,0
"No_data",0.956817409440211,0.610870899312958,0.92416992010701,0.623733162784988,1,0.499754104009507,0.92416992010701,0.478567360559853,0.629370413392862,0.610870899312958,0,0,0,0,NA,0,0,0,0,0
"5_months",0.651331310125071,0.664175425155837,0.279590564102471,0.91760678646686,0.499754104009507,1,0.279590564102471,0.991665835344616,0.779521265264943,0.664175425155837,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.907760756429771,0.267749720315929,1,0.318051668074176,0.92416992010701,0.279590564102471,1,0.263228420929635,0.372600994010382,0.267749720315929,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.633039424109831,0.64764467980456,0.263228420929635,0.902092529227143,0.478567360559853,0.991665835344616,0.263228420929635,1,0.72039527465593,0.64764467980456,0,0,0,0,0,0,0,NA,0,0
"brain",0.66538129856316,0.74798352360113,0.372600994010382,0.873195141664422,0.629370413392862,0.779521265264943,0.372600994010382,0.72039527465593,1,0.74798352360113,0,0,0,0,0,0,0,0,NA,0
"blood",0.524949584889047,1,0.267749720315929,0.900177006181105,0.610870899312958,0.664175425155837,0.267749720315929,0.64764467980456,0.74798352360113,1,0,0,0,0,0,0,0,0,0,NA
