"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.418502107798523,NA,0
"mouse_C57BL6",0.418502107798523,1,0,NA
