"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.318051668074176,NA,0
"mouse_C57BL6",0.318051668074176,1,0,NA
