"","other","monocytes","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","monocytes","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.609495922960546,0.87071444591278,0.795406503531872,0.937874331486752,0.759774351915511,0.87071444591278,0.732675282173467,0.776994603610485,0.609495922960546,NA,0,0,0,0,0,0,0,0,0
"monocytes",0.609495922960546,1,0.347100815307092,0.8594637120569,0.648785907435289,0.660947123075386,0.347100815307092,0.62022500461948,0.747752187992389,1,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.87071444591278,0.347100815307092,1,0.418502107798523,0.934283488369101,0.351010917092737,1,0.323056932368088,0.516630583417356,0.347100815307092,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.795406503531872,0.8594637120569,0.418502107798523,1,0.669362869310155,0.943328644379589,0.418502107798523,0.917340779705452,0.851279139749814,0.8594637120569,0,0,0,NA,0,0,0,0,0,0
"No_data",0.937874331486752,0.648785907435289,0.934283488369101,0.669362869310155,1,0.53690954034119,0.934283488369101,0.498688276980027,0.733362046021865,0.648785907435289,0,0,0,0,NA,0,0,0,0,0
"5_months",0.759774351915511,0.660947123075386,0.351010917092737,0.943328644379589,0.53690954034119,1,0.351010917092737,0.989518654323251,0.728967819338632,0.660947123075386,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.87071444591278,0.347100815307092,1,0.418502107798523,0.934283488369101,0.351010917092737,1,0.323056932368088,0.516630583417356,0.347100815307092,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.732675282173467,0.62022500461948,0.323056932368088,0.917340779705452,0.498688276980027,0.989518654323251,0.323056932368088,1,0.653159474372287,0.62022500461948,0,0,0,0,0,0,0,NA,0,0
"brain",0.776994603610485,0.747752187992389,0.516630583417356,0.851279139749814,0.733362046021865,0.728967819338632,0.516630583417356,0.653159474372287,1,0.747752187992389,0,0,0,0,0,0,0,0,NA,0
"blood",0.609495922960546,1,0.347100815307092,0.8594637120569,0.648785907435289,0.660947123075386,0.347100815307092,0.62022500461948,0.747752187992389,1,0,0,0,0,0,0,0,0,0,NA
