"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.61362345408952,0.803608033345937,0.734503202657265,NA,0,0,0
"peritoneum",0.61362345408952,1,0.727621768814363,0.624513124799834,0,NA,0,0
"brain",0.803608033345937,0.727621768814363,1,0.794847534070995,0,0,NA,0
"blood",0.734503202657265,0.624513124799834,0.794847534070995,1,0,0,0,NA
