"","other","monocytes"
"0610009B22Rik",5.16730946831358,4.57416554219454
"0610009E02Rik",0.515076854088127,0.917730520132335
"0610009L18Rik",3.4669255663807,3.2591251596701
"0610009O20Rik",4.60601618705794,2.21644697907494
"0610010F05Rik",1.80034057446331,2.74853181690778
"0610012G03Rik",7.7837673584668,7.07614355485276
"0610025J13Rik",0.231615111140548,0.345966974991942
"0610030E20Rik",4.13777174286042,6.19692195967608
"0610037L13Rik",4.76272933169514,4.28936530800857
"0610039K10Rik",0.95808423475963,0.229448168021442
"0610040B10Rik",1.8497786181875,1.90650417446163
"0610040J01Rik",2.20923991354401,2.87733049793135
"0610043K17Rik",0.114137574349247,0.867753682667049
"1010001B22Rik",1.52339159346846,0
"1010001N08Rik",0.322473003228568,0
"1110002E22Rik",0.202980900512582,0.207748461196422
"1110002J07Rik",0.871855105587135,0.946006954310498
"1110002L01Rik",1.10181811529977,2.6815259036813
"1110004E09Rik",3.16757810843634,2.32927064760552
"1110004F10Rik",3.32760164206756,3.42463127457996
"1110006O24Rik",2.64905219876471,2.1883434798429
"1110008E08Rik",0.080422212513586,0.281029678168608
"1110008F13Rik",3.09197594305669,5.35429536134411
"1110008L16Rik",0.943858036330285,1.56354016854618
"1110008P14Rik",1.71104705429718,1.39840348745534
"1110012L19Rik",4.96579315042951,4.0743008639312
"1110015O18Rik",0.737783049568743,0.63909208316326
"1110017D15Rik",0.918825951081849,0.643912186734643
"1110018N20Rik",0.479691651043048,0
"1110019B22Rik",0,1.69936341200315
"1110019D14Rik",0.380393189196905,0.778698072977866
"1110020A21Rik",0.833597515498066,0.602968466851052
"1110025M09Rik",3.33408730239398,3.80292374852432
"1110032A03Rik",3.40497857188311,3.69173391583244
"1110032F04Rik",1.33775791492045,0.657417482348596
"1110034G24Rik",1.57501485319885,2.41829983220514
"1110035H17Rik",1.35646329907,3.63861682283671
"1110038B12Rik",6.10187285352901,4.22698420212151
"1110038F14Rik",5.8505599671418,5.81668628641225
"1110051M20Rik",1.27439519302705,1.28068363879849
"1110059E24Rik",1.82969281312531,2.85547200783939
"1110059G10Rik",4.08832048503005,4.4178397005367
"1110060G06Rik",0.168269695607487,0.330538410651294
"1110065P20Rik",3.1641575633271,2.21231823906113
"1190001M18Rik",0.613566660535336,1.00988270770449
"1190002N15Rik",3.2509184567332,2.92364267329444
"1190007I07Rik",2.49883707420013,2.24169546807106
"1200007C13Rik",0.210718142041126,1.20590726812121
"1300002E11Rik",1.96439094797721,1.62941246725315
"1300014J16Rik",1.03516890038039,2.63669488498928
"1300017J02Rik",0.159026866313581,0.848118713560475
"1500002C15Rik",0.888139400284205,0.845116644755527
"1500004A13Rik",0.899195735731812,1.08552792507854
"1500009C09Rik",2.63467856251087,0.0732290870270604
"1500009L16Rik",0.760458451477317,0.331781335915718
"1500011B03Rik",3.60067189241686,4.00946061187325
"1500011K16Rik",6.79856011003779,4.40993214370392
"1500015A07Rik",2.2902061082073,1.82042987284158
"1500015O10Rik",0.345700627068347,1.826242380372
"1500026H17Rik",0.712890735740173,0.771546547929374
"1600002K03Rik",4.97625092804109,4.49391334092331
"1600010M07Rik",0.304284605394953,1.44544830273081
"1600012H06Rik",3.24000350928991,4.04523372921247
"1600014C10Rik",1.66173084765675,2.40877666587887
"1600014C23Rik",0.434093217348641,0
"1600017P15Rik",0.860211154833283,0
"1600020E01Rik",1.34273586724681,3.10974853893553
"1600023N17Rik",0.674883553457059,0.467430245831842
"1600027J07Rik",0.0281685540139448,1.01755885442334
"1600029O15Rik",0.402686129970385,0.980088402239788
"1700001C19Rik",0.456107210695079,0.499878602443716
"1700001G11Rik",1.10959683772465,0.278283825090472
"1700001G17Rik",1.05801332025697,0.476170134067866
"1700001J03Rik",0.273438208010636,0.888849466474941
"1700001K19Rik",0.544110996812916,2.24746439765426
"1700001L05Rik",0.568321302179558,1.95076869732252
"1700001L19Rik",0.363653861120669,0.193937210948207
"1700001N15Rik",0.107893367918633,0.471496363589081
"1700001O22Rik",0.953652788912385,0.0352787309535906
"1700001P01Rik",0.914219469525439,1.47985718183983
"1700003E16Rik",1.38086113908883,0.709773647595989
"1700003I16Rik",0.0362333321037867,1.0511002555344
"1700003M07Rik",1.3316195996364,0.824779584773611
"1700003N22Rik",2.98641744750556,0.533302840391194
"1700007E05Rik",0.141779134401603,1.53618822038006
"1700007G11Rik",0.511142411138533,0.442227221248416
"1700007K13Rik",0.580242775786054,0.792275368595323
"1700007L15Rik",2.94644593230007,2.91740846757465
"1700008H02Rik",0.23264742009219,3.0718340779072
"1700008J07Rik",2.28364334347614,2.65715447092992
"1700008K24Rik",0.173594838966501,0.284553953402978
"1700008N11Rik",0.179549508783197,0.555916146863432
"1700008O03Rik",0.250943239009708,1.29057009519207
"1700009J07Rik",0.52864855735696,0
"1700010B13Rik",0.068034758528095,1.38023339815571
"1700010I14Rik",0.952326762705703,1.70119592565978
"1700010K24Rik",0.273370310068461,0.643886316626597
"1700011D18Rik",0.292828778377884,0
"1700011L03Rik",0,0.789344712844181
"1700011L22Rik",0.437875509637167,0.479875909564385
"1700012A03Rik",0.0346522781858858,0.651213691696311
"1700012D14Rik",0.65115038204147,1.98983958479656
"1700013A02Rik",0.189098777760464,0
"1700013F07Rik",0.237087367876221,0.878754338620938
"1700015C15Rik",0.139932375167966,0.763914919388594
"1700015G11Rik",0.0505807946000016,0.683735843213766
"1700015O11Rik",0.263772869959929,0.881830314271648
"1700016C15Rik",0.245488546663973,1.4248151959792
"1700016G14Rik",0.100263858712927,1.15145196032253
"1700016G22Rik",0.396275712958135,0
"1700016J18Rik",0.424494078667547,0
"1700016K19Rik",0.425272525750544,0.0878486657849756
"1700016P03Rik",2.17306977425641,0.221042192074758
"1700017B05Rik",5.1648987906497,3.95530917320214
"1700017J07Rik",0.440497039104129,0
"1700018A04Rik",0.137924754214074,0.447167085398966
"1700018G05Rik",0.540484889067178,0.834696034375254
"1700018L02Rik",0.616042049024985,0.729431377481885
"1700018M17Rik",0.267428354926029,0.357351828010706
"1700019N19Rik",0.268689322059799,0.452825806169103
"1700020I14Rik",5.40786821917998,6.5685993044826
"1700020L24Rik",1.82974152995295,1.11644582573448
"1700020N01Rik",0.515228135633355,0.330647786135763
"1700021F02Rik",0.0685976572057078,0.542085917205736
"1700021G15Rik",0.0850088360311676,0.462463648743012
"1700021N21Rik",0.43903947864122,0
"1700021P04Rik",0.0453398072690932,0.391508993265423
"1700022H01Rik",0.364458314791603,0.842940667141638
"1700022I11Rik",0.283780447693396,0.753644706184848
"1700022N22Rik",1.39077218511595,2.29211632788121
"1700023F06Rik",0.387882462990534,1.46660920503895
"1700024J04Rik",0.0643380514625253,0.923726042342151
"1700025A08Rik",0.1250207101035,0.929677145244946
"1700025F24Rik",0.341622449400764,0.558776140692651
"1700025G04Rik",0.78557260459444,1.79037710909735
"1700025O08Rik",1.14677936375759,0.817923000274371
"1700026J14Rik",0.174551283596747,0
"1700027H10Rik",0.482249811595435,0.0143224142262804
"1700027J19Rik",0.431408929793634,2.3307936929164
"1700028J19Rik",1.04214898662714,1.59817989999889
"1700029E06Rik",0.0773842556720525,0.537403041880377
"1700029H14Rik",0.316956759381704,3.53578530768714
"1700029I15Rik",1.53242739307251,1.61697327414495
"1700029J07Rik",0.895222188314109,0.789248290445491
"1700029P11Rik",0.0844416454332464,0.222726232994822
"1700030C10Rik",0.359065764305622,0.487727063173857
"1700030C12Rik",0.197994231955942,0.298890832169662
"1700030C14Rik",0,1.02273394378527
"1700030E10Rik",0.137827257599731,1.23987403804703
"1700030J22Rik",1.11105404167698,1.2581798461505
"1700030K09Rik",1.81447330677831,2.52337151485721
"1700030N03Rik",0.0484451451476199,0.7560419739267
"1700031L13Rik",0.044157445313796,0.204818103028078
"1700031P21Rik",0.151403691506229,0.364852238043609
"1700034H15Rik",0.466366507244525,0.676443449853626
"1700036O09Rik",0.0558328507796344,0.593416751420846
"1700037F03Rik",0.284721282412362,0.764859643158179
"1700037H04Rik",3.09968767369342,3.69337944096672
"1700039I01Rik",0,0.89474640933096
"1700039M10Rik",0.539539989919534,0.54135956988147
"1700040D17Rik",1.23118854873545,0.883294740663738
"1700040K01Rik",0.665237946270626,0.382743852177084
"1700040L08Rik",0.349581450560286,0
"1700041G16Rik",0.791249976545764,2.2906253131907
"1700041I07Rik",0.193727132792142,0.300827504953573
"1700042D02Rik",0.0859371074437552,1.058107091555
"1700047G07Rik",0.464382679470328,1.65547101539376
"1700047M11Rik",1.89950712802392,2.72530100391866
"1700052K11Rik",0.817416478350592,0.910636348443081
"1700054O05Rik",0.0552175468416636,1.00657661001148
"1700054O19Rik",0.308620127271904,2.51216161778998
"1700055C04Rik",0.0865041846847596,0.44564853148085
"1700055D18Rik",0.824169672738484,1.28760244360393
"1700056N10Rik",1.90134612969313,5.61682375834387
"1700061G19Rik",0.757884293943221,1.54359695683647
"1700061J23Rik",0.10755432707585,0.831651711454212
"1700063I16Rik",0,0.7747498554399
"1700064H15Rik",0.247744385373246,1.0468787436614
"1700064M15Rik",0.88152579119697,0.898229768779425
"1700065D16Rik",0.414541213615867,0.41829820557492
"1700066B17Rik",0.162398548719969,1.14561923062528
"1700066B19Rik",0.367623500334982,0.390949346029473
"1700066J03Rik",0.302416177725869,0.319088598423703
"1700066M21Rik",3.41724282515715,3.68854929635315
"1700067K01Rik",0.856784061279993,2.25363228590164
"1700069B07Rik",0.870457951186394,0
"1700072G22Rik",0.184659095367381,0.715539063585412
"1700072O05Rik",0.0486039424621015,0.868606971637623
"1700081N11Rik",0.651236359292728,0.223181886673282
"1700084C06Rik",0.13591067098505,1.01399410869526
"1700084E18Rik",1.01912220114551,0.660992317537648
"1700086L19Rik",1.89991591140311,0.275033447768611
"1700086O06Rik",0.847191893989845,1.50586804839313
"1700086P04Rik",0.435397664976082,0.804828421112676
"1700093J21Rik",1.3624797678511,0.577342392039458
"1700093K21Rik",0.238110103896462,1.30975545581176
"1700095J03Rik",0.355467371798055,0.311809625121804
"1700095K22Rik",0.437776374776737,1.17410299097853
"1700096K18Rik",4.06875148693499,4.87949355033652
"1700097M23Rik",0.154403109261395,0.271919528147646
"1700101I11Rik",1.0845177444453,0.983800974593086
"1700102P08Rik",0.738429302742522,2.11889281118817
"1700109G14Rik",0.409234801863328,1.5794191729854
"1700109G15Rik",1.46650866972902,0.546827321037822
"1700109H08Rik",2.23944878764726,4.68127428193024
"1700110C19Rik",2.83856094024338,1.90846408101906
"1700112J05Rik",0.17793284463828,0.340712864578031
"1700112J16Rik",0.45390637401392,0.611955608291485
"1700113A16Rik",1.03015210325166,0.854311626932799
"1700113B19Rik",0.184568691409819,0.747029576741806
"1700116B05Rik",0.329725322364927,0
"1700120B22Rik",0.195279130640652,0.425535255005992
"1700120C14Rik",0.330568857401468,0.774140469848657
"1700122E12Rik",0.687758786730746,1.86720429552302
"1700123M08Rik",0.422708077999713,0.706271012990568
"1700123O20Rik",4.67503782561353,5.87071039358635
"1700124L16Rik",0.738599458250132,2.03396667523431
"1700124M09Rik",0.224199612663007,0.281048242256534
"1700125G22Rik",0.282191979969264,0.192336347195279
"1700127F24Rik",0,0.626361950936082
"1810006J02Rik",0.142056800356719,1.02008345307188
"1810010H24Rik",2.38529116095856,1.14681725063459
"1810010K12Rik",0.170754082981114,0.0839591718423084
"1810011H11Rik",2.04954527541005,1.4094199026131
"1810012K16Rik",0.538337944368441,0.728782225158286
"1810013D15Rik",0.179940142092733,1.44293727586369
"1810013L24Rik",4.16106335525333,5.36298947525635
"1810014B01Rik",2.04969643860393,1.23604287109416
"1810019N24Rik",0.382193626328549,1.33680355402825
"1810021B22Rik",0.524599037386386,0.460525264195103
"1810022K09Rik",2.29388174908846,5.34034402266266
"1810024B03Rik",0.95315524548109,1.39315425269524
"1810026B05Rik",1.5851926347332,3.94058361594179
"1810030O07Rik",3.7721876677854,4.87275978945708
"1810032O08Rik",2.54228040548973,2.9661738902221
"1810037I17Rik",7.9001592209568,6.84831609747162
"1810041H14Rik",0.43584539497341,1.3546355254584
"1810041L15Rik",1.65164464474201,0.144208697003072
"1810043G02Rik",4.0998029447323,4.534133068837
