Gene,Category,QNP_avg,TAP_avg,FC20
RN7SL399P,QNPbyTAP_FC20,1.87325,0.0002825,6630.973451
SHB,QNPbyTAP_FC20,1.302792857,0.000535,2435.126836
AP1G2,QNPbyTAP_FC20,1.520127143,0.000713,2132.015628
CDH12P2,QNPbyTAP_FC20,1.584012857,0.00079525,1991.842637
RP11-769O8.3,QNPbyTAP_FC20,-0.294113286,-0.000175837,1672.642558
PAPSS2,QNPbyTAP_FC20,-2.610485714,-0.00169375,1541.246178
C7orf57,QNPbyTAP_FC20,2.399285714,0.00302125,794.1367693
TSPAN7,QNPbyTAP_FC20,4.263657143,0.0074875,569.4366802
HSP90B3P,QNPbyTAP_FC20,-0.911972857,-0.002438375,374.0084512
ASNSP4,QNPbyTAP_FC20,1.398828571,0.00376275,371.7569787
TRPM3,QNPbyTAP_FC20,2.609614286,0.0070625,369.5029077
IL1R1,QNPbyTAP_FC20,-3.6842,-0.0105875,347.9763872
SLC27A5,QNPbyTAP_FC20,0.498077143,0.0017625,282.5969605
EGFL7,QNPbyTAP_FC20,2.2078,0.00948625,232.736856
SNORA65,QNPbyTAP_FC20,0.172229714,0.0012895,133.5631751
GPR1,QNPbyTAP_FC20,-3.286157143,-0.0255775,128.4784339
PCDHGA12,QNPbyTAP_FC20,4.427571429,0.03635,121.8038907
LINC01004,QNPbyTAP_FC20,1.485764286,0.012225,121.5349109
LINC01023,QNPbyTAP_FC20,1.106821571,0.00998375,110.8623084
SYT12,QNPbyTAP_FC20,1.186744286,0.0115125,103.0831084
ZNF425,QNPbyTAP_FC20,2.3962,0.02394625,100.0657723
IL11RA,QNPbyTAP_FC20,2.4977,0.0259375,96.29686747
RNA5SP82,QNPbyTAP_FC20,-0.51969,-0.00565125,91.9601858
MED12L,QNPbyTAP_FC20,1.761714286,0.020025,87.9757446
KRTCAP3,QNPbyTAP_FC20,1.092522857,0.012519875,87.26308027
TCN2,QNPbyTAP_FC20,-2.103431429,-0.0259525,81.04927959
RORB,QNPbyTAP_FC20,3.652442857,0.0454875,80.2955286
NDUFAF6,QNPbyTAP_FC20,0.588908571,0.0075775,77.71805628
RBM26-AS1,QNPbyTAP_FC20,0.320512857,0.0041755,76.76035376
MIR503HG,QNPbyTAP_FC20,0.745804286,0.010031,74.34994375
CHST6,QNPbyTAP_FC20,1.467911429,0.02041625,71.89916995
AHRR,QNPbyTAP_FC20,2.133285714,0.03366,63.3774722
RNF217,QNPbyTAP_FC20,1.512461429,0.025415,59.51058149
CTD-2609K8.3,QNPbyTAP_FC20,0.301489286,0.00508425,59.29867448
FRS3,QNPbyTAP_FC20,1.683228571,0.02844375,59.17744923
RP11-698F20.3,QNPbyTAP_FC20,0.377983857,0.006602125,57.25184803
EDIL3,QNPbyTAP_FC20,-6.430285714,-0.1161,55.3857512
RP3-402G11.27,QNPbyTAP_FC20,0.634614286,0.011869125,53.46765543
SNORD63,QNPbyTAP_FC20,0.73867,0.01391975,53.06632662
DMTN,QNPbyTAP_FC20,2.413357143,0.04625,52.18069498
THAP6,QNPbyTAP_FC20,1.440035714,0.02875375,50.08166637
CEP72,QNPbyTAP_FC20,0.821701429,0.01703125,48.24668938
TFEB,QNPbyTAP_FC20,1.3859,0.02910375,47.61929305
TPM3P6,QNPbyTAP_FC20,-0.275409,-0.006059625,45.44984219
SHH,QNPbyTAP_FC20,5.557578571,0.1238375,44.87799391
RP11-98J23.2,QNPbyTAP_FC20,1.880284286,0.04273125,44.00255751
PVT1,QNPbyTAP_FC20,1.301617143,0.030145,43.17854181
RP11-447H19.3,QNPbyTAP_FC20,1.577034286,0.03655125,43.1458373
AC064836.3,QNPbyTAP_FC20,-1.438929286,-0.03351625,42.93228764
ZNF599,QNPbyTAP_FC20,0.22153,0.0051935,42.65524213
MAMDC4,QNPbyTAP_FC20,2.785,0.06769625,41.13964954
LL0XNC01-237H1.2,QNPbyTAP_FC20,0.758487143,0.0184575,41.09370949
Metazoa_SRP,QNPbyTAP_FC20,-0.621161286,-0.01515125,40.99736231
CHMP4A,QNPbyTAP_FC20,0.420969571,0.010314875,40.81189267
SNORD94,QNPbyTAP_FC20,-1.036931429,-0.02545125,40.74186645
LGMNP1,QNPbyTAP_FC20,1.157365714,0.03077375,37.60886191
HERC3,QNPbyTAP_FC20,1.344882857,0.03661875,36.72661839
RP11-1391J7.1,QNPbyTAP_FC20,1.060461429,0.031,34.20843318
HMBOX1,QNPbyTAP_FC20,1.448294286,0.04242625,34.13674991
ARL6IP1P3,QNPbyTAP_FC20,-0.635120714,-0.01878625,33.80774313
CTD-2373N4.3,QNPbyTAP_FC20,2.172442857,0.0648225,33.51371603
RP11-798G7.5,QNPbyTAP_FC20,-0.097965629,-0.0029785,32.89092784
EBF1,QNPbyTAP_FC20,2.297414286,0.0719125,31.94735666
ARHGEF9,QNPbyTAP_FC20,1.743248571,0.054675,31.88383304
C17orf51,QNPbyTAP_FC20,-0.986142857,-0.0312525,31.5540471
IMMP2L,QNPbyTAP_FC20,1.473795714,0.04883375,30.17985951
ABCC2,QNPbyTAP_FC20,-0.880813714,-0.0294375,29.92148499
PDE4D,QNPbyTAP_FC20,2.176775714,0.073165,29.75159864
ANKRD46,QNPbyTAP_FC20,1.266655714,0.044255,28.6217538
AC017104.2,QNPbyTAP_FC20,0.449885429,0.01575775,28.55010573
CPNE5,QNPbyTAP_FC20,3.380214286,0.1189125,28.42606358
AL136097.1,QNPbyTAP_FC20,1.193294286,0.0423162,28.19946701
SYTL5,QNPbyTAP_FC20,2.777312857,0.1033875,26.86313971
L3MBTL4,QNPbyTAP_FC20,1.688028571,0.0634175,26.61770917
HSPA1L,QNPbyTAP_FC20,1.578042857,0.05965,26.45503533
ABCG1,QNPbyTAP_FC20,2.186881429,0.082745,26.42916706
SNORA5C,QNPbyTAP_FC20,0.840478429,0.031986625,26.27593341
LINC00976,QNPbyTAP_FC20,1.385257143,0.0532775,26.00079101
RP11-428P16.2,QNPbyTAP_FC20,-1.997914286,-0.07735375,25.82827963
AC008746.5,QNPbyTAP_FC20,0.73697,0.028790125,25.59801321
CAMK2A,QNPbyTAP_FC20,3.917014286,0.1538175,25.46533578
AC005086.2,QNPbyTAP_FC20,0.892354286,0.0361245,24.70219064
RP11-144C15.1,QNPbyTAP_FC20,-0.111572571,-0.00456225,24.45560226
RP5-862P8.2,QNPbyTAP_FC20,-0.310662857,-0.01305,23.80558292
PPP1R3F,QNPbyTAP_FC20,2.077228571,0.0895875,23.18658933
CTD-3018O17.5,QNPbyTAP_FC20,0.787154286,0.03411325,23.0747374
RP11-53O19.1,QNPbyTAP_FC20,2.220342857,0.09643375,23.02454127
RP11-397A15.4,QNPbyTAP_FC20,-2.785814286,-0.121015,23.02040479
ABHD18,QNPbyTAP_FC20,1.485628571,0.0645375,23.01961761
ANXA6,QNPbyTAP_FC20,-2.461919429,-0.10747375,22.90716969
C4orf48,QNPbyTAP_FC20,-4.520885714,-0.2028625,22.28546781
RP11-378J18.8,QNPbyTAP_FC20,-0.179213143,-0.0080525,22.25559054
ZNF33B,QNPbyTAP_FC20,-1.219938571,-0.0552275,22.08933179
UBE2D4,QNPbyTAP_FC20,1.499157143,0.0701,21.38597921
HMGA1P1,QNPbyTAP_FC20,1.444978571,0.06864025,21.05147594
