Gene,Category
Aanat2,qRG_BY_aRG_up
Aatka,qRG_BY_aRG_up
Abhd15A,qRG_BY_aRG_up
Abtb2B,qRG_BY_aRG_up
Actr2B,qRG_BY_aRG_up
Adgrb1B,qRG_BY_aRG_up
Alas2,qRG_BY_aRG_up
Angptl5,qRG_BY_aRG_up
Anxa6,qRG_BY_aRG_up
Aoc1,qRG_BY_aRG_up
Ap1M3,qRG_BY_aRG_up
Ap1S3B,qRG_BY_aRG_up
Aplnra,qRG_BY_aRG_up
Aplnrb,qRG_BY_aRG_up
Arhgap32A,qRG_BY_aRG_up
Arpp21,qRG_BY_aRG_up
Asb4,qRG_BY_aRG_up
Asb5B,qRG_BY_aRG_up
Atp1A3A,qRG_BY_aRG_up
Atp1B1B,qRG_BY_aRG_up
Atp1B3B,qRG_BY_aRG_up
Atp2A3,qRG_BY_aRG_up
Atp2B3B,qRG_BY_aRG_up
B3Gat2,qRG_BY_aRG_up
B4Galnt1A,qRG_BY_aRG_up
Ba1,qRG_BY_aRG_up
Ba1,qRG_BY_aRG_up
Bambia,qRG_BY_aRG_up
Bin1B,qRG_BY_aRG_up
Bmp7B,qRG_BY_aRG_up
C1Ql3B,qRG_BY_aRG_up
C1Ql4A,qRG_BY_aRG_up
C1Qtnf4,qRG_BY_aRG_up
C6,qRG_BY_aRG_up
C7B,qRG_BY_aRG_up
Ca10A,qRG_BY_aRG_up
Cacng1A,qRG_BY_aRG_up
Cacng7B,qRG_BY_aRG_up
Cadm4,qRG_BY_aRG_up
Camk1B,qRG_BY_aRG_up
Camk1Db,qRG_BY_aRG_up
Camk1Gb,qRG_BY_aRG_up
Camk2A,qRG_BY_aRG_up
Camk2D1,qRG_BY_aRG_up
Camk2D2,qRG_BY_aRG_up
Camk2N1A,qRG_BY_aRG_up
Cart2,qRG_BY_aRG_up
Caska,qRG_BY_aRG_up
Cbln2B,qRG_BY_aRG_up
Ccdc136B,qRG_BY_aRG_up
Ccka,qRG_BY_aRG_up
Ccl25B,qRG_BY_aRG_up
Cd226,qRG_BY_aRG_up
Cd36,qRG_BY_aRG_up
Cd59,qRG_BY_aRG_up
Cd81B,qRG_BY_aRG_up
Cd9B,qRG_BY_aRG_up
Cdc42Ep3,qRG_BY_aRG_up
Cdh18A,qRG_BY_aRG_up
Cdhr5,qRG_BY_aRG_up
Cdk15,qRG_BY_aRG_up
Cdk5R2A,qRG_BY_aRG_up
Cfl1L,qRG_BY_aRG_up
Ch1073-291C23.1,qRG_BY_aRG_up
Chga,qRG_BY_aRG_up
Chn2,qRG_BY_aRG_up
Ckmt1,qRG_BY_aRG_up
Cldn19,qRG_BY_aRG_up
Cldnk,qRG_BY_aRG_up
Clstn3,qRG_BY_aRG_up
Cnih3,qRG_BY_aRG_up
Col9A3,qRG_BY_aRG_up
Colec11,qRG_BY_aRG_up
Cp,qRG_BY_aRG_up
Crhbp,qRG_BY_aRG_up
Csf1Rb,qRG_BY_aRG_up
Csf2Rb,qRG_BY_aRG_up
Csrp1B,qRG_BY_aRG_up
Cx27.5,qRG_BY_aRG_up
Cxcl11.6,qRG_BY_aRG_up
Cyp26B1,qRG_BY_aRG_up
Cyth3A,qRG_BY_aRG_up
Dnm1A,qRG_BY_aRG_up
Dnm3A,qRG_BY_aRG_up
Dok6,qRG_BY_aRG_up
Edil3A,qRG_BY_aRG_up
Eef1A1B,qRG_BY_aRG_up
Egr4,qRG_BY_aRG_up
Ehd4,qRG_BY_aRG_up
Elfn1A,qRG_BY_aRG_up
Elovl7A,qRG_BY_aRG_up
Eno2,qRG_BY_aRG_up
Epas1B,qRG_BY_aRG_up
Fabp10B,qRG_BY_aRG_up
Fam212Aa,qRG_BY_aRG_up
Fbxo41,qRG_BY_aRG_up
Fhl3A,qRG_BY_aRG_up
Flj13639,qRG_BY_aRG_up
Flvcr2B,qRG_BY_aRG_up
Fndc4B,qRG_BY_aRG_up
Foxb1A,qRG_BY_aRG_up
Fstb,qRG_BY_aRG_up
Fut9A,qRG_BY_aRG_up
Gabra5,qRG_BY_aRG_up
Gabrb2,qRG_BY_aRG_up
Gad1B,qRG_BY_aRG_up
Gad2,qRG_BY_aRG_up
Gdf11,qRG_BY_aRG_up
Gfra2B,qRG_BY_aRG_up
Gfra4A,qRG_BY_aRG_up
Glipr2,qRG_BY_aRG_up
Glipr2L,qRG_BY_aRG_up
Glmnb,qRG_BY_aRG_up
Gnat1,qRG_BY_aRG_up
Gng8,qRG_BY_aRG_up
Gngt1,qRG_BY_aRG_up
Gpr186,qRG_BY_aRG_up
Gpr78B,qRG_BY_aRG_up
Grap2A,qRG_BY_aRG_up
