Gene,Category,sample_1,sample_2,value_1_Pro,value_2_Qui,FC
MDFIC,QuiBYPro_FC_,Pro,Qui,0.00383288,0.00745976,1.946254514
TBCE,QuiBYPro_FC_,Pro,Qui,0.00029165,0.000566897,1.943757929
SMIM22,QuiBYPro_FC_,Pro,Qui,0.000127004,0.000246158,1.938190923
RPSAP26,QuiBYPro_FC_,Pro,Qui,0.000724008,0.00139644,1.928763218
XPO6,QuiBYPro_FC_,Pro,Qui,0.025823,0.0496848,1.924052202
FGGY,QuiBYPro_FC_,Pro,Qui,9.15E-06,1.76E-05,1.922131331
KIAA0556,QuiBYPro_FC_,Pro,Qui,0.00539645,0.0103714,1.921893096
DMGDH,QuiBYPro_FC_,Pro,Qui,0.00110191,0.00211541,1.919766587
RAD23A,QuiBYPro_FC_,Pro,Qui,0.00410999,0.00784173,1.907968146
OSBPL5,QuiBYPro_FC_,Pro,Qui,8.71E-05,0.000165798,1.903062039
LHX6,QuiBYPro_FC_,Pro,Qui,0.00647691,0.0123241,1.902774626
SNHG11,QuiBYPro_FC_,Pro,Qui,8.33E-06,1.58E-05,1.901221621
TPP1,QuiBYPro_FC_,Pro,Qui,0.00112039,0.00212978,1.900927356
H6PD,QuiBYPro_FC_,Pro,Qui,0.000210403,0.000397846,1.890876081
IL10RA,QuiBYPro_FC_,Pro,Qui,0.00056292,0.00106355,1.889344845
USP2,QuiBYPro_FC_,Pro,Qui,1.27E-05,2.38E-05,1.880760669
FAM192A,QuiBYPro_FC_,Pro,Qui,8.76E-05,0.000164425,1.877780125
PSTPIP2,QuiBYPro_FC_,Pro,Qui,0.000596639,0.00111848,1.87463441
HIC1,QuiBYPro_FC_,Pro,Qui,0.000592398,0.0011082,1.870701792
METTL5,QuiBYPro_FC_,Pro,Qui,0.000660946,0.00123626,1.870440248
CCDC82,QuiBYPro_FC_,Pro,Qui,0.0013556,0.00253554,1.870419003
ZNF606,QuiBYPro_FC_,Pro,Qui,4.64E-05,8.68E-05,1.869882171
SPATA2L,QuiBYPro_FC_,Pro,Qui,0.00613531,0.0114277,1.862611669
