Gene,Category,sample_1,sample_2,value_1_Pro,value_2_Qui,FC
TFDP2,QuiBYPro_FC_,Pro,Qui,0.00561252,0.00915467,1.631115791
DYNC1I2,QuiBYPro_FC_,Pro,Qui,0.0843064,0.137489,1.630825181
GPR132,QuiBYPro_FC_,Pro,Qui,0.000412034,0.000671745,1.630314489
TRIM50,QuiBYPro_FC_,Pro,Qui,1.35E-06,2.20E-06,1.629079329
ZNF254,QuiBYPro_FC_,Pro,Qui,0.0146388,0.0238408,1.628603437
SEPT2,QuiBYPro_FC_,Pro,Qui,0.00762179,0.0124113,1.628397004
NDRG2,QuiBYPro_FC_,Pro,Qui,0.00141529,0.00230453,1.628309392
P3H3,QuiBYPro_FC_,Pro,Qui,0.00215897,0.00351025,1.62589105
AEN,QuiBYPro_FC_,Pro,Qui,0.0016624,0.00270225,1.625511309
DLG3,QuiBYPro_FC_,Pro,Qui,3.34E-05,5.43E-05,1.625421432
REC8,QuiBYPro_FC_,Pro,Qui,0.00212623,0.0034551,1.62498883
ITGB1BP1,QuiBYPro_FC_,Pro,Qui,0.0253096,0.0411159,1.624517969
NUPL2,QuiBYPro_FC_,Pro,Qui,0.000186914,0.000303554,1.624030303
SNX32,QuiBYPro_FC_,Pro,Qui,0.00686554,0.011148,1.623761569
CHTF18,QuiBYPro_FC_,Pro,Qui,0.00016412,0.000266469,1.623622959
DNAJB2,QuiBYPro_FC_,Pro,Qui,0.0878783,0.142655,1.623324529
ERBB4,QuiBYPro_FC_,Pro,Qui,0.00163134,0.00264728,1.622764108
SENP3,QuiBYPro_FC_,Pro,Qui,0.131816,0.213771,1.621737877
MBNL2,QuiBYPro_FC_,Pro,Qui,0.000691765,0.00112168,1.621475501
CCDC18-AS1,QuiBYPro_FC_,Pro,Qui,0.00564327,0.00914458,1.620439922
HPS1,QuiBYPro_FC_,Pro,Qui,0.0139843,0.0226555,1.620066789
PLCXD1,QuiBYPro_FC_,Pro,Qui,0.00145872,0.002359,1.617171219
TAF1C,QuiBYPro_FC_,Pro,Qui,0.0210762,0.0340799,1.616985035
CHST1,QuiBYPro_FC_,Pro,Qui,3.28E-05,5.29E-05,1.616524641
NGDN,QuiBYPro_FC_,Pro,Qui,0.148523,0.239992,1.615857477
MGST1,QuiBYPro_FC_,Pro,Qui,0.00937502,0.0151464,1.615612553
RBMS3-AS2,QuiBYPro_FC_,Pro,Qui,1.14E-05,1.84E-05,1.615232504
FCF1,QuiBYPro_FC_,Pro,Qui,0.0524603,0.0847161,1.614861143
TPK1,QuiBYPro_FC_,Pro,Qui,0.00314383,0.00507448,1.614107633
VAC14,QuiBYPro_FC_,Pro,Qui,0.00843899,0.0136125,1.613048481
FAM49B,QuiBYPro_FC_,Pro,Qui,0.003348,0.00539951,1.61275687
AAAS,QuiBYPro_FC_,Pro,Qui,0.054554,0.0879482,1.612131099
UBE2K,QuiBYPro_FC_,Pro,Qui,0.000289945,0.000467334,1.611802238
NHLRC3,QuiBYPro_FC_,Pro,Qui,0.213853,0.344649,1.611616391
GPR160,QuiBYPro_FC_,Pro,Qui,0.00264175,0.00425607,1.611079777
SMARCA2,QuiBYPro_FC_,Pro,Qui,0.548269,0.883259,1.610995697
FAM149A,QuiBYPro_FC_,Pro,Qui,0.00286515,0.00461325,1.610125124
IMP4,QuiBYPro_FC_,Pro,Qui,0.0351966,0.0566672,1.61001915
AMT,QuiBYPro_FC_,Pro,Qui,0.00399371,0.00642819,1.609578562
TLR1,QuiBYPro_FC_,Pro,Qui,0.00738548,0.0118868,1.60948239
HIP1R,QuiBYPro_FC_,Pro,Qui,0.0312106,0.0502117,1.608802779
ANK3,QuiBYPro_FC_,Pro,Qui,7.20E-05,0.000115744,1.608355266
CCNL1,QuiBYPro_FC_,Pro,Qui,0.00038062,0.000612096,1.608155115
DHDDS,QuiBYPro_FC_,Pro,Qui,0.0172411,0.0277174,1.607635244
GSTA4,QuiBYPro_FC_,Pro,Qui,0.0169282,0.0272138,1.607601517
DCUN1D5,QuiBYPro_FC_,Pro,Qui,0.0126728,0.0203717,1.60751373
