Gene,Category
TMPRSS5,ADbyCON_FC1.25
HP,ADbyCON_FC1.25
BCL3,ADbyCON_FC1.25
CCL2,ADbyCON_FC1.25
CXCL1,ADbyCON_FC1.25
ROM1,ADbyCON_FC1.25
SLCO4A1,ADbyCON_FC1.25
TNFRSF11B,ADbyCON_FC1.25
MIA,ADbyCON_FC1.25
CRYAB,ADbyCON_FC1.25
MT2A,ADbyCON_FC1.25
GEM,ADbyCON_FC1.25
S100A12,ADbyCON_FC1.25
MAFF,ADbyCON_FC1.25
F13A1,ADbyCON_FC1.25
OR7A5,ADbyCON_FC1.25
MT1G,ADbyCON_FC1.25
IL1R2,ADbyCON_FC1.25
S100A4,ADbyCON_FC1.25
ANGPT2,ADbyCON_FC1.25
CEBPD,ADbyCON_FC1.25
PRELP,ADbyCON_FC1.25
HSPA1A,ADbyCON_FC1.25
HSD11B2,ADbyCON_FC1.25
MYOT,ADbyCON_FC1.25
FKBP5,ADbyCON_FC1.25
MRC1,ADbyCON_FC1.25
ITPKB,ADbyCON_FC1.25
MSX1,ADbyCON_FC1.25
COL8A1,ADbyCON_FC1.25
TNFRSF10D,ADbyCON_FC1.25
HIST1H2BD,ADbyCON_FC1.25
SLC1A7,ADbyCON_FC1.25
TLN1,ADbyCON_FC1.25
PLA1A,ADbyCON_FC1.25
CD163,ADbyCON_FC1.25
AEBP1,ADbyCON_FC1.25
GJA1,ADbyCON_FC1.25
CD44,ADbyCON_FC1.25
CFI,ADbyCON_FC1.25
LILRB3,ADbyCON_FC1.25
S100A9,ADbyCON_FC1.25
EPHA2,ADbyCON_FC1.25
ADH1B,ADbyCON_FC1.25
VSIG4,ADbyCON_FC1.25
GBP2,ADbyCON_FC1.25
S100A10,ADbyCON_FC1.25
FGL2,ADbyCON_FC1.25
CD34,ADbyCON_FC1.25
PXN,ADbyCON_FC1.25
ID3,ADbyCON_FC1.25
MSR1,ADbyCON_FC1.25
C1QA,ADbyCON_FC1.25
MICA,ADbyCON_FC1.25
FMOD,ADbyCON_FC1.25
KLK14,ADbyCON_FC1.25
TNFRSF1B,ADbyCON_FC1.25
RNF17,ADbyCON_FC1.25
FAM107A,ADbyCON_FC1.25
CDKN1A,ADbyCON_FC1.25
GPSM3,ADbyCON_FC1.25
S100A8,ADbyCON_FC1.25
TLR8,ADbyCON_FC1.25
CRABP1,ADbyCON_FC1.25
VNN2,ADbyCON_FC1.25
TIMP1,ADbyCON_FC1.25
APOD,ADbyCON_FC1.25
MT1X,ADbyCON_FC1.25
MS4A6A,ADbyCON_FC1.25
CLEC2B,ADbyCON_FC1.25
CLU,ADbyCON_FC1.25
S100A11,ADbyCON_FC1.25
ANGPTL4,ADbyCON_FC1.25
C21orf62,ADbyCON_FC1.25
NFKBIA,ADbyCON_FC1.25
CD99,ADbyCON_FC1.25
CDA,ADbyCON_FC1.25
CXCR4,ADbyCON_FC1.25
QDPR,ADbyCON_FC1.25
PCK1,ADbyCON_FC1.25
KDR,ADbyCON_FC1.25
IL18,ADbyCON_FC1.25
CFH,ADbyCON_FC1.25
FCGR2A,ADbyCON_FC1.25
FOXC1,ADbyCON_FC1.25
ITGA5,ADbyCON_FC1.25
A4GALT,ADbyCON_FC1.25
HIST1H1C,ADbyCON_FC1.25
TPD52L1,ADbyCON_FC1.25
IL18RAP,ADbyCON_FC1.25
AGTR1,ADbyCON_FC1.25
VCAM1,ADbyCON_FC1.25
HPR,ADbyCON_FC1.25
GYPC,ADbyCON_FC1.25
SLC6A20,ADbyCON_FC1.25
GPR4,ADbyCON_FC1.25
LCP1,ADbyCON_FC1.25
ADORA2A,ADbyCON_FC1.25
SLC7A7,ADbyCON_FC1.25
ALX3,ADbyCON_FC1.25
STX11,ADbyCON_FC1.25
GJA4,ADbyCON_FC1.25
AKR1C3,ADbyCON_FC1.25
TRIP10,ADbyCON_FC1.25
TGFBR3,ADbyCON_FC1.25
PLTP,ADbyCON_FC1.25
ZFP36L1,ADbyCON_FC1.25
IL3RA,ADbyCON_FC1.25
ANXA2,ADbyCON_FC1.25
IRF1,ADbyCON_FC1.25
IL17RB,ADbyCON_FC1.25
CPVL,ADbyCON_FC1.25
ZIC1,ADbyCON_FC1.25
LILRB5,ADbyCON_FC1.25
TNFRSF10B,ADbyCON_FC1.25
EMP1,ADbyCON_FC1.25
SEPP1,ADbyCON_FC1.25
SLC38A2,ADbyCON_FC1.25
RNASE2,ADbyCON_FC1.25
LRRC32,ADbyCON_FC1.25
C1QB,ADbyCON_FC1.25
IER3,ADbyCON_FC1.25
TNFRSF1A,ADbyCON_FC1.25
IL10RA,ADbyCON_FC1.25
CES1,ADbyCON_FC1.25
CP,ADbyCON_FC1.25
IFITM2,ADbyCON_FC1.25
PPBP,ADbyCON_FC1.25
IL18R1,ADbyCON_FC1.25
IGF2,ADbyCON_FC1.25
CFB,ADbyCON_FC1.25
C7,ADbyCON_FC1.25
LILRA2,ADbyCON_FC1.25
ANXA3,ADbyCON_FC1.25
GADD45B,ADbyCON_FC1.25
CYP1B1,ADbyCON_FC1.25
ADH1A,ADbyCON_FC1.25
AZGP1,ADbyCON_FC1.25
CD180,ADbyCON_FC1.25
PYGL,ADbyCON_FC1.25
EMP3,ADbyCON_FC1.25
FRZB,ADbyCON_FC1.25
C1S,ADbyCON_FC1.25
CEBPB,ADbyCON_FC1.25
EBI3,ADbyCON_FC1.25
FGF2,ADbyCON_FC1.25
ALOX5AP,ADbyCON_FC1.25
NFE2,ADbyCON_FC1.25
HIGD1B,ADbyCON_FC1.25
BACE2,ADbyCON_FC1.25
CNN2,ADbyCON_FC1.25
CASP4,ADbyCON_FC1.25
CASP1,ADbyCON_FC1.25
TXNIP,ADbyCON_FC1.25
LAT2,ADbyCON_FC1.25
HIST2H2BE,ADbyCON_FC1.25
LAMP2,ADbyCON_FC1.25
SIPA1,ADbyCON_FC1.25
CHORDC1,ADbyCON_FC1.25
IFI30,ADbyCON_FC1.25
C1R,ADbyCON_FC1.25
LIMK2,ADbyCON_FC1.25
FOXJ1,ADbyCON_FC1.25
ELK1,ADbyCON_FC1.25
SELL,ADbyCON_FC1.25
VIM,ADbyCON_FC1.25
TYROBP,ADbyCON_FC1.25
TINAGL1,ADbyCON_FC1.25
P2RX7,ADbyCON_FC1.25
IFITM1,ADbyCON_FC1.25
C5AR1,ADbyCON_FC1.25
ABCA1,ADbyCON_FC1.25
BGN,ADbyCON_FC1.25
FANCC,ADbyCON_FC1.25
BCL6,ADbyCON_FC1.25
CLIC1,ADbyCON_FC1.25
COL18A1,ADbyCON_FC1.25
COL6A3,ADbyCON_FC1.25
SERPIND1,ADbyCON_FC1.25
PF4,ADbyCON_FC1.25
ACSL5,ADbyCON_FC1.25
TCL1B,ADbyCON_FC1.25
FXYD3,ADbyCON_FC1.25
AQP1,ADbyCON_FC1.25
ADM,ADbyCON_FC1.25
TNS1,ADbyCON_FC1.25
SLC13A4,ADbyCON_FC1.25
MAPKAPK2,ADbyCON_FC1.25
SERPINA5,ADbyCON_FC1.25
IQGAP1,ADbyCON_FC1.25
