"GeneHu","Category"
"C9orf24","QNSCbyPNSCBen_FC5_"
"C11orf1","QNSCbyPNSCBen_FC5_"
"C16orf74","QNSCbyPNSCBen_FC5_"
"C19orf81","QNSCbyPNSCBen_FC5_"
"C17orf50","QNSCbyPNSCBen_FC5_"
"FAM177A1","QNSCbyPNSCBen_FC5_"
"MISP3","QNSCbyPNSCBen_FC5_"
"C2orf72","PNSCbyQNSCBen_FC5_"
"C16orf45","QNSCbyPNSCBen_FC5_"
"C20orf194","QNSCbyPNSCBen_FC5_"
"C2orf73","QNSCbyPNSCBen_FC5_"
"KIAA0895L","PNSCbyQNSCBen_FC5_"
"C21orf62","QNSCbyPNSCBen_FC5_"
"C8orf58","QNSCbyPNSCBen_FC5_"
"A2M","QNSCbyPNSCBen_FC5_"
"SP110","QNSCbyPNSCBen_FC5_"
"PRR35","QNSCbyPNSCBen_FC5_"
"C15orf48","QNSCbyPNSCBen_FC5_"
"ABAT","QNSCbyPNSCBen_FC5_"
"ABCA1","QNSCbyPNSCBen_FC5_"
"ABCA5","QNSCbyPNSCBen_FC5_"
"ABCB1","QNSCbyPNSCBen_FC5_"
"ABCC12","PNSCbyQNSCBen_FC5_"
"ABCC3","QNSCbyPNSCBen_FC5_"
"ABHD14B","QNSCbyPNSCBen_FC5_"
"ABI3","QNSCbyPNSCBen_FC5_"
"ABLIM1","QNSCbyPNSCBen_FC5_"
"ABLIM2","QNSCbyPNSCBen_FC5_"
"ACOT2","PNSCbyQNSCBen_FC5_"
"ACOT1","PNSCbyQNSCBen_FC5_"
"ACOT7","PNSCbyQNSCBen_FC5_"
"ACOX3","QNSCbyPNSCBen_FC5_"
"ACSS1","PNSCbyQNSCBen_FC5_"
"ADA","PNSCbyQNSCBen_FC5_"
"ADAM11","QNSCbyPNSCBen_FC5_"
"ADAM12","PNSCbyQNSCBen_FC5_"
"ADAM22","QNSCbyPNSCBen_FC5_"
"ADAM23","QNSCbyPNSCBen_FC5_"
"ADAMTS1","QNSCbyPNSCBen_FC5_"
"ADAMTS15","QNSCbyPNSCBen_FC5_"
"ADAMTS17","PNSCbyQNSCBen_FC5_"
"ADAMTS7","PNSCbyQNSCBen_FC5_"
"ADAMTSL1","QNSCbyPNSCBen_FC5_"
"ADAMTSL2","QNSCbyPNSCBen_FC5_"
"ADAMTSL3","QNSCbyPNSCBen_FC5_"
"ADAMTSL4","QNSCbyPNSCBen_FC5_"
"ADAP1","QNSCbyPNSCBen_FC5_"
"ADCY5","QNSCbyPNSCBen_FC5_"
"ADORA2B","QNSCbyPNSCBen_FC5_"
"ADRA1B","QNSCbyPNSCBen_FC5_"
"ADRA1D","QNSCbyPNSCBen_FC5_"
"ADRA2A","QNSCbyPNSCBen_FC5_"
"AGA","QNSCbyPNSCBen_FC5_"
"AGL","QNSCbyPNSCBen_FC5_"
"AGTRAP","QNSCbyPNSCBen_FC5_"
"AHNAK","QNSCbyPNSCBen_FC5_"
"AHNAK2","QNSCbyPNSCBen_FC5_"
"AHR","QNSCbyPNSCBen_FC5_"
"AIF1L","PNSCbyQNSCBen_FC5_"
"AIFM2","QNSCbyPNSCBen_FC5_"
"AIFM3","PNSCbyQNSCBen_FC5_"
"AK5","QNSCbyPNSCBen_FC5_"
"ALB","QNSCbyPNSCBen_FC5_"
"ALDH18A1","PNSCbyQNSCBen_FC5_"
"ALPL","QNSCbyPNSCBen_FC5_"
"AMOTL2","QNSCbyPNSCBen_FC5_"
"AMZ1","PNSCbyQNSCBen_FC5_"
"ANGPT4","QNSCbyPNSCBen_FC5_"
"ANGPTL2","QNSCbyPNSCBen_FC5_"
"ANKLE1","PNSCbyQNSCBen_FC5_"
"ANKRD34A","QNSCbyPNSCBen_FC5_"
"ANKRD34B","QNSCbyPNSCBen_FC5_"
"ANKRD35","QNSCbyPNSCBen_FC5_"
"ANKRD44","QNSCbyPNSCBen_FC5_"
"ANLN","PNSCbyQNSCBen_FC5_"
"ANXA1","QNSCbyPNSCBen_FC5_"
"ANXA11","QNSCbyPNSCBen_FC5_"
"ANXA2","QNSCbyPNSCBen_FC5_"
"ANXA4","QNSCbyPNSCBen_FC5_"
"ANXA5","QNSCbyPNSCBen_FC5_"
"AP3B2","QNSCbyPNSCBen_FC5_"
"APBA1","QNSCbyPNSCBen_FC5_"
"APCDD1","PNSCbyQNSCBen_FC5_"
"APLN","PNSCbyQNSCBen_FC5_"
"APLNR","QNSCbyPNSCBen_FC5_"
"APOC1","QNSCbyPNSCBen_FC5_"
"APOC2","QNSCbyPNSCBen_FC5_"
"APOC4","QNSCbyPNSCBen_FC5_"
"APOC4-APOC2","QNSCbyPNSCBen_FC5_"
"APOE","QNSCbyPNSCBen_FC5_"
"APOH","QNSCbyPNSCBen_FC5_"
"APP","QNSCbyPNSCBen_FC5_"
"APPL2","QNSCbyPNSCBen_FC5_"
"AQP4","QNSCbyPNSCBen_FC5_"
"AQP5","QNSCbyPNSCBen_FC5_"
"AQP9","QNSCbyPNSCBen_FC5_"
"AR","QNSCbyPNSCBen_FC5_"
"AREG","PNSCbyQNSCBen_FC5_"
"ARHGAP11A","PNSCbyQNSCBen_FC5_"
"ARHGAP11B","PNSCbyQNSCBen_FC5_"
"ARHGAP19-SLIT1","PNSCbyQNSCBen_FC5_"
"ARHGAP19","PNSCbyQNSCBen_FC5_"
"ARHGAP20","QNSCbyPNSCBen_FC5_"
"ARHGAP23","QNSCbyPNSCBen_FC5_"
"ARHGAP33","PNSCbyQNSCBen_FC5_"
"ARHGDIG","PNSCbyQNSCBen_FC5_"
"ARHGEF19","QNSCbyPNSCBen_FC5_"
"ARL4D","QNSCbyPNSCBen_FC5_"
"ARMCX4","PNSCbyQNSCBen_FC5_"
"ARNTL2","QNSCbyPNSCBen_FC5_"
"ARPP21","PNSCbyQNSCBen_FC5_"
"ART3","QNSCbyPNSCBen_FC5_"
"ARVCF","QNSCbyPNSCBen_FC5_"
"ASAP3","QNSCbyPNSCBen_FC5_"
"ASF1B","PNSCbyQNSCBen_FC5_"
"ASPA","QNSCbyPNSCBen_FC5_"
"ASPDH","PNSCbyQNSCBen_FC5_"
"ASPM","PNSCbyQNSCBen_FC5_"
"ASS1","QNSCbyPNSCBen_FC5_"
