Gene,Category,sample_1,sample_2,value_1_tap,value_2_qnp,FC5
Dnajb13,qnpBYtap_FC5_,tap,qnp,0.0496414,3.29268,66.32931384
Prrg2,qnpBYtap_FC5_,tap,qnp,0.199701,12.7956,64.07379032
AC133403.1,qnpBYtap_FC5_,tap,qnp,0.802756,50.5494,62.96981897
Cyp2c11,qnpBYtap_FC5_,tap,qnp,0.209056,12.962,62.00252564
Slc36a1,qnpBYtap_FC5_,tap,qnp,0.438159,26.5347,60.55952291
Col1a1,qnpBYtap_FC5_,tap,qnp,0.0173493,1.03852,59.8594756
Nipa1,qnpBYtap_FC5_,tap,qnp,0.442191,26.2488,59.36077396
Col6a1,qnpBYtap_FC5_,tap,qnp,0.191198,11.2032,58.59475518
Itga3,qnpBYtap_FC5_,tap,qnp,0.454231,26.5082,58.35841235
Arhgap24,qnpBYtap_FC5_,tap,qnp,0.402694,23.466,58.27253448
Scrn2,qnpBYtap_FC5_,tap,qnp,0.164381,9.34869,56.87208376
Bag3,qnpBYtap_FC5_,tap,qnp,0.77449,43.795,56.54688892
Calml4,qnpBYtap_FC5_,tap,qnp,0.169486,9.42163,55.58942922
Snx32,qnpBYtap_FC5_,tap,qnp,0.325478,18.0161,55.35274274
Cdh13,qnpBYtap_FC5_,tap,qnp,0.398973,21.6538,54.27384811
Ntf4,qnpBYtap_FC5_,tap,qnp,0.0960259,5.11783,53.29635026
Pdzd7,qnpBYtap_FC5_,tap,qnp,0.0266622,1.39876,52.46228743
Ahnak,qnpBYtap_FC5_,tap,qnp,4.25889,220.322,51.73225887
Nav3,qnpBYtap_FC5_,tap,qnp,0.0740671,3.81711,51.5358371
Mgmt,qnpBYtap_FC5_,tap,qnp,0.193989,9.79353,50.48497595
Cyb561a3,qnpBYtap_FC5_,tap,qnp,0.202514,10.2053,50.39305925
Mvp,qnpBYtap_FC5_,tap,qnp,0.891577,44.6527,50.08283076
Plekhg2,qnpBYtap_FC5_,tap,qnp,1.30764,65.4484,50.0507785
Cd151,qnpBYtap_FC5_,tap,qnp,0.5098,25.3639,49.7526481
Lhb,qnpBYtap_FC5_,tap,qnp,0.0962729,4.75973,49.4399774
Furin,qnpBYtap_FC5_,tap,qnp,0.872649,43.1049,49.39546141
Cyr61,qnpBYtap_FC5_,tap,qnp,3.53106,172.806,48.93884556
AABR07005985.2,qnpBYtap_FC5_,tap,qnp,0.0622619,3.00742,48.3027341
Wwtr1,qnpBYtap_FC5_,tap,qnp,0.652961,30.199,46.24931657
Tspan18,qnpBYtap_FC5_,tap,qnp,0.0563358,2.60013,46.1541329
Trappc6a,qnpBYtap_FC5_,tap,qnp,0.30191,13.883,45.98390249
Tm4sf1,qnpBYtap_FC5_,tap,qnp,0.0589487,2.70765,45.93231064
Nudt22,qnpBYtap_FC5_,tap,qnp,0.388266,17.8005,45.84614671
Myo1d,qnpBYtap_FC5_,tap,qnp,0.327635,14.6645,44.75864911
Fbrs,qnpBYtap_FC5_,tap,qnp,0.982044,43.9286,44.73180428
Prss23,qnpBYtap_FC5_,tap,qnp,8.07376,350.817,43.45150215
Sdk2,qnpBYtap_FC5_,tap,qnp,1.09112,47.3753,43.418964
Msx2,qnpBYtap_FC5_,tap,qnp,0.174046,7.44701,42.78759638
LOC100911730,qnpBYtap_FC5_,tap,qnp,0.283854,12.0922,42.60006905
Slc8a2,qnpBYtap_FC5_,tap,qnp,0.429113,18.2293,42.48135107
Itgb5,qnpBYtap_FC5_,tap,qnp,0.626541,26.1115,41.67564453
Ms4a6a,qnpBYtap_FC5_,tap,qnp,0.0449775,1.86078,41.37135234
RGD1561796,qnpBYtap_FC5_,tap,qnp,0.126333,5.1946,41.1183143
LOC103691238,qnpBYtap_FC5_,tap,qnp,0.140079,5.73634,40.95074922
Wif1,qnpBYtap_FC5_,tap,qnp,2.19681,89.6395,40.80439364
Gpr179,qnpBYtap_FC5_,tap,qnp,0.0145888,0.595172,40.79650143
Syngr3,qnpBYtap_FC5_,tap,qnp,0.107635,4.3473,40.38927858
Ace,qnpBYtap_FC5_,tap,qnp,0.0649356,2.60049,40.04721601
Gdpd5,qnpBYtap_FC5_,tap,qnp,0.282961,11.159,39.43653012
Olfml2b,qnpBYtap_FC5_,tap,qnp,0.478367,18.7596,39.21591581
Sipa1,qnpBYtap_FC5_,tap,qnp,0.213938,8.30258,38.80834634
Neu3,qnpBYtap_FC5_,tap,qnp,0.0486776,1.8834,38.69130771
Ecm1,qnpBYtap_FC5_,tap,qnp,0.644052,24.9126,38.68103818
Apba1,qnpBYtap_FC5_,tap,qnp,0.967724,37.1236,38.3617643
RF01290,qnpBYtap_FC5_,tap,qnp,37.1228,1404.73,37.84008749
Fn1,qnpBYtap_FC5_,tap,qnp,0.671642,25.3109,37.68510605
Gng8,qnpBYtap_FC5_,tap,qnp,0.712151,26.6191,37.37844923
Zfp36,qnpBYtap_FC5_,tap,qnp,1.22459,45.4993,37.15472117
AC141959.1,qnpBYtap_FC5_,tap,qnp,0.0283378,1.0503,37.0635688
Pygm,qnpBYtap_FC5_,tap,qnp,0.0374021,1.38597,37.05594071
Mark4,qnpBYtap_FC5_,tap,qnp,0.961277,35.4279,36.85503762
RF00067,qnpBYtap_FC5_,tap,qnp,1241.77,45762.5,36.85263777
Stac2,qnpBYtap_FC5_,tap,qnp,0.816435,30.0655,36.82534433
RF00067,qnpBYtap_FC5_,tap,qnp,203.206,7447.38,36.64940996
Tshr,qnpBYtap_FC5_,tap,qnp,0.115823,4.20463,36.3022025
Atp2a3,qnpBYtap_FC5_,tap,qnp,0.0235691,0.854416,36.25153273
RF00554,qnpBYtap_FC5_,tap,qnp,43570.7,1.57E+06,35.93263363
Sst,qnpBYtap_FC5_,tap,qnp,0.3403,12.2029,35.85924185
Ccl5,qnpBYtap_FC5_,tap,qnp,1.33517,47.8111,35.80899811
Plekhh3,qnpBYtap_FC5_,tap,qnp,1.07764,38.4371,35.66784826
Osbpl5,qnpBYtap_FC5_,tap,qnp,0.526925,18.6852,35.46083408
Adamts5,qnpBYtap_FC5_,tap,qnp,0.133891,4.73721,35.38109358
Rom1,qnpBYtap_FC5_,tap,qnp,0.314387,11.0423,35.12327164
Dusp5,qnpBYtap_FC5_,tap,qnp,0.0456893,1.59879,34.99265692
Cyb5d2,qnpBYtap_FC5_,tap,qnp,0.255385,8.832,34.58308045
Dlx5,qnpBYtap_FC5_,tap,qnp,2.07475,71.7366,34.57602121
Vgll3,qnpBYtap_FC5_,tap,qnp,18.7086,644.251,34.43608822
Adm,qnpBYtap_FC5_,tap,qnp,0.452318,15.563,34.40720909
Fxyd1,qnpBYtap_FC5_,tap,qnp,2.3492,80.7353,34.36714626
Adra1b,qnpBYtap_FC5_,tap,qnp,0.0436183,1.4867,34.08431782
Papss2,qnpBYtap_FC5_,tap,qnp,1.61141,54.5204,33.83397149
Tspoap1,qnpBYtap_FC5_,tap,qnp,0.0548971,1.85417,33.77537247
Acsf2,qnpBYtap_FC5_,tap,qnp,1.21288,40.328,33.24978563
Stard8,qnpBYtap_FC5_,tap,qnp,0.0642791,2.13045,33.14374346
Sphk1,qnpBYtap_FC5_,tap,qnp,0.121317,4.01642,33.10681932
Slc9a3r2,qnpBYtap_FC5_,tap,qnp,0.841162,27.7471,32.9866304
Fcgbp,qnpBYtap_FC5_,tap,qnp,0.0249614,0.814826,32.64344147
Nov,qnpBYtap_FC5_,tap,qnp,0.0453414,1.47747,32.58545171
Slc25a10,qnpBYtap_FC5_,tap,qnp,4.57638,149.009,32.56045171
Emp3,qnpBYtap_FC5_,tap,qnp,24.8875,809.026,32.50732295
Abat,qnpBYtap_FC5_,tap,qnp,0.6202,20.1451,32.48161883
Golga7b,qnpBYtap_FC5_,tap,qnp,0.0306019,0.993944,32.47981334
LOC100911734,qnpBYtap_FC5_,tap,qnp,0.435232,14.0991,32.3944471
Kcnab3,qnpBYtap_FC5_,tap,qnp,0.0536081,1.72106,32.10447675
Ccdc80,qnpBYtap_FC5_,tap,qnp,0.205179,6.57779,32.05878769
Lhfpl6,qnpBYtap_FC5_,tap,qnp,0.381046,12.1678,31.93262756
Gprc5b,qnpBYtap_FC5_,tap,qnp,6.38341,203.389,31.86212385
Tbx4,qnpBYtap_FC5_,tap,qnp,0.652489,20.7042,31.73110964
Clec11a,qnpBYtap_FC5_,tap,qnp,0.456141,14.4533,31.68603568
Vps37c,qnpBYtap_FC5_,tap,qnp,1.68862,53.3268,31.58010683
Fuca2,qnpBYtap_FC5_,tap,qnp,0.0723309,2.25468,31.17173988
Hmx3,qnpBYtap_FC5_,tap,qnp,0.0926634,2.87167,30.99033707
Trim47,qnpBYtap_FC5_,tap,qnp,0.408849,12.5452,30.68418903
Grin3a,qnpBYtap_FC5_,tap,qnp,0.0330432,1.00899,30.53548083
Clcn7,qnpBYtap_FC5_,tap,qnp,0.74948,22.871,30.5158243
Cyp1a1,qnpBYtap_FC5_,tap,qnp,0.37212,11.2947,30.35230571
Ypel3,qnpBYtap_FC5_,tap,qnp,2.34611,70.65,30.11367753
Cib1,qnpBYtap_FC5_,tap,qnp,1.2234,36.8153,30.09261076
Prss36,qnpBYtap_FC5_,tap,qnp,0.039561,1.19018,30.08467936
Sez6l2,qnpBYtap_FC5_,tap,qnp,0.073791,2.21937,30.07643209
Nkiras2,qnpBYtap_FC5_,tap,qnp,1.20534,35.6336,29.56311082
RGD1563441,qnpBYtap_FC5_,tap,qnp,0.395482,11.6877,29.55305172
Ppp1r15a,qnpBYtap_FC5_,tap,qnp,5.26871,154.417,29.30831266
Phldb3,qnpBYtap_FC5_,tap,qnp,1.26213,36.9709,29.29246591
Tagln,qnpBYtap_FC5_,tap,qnp,0.133037,3.88619,29.21134722
Dmkn,qnpBYtap_FC5_,tap,qnp,0.143454,4.18214,29.15317802
Ttc9b,qnpBYtap_FC5_,tap,qnp,0.195582,5.69582,29.12241413
Gdf10,qnpBYtap_FC5_,tap,qnp,0.145627,4.22732,29.02840819
Spns1,qnpBYtap_FC5_,tap,qnp,1.1837,34.0953,28.80400439
Fgf2,qnpBYtap_FC5_,tap,qnp,0.101879,2.92836,28.74350946
Timp2,qnpBYtap_FC5_,tap,qnp,23.1868,662.808,28.58557455
RF00191,qnpBYtap_FC5_,tap,qnp,87.0883,2480.93,28.48752358
Htra1,qnpBYtap_FC5_,tap,qnp,0.221281,6.27866,28.37414871
Smim5,qnpBYtap_FC5_,tap,qnp,0.339557,9.62714,28.35205871
Fzd4,qnpBYtap_FC5_,tap,qnp,0.745858,21.1249,28.32295155
Gcnt2,qnpBYtap_FC5_,tap,qnp,0.0253767,0.718727,28.32231929
Tax1bp3,qnpBYtap_FC5_,tap,qnp,6.57675,185.866,28.2610712
LOC497899,qnpBYtap_FC5_,tap,qnp,0.124843,3.52124,28.20534591
A3galt2,qnpBYtap_FC5_,tap,qnp,0.0604831,1.70221,28.14356407
Trim8,qnpBYtap_FC5_,tap,qnp,3.72316,104.726,28.12825664
Sap30l,qnpBYtap_FC5_,tap,qnp,2.18653,61.4549,28.10613163
Map3k10,qnpBYtap_FC5_,tap,qnp,0.595212,16.6912,28.04244538
Cby3,qnpBYtap_FC5_,tap,qnp,0.0540644,1.50143,27.7711396
Numbl,qnpBYtap_FC5_,tap,qnp,2.40359,66.638,27.72436231
Tkfc,qnpBYtap_FC5_,tap,qnp,0.327683,9.04576,27.60521602
Vat1,qnpBYtap_FC5_,tap,qnp,1.75715,48.2241,27.44449819
Usp35,qnpBYtap_FC5_,tap,qnp,0.46038,12.595,27.35783483
Rtn4rl1,qnpBYtap_FC5_,tap,qnp,0.934588,25.4126,27.19123293
Lbx1,qnpBYtap_FC5_,tap,qnp,0.229532,6.22596,27.12458394
Ier5l,qnpBYtap_FC5_,tap,qnp,0.462424,12.5407,27.11948342
Ppp2r5b,qnpBYtap_FC5_,tap,qnp,2.0674,55.9176,27.04730579
Slc4a11,qnpBYtap_FC5_,tap,qnp,0.0351914,0.945346,26.86298357
Stim1,qnpBYtap_FC5_,tap,qnp,4.09813,110.07,26.8585916
Nagpa,qnpBYtap_FC5_,tap,qnp,0.21134,5.66921,26.82506861
Eepd1,qnpBYtap_FC5_,tap,qnp,0.148537,3.97261,26.74491877
Nova2,qnpBYtap_FC5_,tap,qnp,0.166828,4.43682,26.59517587
RGD1561590,qnpBYtap_FC5_,tap,qnp,0.501984,13.2857,26.4663814
Hspb8,qnpBYtap_FC5_,tap,qnp,0.992985,26.2208,26.40603836
Dock8,qnpBYtap_FC5_,tap,qnp,1.16841,30.8375,26.39270462
Aatk,qnpBYtap_FC5_,tap,qnp,1.46888,38.7548,26.38391155
Cdc42bpg,qnpBYtap_FC5_,tap,qnp,0.135295,3.55387,26.26756347
Itga11,qnpBYtap_FC5_,tap,qnp,0.0444745,1.1666,26.23076145
Kazald1,qnpBYtap_FC5_,tap,qnp,3.40213,88.6855,26.06763998
Ngf,qnpBYtap_FC5_,tap,qnp,0.39412,10.2339,25.96645692
Borcs6,qnpBYtap_FC5_,tap,qnp,0.438701,11.3549,25.8830046
Fstl1,qnpBYtap_FC5_,tap,qnp,15.179,392.413,25.85236182
Grem1,qnpBYtap_FC5_,tap,qnp,0.274141,7.00699,25.55980317
Peli3,qnpBYtap_FC5_,tap,qnp,0.140315,3.5856,25.55393222
Rbpms,qnpBYtap_FC5_,tap,qnp,0.242315,6.16508,25.44241999
Dnah2,qnpBYtap_FC5_,tap,qnp,0.00689034,0.175251,25.43430368
Dbil5,qnpBYtap_FC5_,tap,qnp,0.410277,10.4111,25.3757827
Ifitm2,qnpBYtap_FC5_,tap,qnp,5.20582,131.316,25.2248445
Dop1b,qnpBYtap_FC5_,tap,qnp,0.275706,6.92645,25.12259436
Prr12,qnpBYtap_FC5_,tap,qnp,0.820857,20.5626,25.05016099
Zbtb4,qnpBYtap_FC5_,tap,qnp,1.71171,42.6197,24.89890227
Sac3d1,qnpBYtap_FC5_,tap,qnp,0.401929,9.99467,24.86675507
March4,qnpBYtap_FC5_,tap,qnp,0.121739,3.02705,24.86508021
Trpv2,qnpBYtap_FC5_,tap,qnp,0.193309,4.80622,24.86288792
Clip3,qnpBYtap_FC5_,tap,qnp,0.212994,5.27854,24.78257604
Sphk2,qnpBYtap_FC5_,tap,qnp,1.81407,44.8724,24.73575992
Gja3,qnpBYtap_FC5_,tap,qnp,0.0773837,1.9037,24.60078802
Stc2,qnpBYtap_FC5_,tap,qnp,0.623119,15.2902,24.53817008
Apba2,qnpBYtap_FC5_,tap,qnp,1.62382,39.7396,24.47290956
Ctsd,qnpBYtap_FC5_,tap,qnp,20.3823,497.848,24.42550644
Sncg,qnpBYtap_FC5_,tap,qnp,0.255934,6.23474,24.36073363
Adcy5,qnpBYtap_FC5_,tap,qnp,1.09693,26.7202,24.35907487
Pla2g16,qnpBYtap_FC5_,tap,qnp,0.604736,14.6536,24.23140015
Ccdc9b,qnpBYtap_FC5_,tap,qnp,0.12744,3.08615,24.21649404
Calhm2,qnpBYtap_FC5_,tap,qnp,0.0636344,1.53629,24.14244497
Igf2,qnpBYtap_FC5_,tap,qnp,2.2206,53.4627,24.07579033
RF00319,qnpBYtap_FC5_,tap,qnp,44.1848,1063.51,24.06958954
Rab4b,qnpBYtap_FC5_,tap,qnp,2.42689,58.2604,24.00619723
Parva,qnpBYtap_FC5_,tap,qnp,4.88099,117.115,23.99410775
Slc22a5,qnpBYtap_FC5_,tap,qnp,0.309268,7.4135,23.9711189
Nme4,qnpBYtap_FC5_,tap,qnp,0.298497,7.10986,23.81886585
Baiap2,qnpBYtap_FC5_,tap,qnp,1.64625,39.1404,23.77548975
Gchfr,qnpBYtap_FC5_,tap,qnp,0.320016,7.57325,23.66522299
Bcam,qnpBYtap_FC5_,tap,qnp,0.637206,15.0286,23.58515143
Slc26a11,qnpBYtap_FC5_,tap,qnp,0.131848,3.10521,23.55143802
Smoc2,qnpBYtap_FC5_,tap,qnp,0.0404083,0.944353,23.37027294
Scn4a,qnpBYtap_FC5_,tap,qnp,0.273213,6.37037,23.31649665
Hey1,qnpBYtap_FC5_,tap,qnp,2.31195,53.5703,23.17104609
Ccs,qnpBYtap_FC5_,tap,qnp,4.3074,99.7969,23.16870966
Rras,qnpBYtap_FC5_,tap,qnp,4.48428,103.883,23.1660378
Pcsk6,qnpBYtap_FC5_,tap,qnp,6.52678,151.096,23.1501598
Lrfn3,qnpBYtap_FC5_,tap,qnp,0.376716,8.69671,23.08558702
Eml2,qnpBYtap_FC5_,tap,qnp,0.548048,12.6411,23.06568038
Postn,qnpBYtap_FC5_,tap,qnp,0.135454,3.11397,22.98913284
Cntn2,qnpBYtap_FC5_,tap,qnp,0.0202648,0.465824,22.98685405
Gpr137,qnpBYtap_FC5_,tap,qnp,1.0825,24.8478,22.95408776
Bcat2,qnpBYtap_FC5_,tap,qnp,0.722268,16.5515,22.91600902
Dchs1,qnpBYtap_FC5_,tap,qnp,0.608667,13.9343,22.8931419
Piezo2,qnpBYtap_FC5_,tap,qnp,0.0121683,0.277915,22.83926267
Dact3,qnpBYtap_FC5_,tap,qnp,1.81343,41.329,22.79051301
Inhba,qnpBYtap_FC5_,tap,qnp,0.171644,3.91042,22.78215376
Myl9,qnpBYtap_FC5_,tap,qnp,1.6082,36.5615,22.73442358
Cacna1h,qnpBYtap_FC5_,tap,qnp,0.467668,10.5961,22.65731245
Plce1,qnpBYtap_FC5_,tap,qnp,0.985263,22.202,22.53408481
Zdhhc24,qnpBYtap_FC5_,tap,qnp,0.742532,16.7317,22.53330496
Bcl3,qnpBYtap_FC5_,tap,qnp,0.061419,1.38052,22.47708364
Cend1,qnpBYtap_FC5_,tap,qnp,0.565761,12.7155,22.47503805
RF00600,qnpBYtap_FC5_,tap,qnp,319.85,7174.99,22.43235892
Vsig10l,qnpBYtap_FC5_,tap,qnp,0.144629,3.24402,22.42994144
Ankrd13d,qnpBYtap_FC5_,tap,qnp,0.362559,8.12793,22.4182271
Cryab,qnpBYtap_FC5_,tap,qnp,55.2924,1239.09,22.4097706
AABR07059679.2,qnpBYtap_FC5_,tap,qnp,0.318204,7.12355,22.38673932
Cacna1i,qnpBYtap_FC5_,tap,qnp,0.0868078,1.93945,22.34188633
Atp6v0c,qnpBYtap_FC5_,tap,qnp,25.1676,560.31,22.26314786
Cebpa,qnpBYtap_FC5_,tap,qnp,0.936743,20.8415,22.24889858
Zfp213,qnpBYtap_FC5_,tap,qnp,0.184349,4.0991,22.23554237
Rcn3,qnpBYtap_FC5_,tap,qnp,10.3695,229.767,22.15796326
Rundc1,qnpBYtap_FC5_,tap,qnp,2.01344,44.5626,22.13256914
Zfp428,qnpBYtap_FC5_,tap,qnp,1.26448,27.8784,22.0473238
Lrrc46,qnpBYtap_FC5_,tap,qnp,0.103204,2.2679,21.97492345
Rab30,qnpBYtap_FC5_,tap,qnp,2.5927,56.9265,21.95645466
Slc25a45,qnpBYtap_FC5_,tap,qnp,0.178729,3.90533,21.85056706
Nr1d1,qnpBYtap_FC5_,tap,qnp,6.60748,144.014,21.79560135
LOC100910875,qnpBYtap_FC5_,tap,qnp,1.74607,38.039,21.78549543
Pde2a,qnpBYtap_FC5_,tap,qnp,0.10071,2.1876,21.72177539
Adamts1,qnpBYtap_FC5_,tap,qnp,0.0702885,1.52677,21.72147649
AABR07005779.3,qnpBYtap_FC5_,tap,qnp,0.19866,4.30778,21.68418403
Fgfr2,qnpBYtap_FC5_,tap,qnp,11.9522,259.103,21.67826844
Atp1b2,qnpBYtap_FC5_,tap,qnp,2.27919,49.2985,21.62983341
Gpr88,qnpBYtap_FC5_,tap,qnp,0.0747952,1.6084,21.50405374
Pkd1,qnpBYtap_FC5_,tap,qnp,1.1409,24.5258,21.49688842
Ghdc,qnpBYtap_FC5_,tap,qnp,0.996132,21.3553,21.43822305
Nav2,qnpBYtap_FC5_,tap,qnp,2.5815,55.2215,21.3912454
Zfyve27,qnpBYtap_FC5_,tap,qnp,1.33041,28.4195,21.36146
Igsf11,qnpBYtap_FC5_,tap,qnp,10.249,218.857,21.35398575
Jak3,qnpBYtap_FC5_,tap,qnp,0.0279954,0.592993,21.1818013
Megf8,qnpBYtap_FC5_,tap,qnp,0.616473,13.0419,21.15567105
Ptges3l,qnpBYtap_FC5_,tap,qnp,0.178053,3.75317,21.0789484
App,qnpBYtap_FC5_,tap,qnp,27.6717,582.376,21.04590611
Adrb1,qnpBYtap_FC5_,tap,qnp,0.446384,9.37929,21.01170741
Ern1,qnpBYtap_FC5_,tap,qnp,0.668221,14.0198,20.9807833
Acadsb,qnpBYtap_FC5_,tap,qnp,0.781746,16.3799,20.95296938
Sertad3,qnpBYtap_FC5_,tap,qnp,0.777613,16.282,20.93843596
Sp9,qnpBYtap_FC5_,tap,qnp,0.0828338,1.72906,20.87384618
Fmn1,qnpBYtap_FC5_,tap,qnp,0.169857,3.54397,20.86443302
Aldh1a3,qnpBYtap_FC5_,tap,qnp,8.11817,169.374,20.86356901
Smpd1,qnpBYtap_FC5_,tap,qnp,6.99392,145.618,20.82065566
Sdf2,qnpBYtap_FC5_,tap,qnp,20.2216,420.236,20.78154053
Tbc1d17,qnpBYtap_FC5_,tap,qnp,2.66467,55.1528,20.69779748
Chrnb1,qnpBYtap_FC5_,tap,qnp,0.294321,6.05871,20.58538127
Paqr4,qnpBYtap_FC5_,tap,qnp,0.935946,19.2619,20.58014031
Klf4,qnpBYtap_FC5_,tap,qnp,0.703215,14.4582,20.56014164
Aldh3a1,qnpBYtap_FC5_,tap,qnp,0.40336,8.27643,20.51871777
Chmp2b,qnpBYtap_FC5_,tap,qnp,15.3874,315.562,20.50781808
Mtmr10,qnpBYtap_FC5_,tap,qnp,5.6584,115.907,20.4840591
C1qtnf1,qnpBYtap_FC5_,tap,qnp,0.397559,8.12908,20.44748075
Rasd1,qnpBYtap_FC5_,tap,qnp,0.142818,2.91835,20.43404893
Ehd2,qnpBYtap_FC5_,tap,qnp,6.8084,138.439,20.33355855
Sarm1,qnpBYtap_FC5_,tap,qnp,0.719945,14.5742,20.24349082
Nudt16l1,qnpBYtap_FC5_,tap,qnp,0.512686,10.3231,20.1353265
Pwwp2b,qnpBYtap_FC5_,tap,qnp,0.650764,13.0156,20.00049173
Tmem160,qnpBYtap_FC5_,tap,qnp,1.17833,23.5372,19.97504943
Pi4k2a,qnpBYtap_FC5_,tap,qnp,0.828999,16.5378,19.94911936
AABR07006160.1,qnpBYtap_FC5_,tap,qnp,0.485869,9.65873,19.87928845
Irgq,qnpBYtap_FC5_,tap,qnp,0.619561,12.2905,19.83743328
Nqo1,qnpBYtap_FC5_,tap,qnp,4.43779,87.8496,19.79579926
Spata20,qnpBYtap_FC5_,tap,qnp,0.0421516,0.83338,19.771017
Tbc1d24,qnpBYtap_FC5_,tap,qnp,0.527393,10.4265,19.76988697
Mrpl43,qnpBYtap_FC5_,tap,qnp,8.30886,163.838,19.7184692
Ptgdr2,qnpBYtap_FC5_,tap,qnp,0.0752445,1.47359,19.58402275
AABR07028997.1,qnpBYtap_FC5_,tap,qnp,1.50895,29.5179,19.56188078
Hunk,qnpBYtap_FC5_,tap,qnp,1.99886,39.0781,19.55019361
Shbg,qnpBYtap_FC5_,tap,qnp,0.162975,3.18608,19.54950146
Synm,qnpBYtap_FC5_,tap,qnp,0.125226,2.44105,19.49315637
