Gene,Category
Tmsb15l,MicroByMonoCuffdiff2FCover20
Gm26920,MicroByMonoCuffdiff2FCover20
AC132392.1,MicroByMonoCuffdiff2FCover20
Hoxd4,MicroByMonoCuffdiff2FCover20
Gm15635,MicroByMonoCuffdiff2FCover20
Ugt2a2,MicroByMonoCuffdiff2FCover20
Sall1,MicroByMonoCuffdiff2FCover20
Tmem100,MicroByMonoCuffdiff2FCover20
Slco2b1,MicroByMonoCuffdiff2FCover20
Slc2a5,MicroByMonoCuffdiff2FCover20
Sparc,MicroByMonoCuffdiff2FCover20
Tspan7,MicroByMonoCuffdiff2FCover20
Dusp27,MicroByMonoCuffdiff2FCover20
Gm3248,MicroByMonoCuffdiff2FCover20
Thrsp,MicroByMonoCuffdiff2FCover20
Fcrls,MicroByMonoCuffdiff2FCover20
Lrrc3,MicroByMonoCuffdiff2FCover20
Ecscr,MicroByMonoCuffdiff2FCover20
C1qa,MicroByMonoCuffdiff2FCover20
Upk1b,MicroByMonoCuffdiff2FCover20
Mertk,MicroByMonoCuffdiff2FCover20
Gpr34,MicroByMonoCuffdiff2FCover20
Gm3739,MicroByMonoCuffdiff2FCover20
Gm3636,MicroByMonoCuffdiff2FCover20
Gm42417,MicroByMonoCuffdiff2FCover20
Hbegf,MicroByMonoCuffdiff2FCover20
Sparcl1,MicroByMonoCuffdiff2FCover20
Hdac11,MicroByMonoCuffdiff2FCover20
Gm14023,MicroByMonoCuffdiff2FCover20
Slc39a12,MicroByMonoCuffdiff2FCover20
Tpbgl,MicroByMonoCuffdiff2FCover20
Pald1,MicroByMonoCuffdiff2FCover20
Il1a,MicroByMonoCuffdiff2FCover20
Mrc2,MicroByMonoCuffdiff2FCover20
Hspb3,MicroByMonoCuffdiff2FCover20
C1qc,MicroByMonoCuffdiff2FCover20
C1qb,MicroByMonoCuffdiff2FCover20
Gm21985,MicroByMonoCuffdiff2FCover20
Pmp22,MicroByMonoCuffdiff2FCover20
Hpgds,MicroByMonoCuffdiff2FCover20
Tmem119,MicroByMonoCuffdiff2FCover20
Ptprm,MicroByMonoCuffdiff2FCover20
Adam3,MicroByMonoCuffdiff2FCover20
Wscd1,MicroByMonoCuffdiff2FCover20
Gm20441,MicroByMonoCuffdiff2FCover20
Plxdc2,MicroByMonoCuffdiff2FCover20
Gas6,MicroByMonoCuffdiff2FCover20
Gpr165,MicroByMonoCuffdiff2FCover20
B3galnt1,MicroByMonoCuffdiff2FCover20
Atp8a2,MicroByMonoCuffdiff2FCover20
Bcan,MicroByMonoCuffdiff2FCover20
B3galt5,MicroByMonoCuffdiff2FCover20
Liph,MicroByMonoCuffdiff2FCover20
Egr1,MicroByMonoCuffdiff2FCover20
Syngr1,MicroByMonoCuffdiff2FCover20
Gm10790,MicroByMonoCuffdiff2FCover20
2610042L04Rik,MicroByMonoCuffdiff2FCover20
Ano7,MicroByMonoCuffdiff2FCover20
Gm15446,MicroByMonoCuffdiff2FCover20
A830008E24Rik,MicroByMonoCuffdiff2FCover20
F9,MicroByMonoCuffdiff2FCover20
Lag3,MicroByMonoCuffdiff2FCover20
Pantr1,MicroByMonoCuffdiff2FCover20
Rab3il1,MicroByMonoCuffdiff2FCover20
Gm3667,MicroByMonoCuffdiff2FCover20
Gpm6a,MicroByMonoCuffdiff2FCover20
Siglech,MicroByMonoCuffdiff2FCover20
Ddx3y,MicroByMonoCuffdiff2FCover20
Ctsf,MicroByMonoCuffdiff2FCover20
G530011O06Rik,MicroByMonoCuffdiff2FCover20
Ak1,MicroByMonoCuffdiff2FCover20
Olfml3,MicroByMonoCuffdiff2FCover20
Nuak1,MicroByMonoCuffdiff2FCover20
Mlph,MicroByMonoCuffdiff2FCover20
Gm16118,MicroByMonoCuffdiff2FCover20
Gm2237,MicroByMonoCuffdiff2FCover20
Fscn1,MicroByMonoCuffdiff2FCover20
Fbxl16,MicroByMonoCuffdiff2FCover20
Gm45768,MicroByMonoCuffdiff2FCover20
Plpp1,MicroByMonoCuffdiff2FCover20
Duoxa1,MicroByMonoCuffdiff2FCover20
Pmepa1,MicroByMonoCuffdiff2FCover20
Plekhh2,MicroByMonoCuffdiff2FCover20
Plet1os,MicroByMonoCuffdiff2FCover20
Zfp791,MicroByMonoCuffdiff2FCover20
Tnfrsf17,MicroByMonoCuffdiff2FCover20
Snx24,MicroByMonoCuffdiff2FCover20
Slc1a3,MicroByMonoCuffdiff2FCover20
Cadm1,MicroByMonoCuffdiff2FCover20
S100b,MicroByMonoCuffdiff2FCover20
Npnt,MicroByMonoCuffdiff2FCover20
Rapgef5,MicroByMonoCuffdiff2FCover20
Zfp365,MicroByMonoCuffdiff2FCover20
Eif2s3y,MicroByMonoCuffdiff2FCover20
Adamts1,MicroByMonoCuffdiff2FCover20
Gm3055,MicroByMonoCuffdiff2FCover20
Rnase10,MicroByMonoCuffdiff2FCover20
Fam167b,MicroByMonoCuffdiff2FCover20
Klhl38,MicroByMonoCuffdiff2FCover20
Ccl12,MicroByMonoCuffdiff2FCover20
Mymk,MicroByMonoCuffdiff2FCover20
Mlc1,MicroByMonoCuffdiff2FCover20
Ttr,MicroByMonoCuffdiff2FCover20
Chst7,MicroByMonoCuffdiff2FCover20
Rapsn,MicroByMonoCuffdiff2FCover20
Gm3591,MicroByMonoCuffdiff2FCover20
Pcdhga4,MicroByMonoCuffdiff2FCover20
Chst8,MicroByMonoCuffdiff2FCover20
Adamts16,MicroByMonoCuffdiff2FCover20
Csmd3,MicroByMonoCuffdiff2FCover20
Cables1,MicroByMonoCuffdiff2FCover20
Arhgap22,MicroByMonoCuffdiff2FCover20
