Gene,Category,sample_1,sample_2,value_1_npc,value_2_nsc,FC20
Ifi209,nscBYnpc_FC20,npc,nsc,0.0342011,1.90586,55.72510826
Gm17530,nscBYnpc_FC20,npc,nsc,1.43051,78.7286,55.03533705
Gm45121,nscBYnpc_FC20,npc,nsc,0.00830244,0.449843,54.1820236
AC131586.1,nscBYnpc_FC20,npc,nsc,0.00398238,0.211975,53.22822031
Dnajc22,nscBYnpc_FC20,npc,nsc,0.00505924,0.267657,52.90458646
Tmprss3,nscBYnpc_FC20,npc,nsc,0.00434947,0.226664,52.11301607
Ifi202b,nscBYnpc_FC20,npc,nsc,0.235108,12.1015,51.47208942
Fut4,nscBYnpc_FC20,npc,nsc,0.00638735,0.328327,51.40269439
Dnase1l3,nscBYnpc_FC20,npc,nsc,0.207296,10.6427,51.34059509
Gm5544,nscBYnpc_FC20,npc,nsc,0.0100469,0.515447,51.30408385
2210406H18Rik,nscBYnpc_FC20,npc,nsc,0.0348709,1.75198,50.24189224
Gm44876,nscBYnpc_FC20,npc,nsc,0.0148572,0.737893,49.66568398
4930471M09Rik,nscBYnpc_FC20,npc,nsc,0.00867913,0.428809,49.4069106
Gm11707,nscBYnpc_FC20,npc,nsc,0.0351265,1.72483,49.10338349
Gm45793,nscBYnpc_FC20,npc,nsc,0.00872764,0.423286,48.49947981
Gm26522,nscBYnpc_FC20,npc,nsc,0.41568,19.8108,47.65877598
Gm12246,nscBYnpc_FC20,npc,nsc,0.0232948,1.08433,46.54815667
Gm43127,nscBYnpc_FC20,npc,nsc,0.00383402,0.177407,46.27179827
Tnfsf18,nscBYnpc_FC20,npc,nsc,0.0437705,2.01929,46.13358312
Batf,nscBYnpc_FC20,npc,nsc,0.178636,8.17941,45.78813901
Pla2g2d,nscBYnpc_FC20,npc,nsc,2.71842,123.614,45.47273784
Gm46224,nscBYnpc_FC20,npc,nsc,0.0151752,0.689341,45.42549686
Gm11549,nscBYnpc_FC20,npc,nsc,0.00598551,0.26843,44.84663796
Adamts8,nscBYnpc_FC20,npc,nsc,0.00232719,0.10382,44.61174206
Gm12708,nscBYnpc_FC20,npc,nsc,0.0484692,2.15482,44.45751116
Ptafr,nscBYnpc_FC20,npc,nsc,1.3918,61.3184,44.05690473
A930006L05Rik,nscBYnpc_FC20,npc,nsc,0.00379703,0.165566,43.60408003
Atp6v0d2,nscBYnpc_FC20,npc,nsc,0.00470857,0.203719,43.26557745
Cd36,nscBYnpc_FC20,npc,nsc,1.55422,66.8081,42.98496995
Gm44545,nscBYnpc_FC20,npc,nsc,0.137109,5.86368,42.76655799
Cd209f,nscBYnpc_FC20,npc,nsc,26.4189,1119.31,42.36777459
Cd209g,nscBYnpc_FC20,npc,nsc,6.23647,261.17,41.87785719
Acp5,nscBYnpc_FC20,npc,nsc,0.218778,9.11088,41.64440666
Ccno,nscBYnpc_FC20,npc,nsc,0.0101351,0.414624,40.90970982
Cd209b,nscBYnpc_FC20,npc,nsc,5.7244,233.256,40.74767661
Gm11634,nscBYnpc_FC20,npc,nsc,0.0180985,0.737367,40.74188469
Gm13966,nscBYnpc_FC20,npc,nsc,0.0235731,0.95944,40.70062911
Arl11,nscBYnpc_FC20,npc,nsc,0.188324,7.57423,40.2191436
Gm32369,nscBYnpc_FC20,npc,nsc,0.00623122,0.248036,39.80536717
Il21r,nscBYnpc_FC20,npc,nsc,0.266751,10.5908,39.70294394
Ugt1a8,nscBYnpc_FC20,npc,nsc,0.0904293,3.58473,39.6412446
Cybb,nscBYnpc_FC20,npc,nsc,1.58873,62.6838,39.45528819
Osm,nscBYnpc_FC20,npc,nsc,0.137724,5.40587,39.25147396
Gna14,nscBYnpc_FC20,npc,nsc,0.053853,2.11079,39.1954023
Nxpe5,nscBYnpc_FC20,npc,nsc,0.0327545,1.28301,39.17049566
Gpr165,nscBYnpc_FC20,npc,nsc,0.192136,7.49476,39.00757797
Tlr13,nscBYnpc_FC20,npc,nsc,0.502458,19.2457,38.30310195
Gm47593,nscBYnpc_FC20,npc,nsc,0.0192239,0.736147,38.29332237
Cd101,nscBYnpc_FC20,npc,nsc,0.00260018,0.0980642,37.714389
Mrc1,nscBYnpc_FC20,npc,nsc,7.63245,283.649,37.16355823
Gm48495,nscBYnpc_FC20,npc,nsc,0.0151518,0.562598,37.13076994
Hgf,nscBYnpc_FC20,npc,nsc,0.00303522,0.110966,36.55945862
BC106175,nscBYnpc_FC20,npc,nsc,0.00457345,0.16665,36.43857482
Adgre1,nscBYnpc_FC20,npc,nsc,5.787,208.52,36.03248661
Cct8l1,nscBYnpc_FC20,npc,nsc,0.01129,0.405863,35.94889283
Fpr2,nscBYnpc_FC20,npc,nsc,0.126336,4.5251,35.81797746
Hist1h1t,nscBYnpc_FC20,npc,nsc,0.011146,0.39638,35.56253364
Gm5431,nscBYnpc_FC20,npc,nsc,0.270847,9.60715,35.47076394
Gm38050,nscBYnpc_FC20,npc,nsc,0.168743,5.97595,35.41450608
Cd209d,nscBYnpc_FC20,npc,nsc,0.87006,30.3322,34.86219341
BC049352,nscBYnpc_FC20,npc,nsc,0.0607267,2.09774,34.54394854
Gm32591,nscBYnpc_FC20,npc,nsc,0.0704444,2.42206,34.3825769
C5ar1,nscBYnpc_FC20,npc,nsc,9.13918,313.29,34.27988069
Rnase12,nscBYnpc_FC20,npc,nsc,0.0558917,1.91384,34.24193574
Olfr49,nscBYnpc_FC20,npc,nsc,0.0032198,0.110071,34.18566371
Cbr2,nscBYnpc_FC20,npc,nsc,18.8743,644.059,34.12359664
A930019D19Rik,nscBYnpc_FC20,npc,nsc,0.0131977,0.449822,34.08336301
Cd200r1,nscBYnpc_FC20,npc,nsc,1.05984,36.0562,34.02041818
Cxcr3,nscBYnpc_FC20,npc,nsc,0.973686,32.9338,33.82384054
Tnfrsf17,nscBYnpc_FC20,npc,nsc,0.566186,19.1357,33.79755063
Casp4,nscBYnpc_FC20,npc,nsc,0.212523,7.18058,33.78730773
Gna15,nscBYnpc_FC20,npc,nsc,0.449471,15.1564,33.72052924
4930552P12Rik,nscBYnpc_FC20,npc,nsc,0.00599619,0.200862,33.4982714
Ms4a7,nscBYnpc_FC20,npc,nsc,14.7363,492.031,33.3890461
Cd68,nscBYnpc_FC20,npc,nsc,21.392,714.008,33.37733732
Kcnk6,nscBYnpc_FC20,npc,nsc,0.105342,3.51205,33.33950371
Clec10a,nscBYnpc_FC20,npc,nsc,11.9285,397.355,33.31139707
Asb10,nscBYnpc_FC20,npc,nsc,0.114141,3.78074,33.12341753
F13a1,nscBYnpc_FC20,npc,nsc,9.19049,303.199,32.9905152
Cfp,nscBYnpc_FC20,npc,nsc,9.86223,324.391,32.89225662
A530040E14Rik,nscBYnpc_FC20,npc,nsc,0.0308477,1.01149,32.78980281
Fcrls,nscBYnpc_FC20,npc,nsc,18.6871,611.728,32.73530938
Gm16083,nscBYnpc_FC20,npc,nsc,0.0067073,0.218337,32.55214468
Ripk3,nscBYnpc_FC20,npc,nsc,0.194554,6.3217,32.49329235
Gm13710,nscBYnpc_FC20,npc,nsc,0.784655,25.4478,32.4318331
AC101945.2,nscBYnpc_FC20,npc,nsc,0.0169318,0.547445,32.33235687
Tnfsf13b,nscBYnpc_FC20,npc,nsc,0.0105086,0.339498,32.30668215
Gm7856,nscBYnpc_FC20,npc,nsc,0.0061051,0.19637,32.1649113
Ly9,nscBYnpc_FC20,npc,nsc,0.0511762,1.64132,32.07193969
Cd48,nscBYnpc_FC20,npc,nsc,2.48089,79.1464,31.90242211
Tnfrsf1b,nscBYnpc_FC20,npc,nsc,0.378773,11.9725,31.60864159
Clec4n,nscBYnpc_FC20,npc,nsc,3.37936,106.731,31.58319919
Gm13920,nscBYnpc_FC20,npc,nsc,0.0555737,1.74969,31.48413728
Adam3,nscBYnpc_FC20,npc,nsc,0.0129452,0.405666,31.33717517
Csf2rb2,nscBYnpc_FC20,npc,nsc,0.105283,3.28666,31.21738552
Cd3d,nscBYnpc_FC20,npc,nsc,0.00702353,0.219116,31.19741782
Gm16573,nscBYnpc_FC20,npc,nsc,0.0115726,0.360452,31.14701968
Pilrb2,nscBYnpc_FC20,npc,nsc,0.363793,11.2504,30.92527894
Gm16181,nscBYnpc_FC20,npc,nsc,0.0191231,0.591049,30.90759343
Gpr84,nscBYnpc_FC20,npc,nsc,0.096935,2.99173,30.86325888
Neurl3,nscBYnpc_FC20,npc,nsc,0.211767,6.51655,30.77226386
Trpv4,nscBYnpc_FC20,npc,nsc,0.611218,18.7264,30.63784116
Slfn1,nscBYnpc_FC20,npc,nsc,0.0473707,1.45084,30.62737093
Adrb2,nscBYnpc_FC20,npc,nsc,4.31361,131.481,30.48050241
Gm47917,nscBYnpc_FC20,npc,nsc,0.175418,5.30514,30.24284851
Cd163,nscBYnpc_FC20,npc,nsc,2.4837,75.0125,30.2019165
Ccl24,nscBYnpc_FC20,npc,nsc,9.30783,280.242,30.10819923
Mab21l1,nscBYnpc_FC20,npc,nsc,0.0121417,0.365142,30.07338346
Gm15232,nscBYnpc_FC20,npc,nsc,0.0185883,0.558048,30.02146512
Pik3ap1,nscBYnpc_FC20,npc,nsc,0.466091,13.9875,30.01023405
D5Ertd605e,nscBYnpc_FC20,npc,nsc,0.220738,6.6206,29.9930234
Insm2,nscBYnpc_FC20,npc,nsc,0.00279754,0.0838104,29.95860649
Itgax,nscBYnpc_FC20,npc,nsc,0.0107231,0.321234,29.95719521
Gm28038,nscBYnpc_FC20,npc,nsc,0.113667,3.40329,29.94087994
Gm16026,nscBYnpc_FC20,npc,nsc,0.0184523,0.549682,29.78934875
Gm10693,nscBYnpc_FC20,npc,nsc,0.00432652,0.12794,29.57111027
Gm29439,nscBYnpc_FC20,npc,nsc,0.176054,5.20374,29.55763573
Gpx3,nscBYnpc_FC20,npc,nsc,12.117,356.397,29.41297351
Phgdh-ps1,nscBYnpc_FC20,npc,nsc,0.014374,0.422274,29.37762627
Cd86,nscBYnpc_FC20,npc,nsc,2.90493,85.0586,29.28077441
Csf1r,nscBYnpc_FC20,npc,nsc,17.0212,496.093,29.14559491
C3ar1,nscBYnpc_FC20,npc,nsc,2.09969,61.0667,29.08367426
Gm13407,nscBYnpc_FC20,npc,nsc,0.0450586,1.30941,29.06015722
Gm16048,nscBYnpc_FC20,npc,nsc,0.0345004,0.99282,28.77705766
Dpp10,nscBYnpc_FC20,npc,nsc,0.0266499,0.764348,28.68108323
C1qc,nscBYnpc_FC20,npc,nsc,17.9134,513.412,28.66077908
Tlr5,nscBYnpc_FC20,npc,nsc,0.364733,10.4417,28.62833909
Clec4a3,nscBYnpc_FC20,npc,nsc,3.97402,113.657,28.60000705
Cd180,nscBYnpc_FC20,npc,nsc,0.234522,6.70536,28.59160335
Angptl7,nscBYnpc_FC20,npc,nsc,0.897997,25.6026,28.51078567
Gpr160,nscBYnpc_FC20,npc,nsc,1.87524,53.3368,28.44265267
Amdhd1,nscBYnpc_FC20,npc,nsc,0.0444259,1.26348,28.44016666
Trim30c,nscBYnpc_FC20,npc,nsc,0.143718,4.07608,28.36165268
Themis2,nscBYnpc_FC20,npc,nsc,1.13066,32.0575,28.35290892
Gm1720,nscBYnpc_FC20,npc,nsc,0.00529762,0.149869,28.28987357
Gm13431,nscBYnpc_FC20,npc,nsc,0.125161,3.53563,28.24865573
Syk,nscBYnpc_FC20,npc,nsc,0.348931,9.85645,28.24756184
Cryba4,nscBYnpc_FC20,npc,nsc,0.570991,16.085,28.17032142
Myh15,nscBYnpc_FC20,npc,nsc,0.00383729,0.108044,28.15632908
Cdh23,nscBYnpc_FC20,npc,nsc,0.0107575,0.301463,28.02351848
Arhgap45,nscBYnpc_FC20,npc,nsc,0.210374,5.88816,27.98901005
Bank1,nscBYnpc_FC20,npc,nsc,0.703509,19.6417,27.91961439
Fcgr1,nscBYnpc_FC20,npc,nsc,3.45171,95.5742,27.68894258
Cd33,nscBYnpc_FC20,npc,nsc,1.47578,40.7844,27.63582648
Gm15635,nscBYnpc_FC20,npc,nsc,2.27877,62.7446,27.5344155
Fcgr2b,nscBYnpc_FC20,npc,nsc,5.80031,159.199,27.44663647
Gm10475,nscBYnpc_FC20,npc,nsc,0.0210517,0.577113,27.41408057
Dab2,nscBYnpc_FC20,npc,nsc,23.3564,640.021,27.40238222
Rasa4,nscBYnpc_FC20,npc,nsc,0.282412,7.71115,27.3046117
Ms4a6d,nscBYnpc_FC20,npc,nsc,6.27114,170.545,27.19521491
Gm6377,nscBYnpc_FC20,npc,nsc,0.470821,12.7497,27.07971819
Lyve1,nscBYnpc_FC20,npc,nsc,8.39326,225.257,26.8378437
Slc27a6,nscBYnpc_FC20,npc,nsc,0.367502,9.82712,26.74031706
Spi1,nscBYnpc_FC20,npc,nsc,0.634152,16.9535,26.73412683
Fcer1g,nscBYnpc_FC20,npc,nsc,52.1715,1385.97,26.56565366
Rgs18,nscBYnpc_FC20,npc,nsc,1.16014,30.7599,26.51395521
Laptm5,nscBYnpc_FC20,npc,nsc,26.6016,704.947,26.50017292
Tmem221,nscBYnpc_FC20,npc,nsc,0.0442511,1.16658,26.36273449
Lcp2,nscBYnpc_FC20,npc,nsc,2.81581,74.1209,26.32311839
Gm44751,nscBYnpc_FC20,npc,nsc,0.0260729,0.685527,26.29270238
Oas3,nscBYnpc_FC20,npc,nsc,0.0143829,0.377615,26.25444104
C1qb,nscBYnpc_FC20,npc,nsc,91.1119,2389.82,26.2295046
Kif28,nscBYnpc_FC20,npc,nsc,0.00291662,0.0764749,26.22038524
Tlr8,nscBYnpc_FC20,npc,nsc,0.825341,21.6022,26.1736664
Tlr2,nscBYnpc_FC20,npc,nsc,0.693527,18.0986,26.09646056
Irf4,nscBYnpc_FC20,npc,nsc,0.0928424,2.42227,26.09012692
Rbm47,nscBYnpc_FC20,npc,nsc,0.91819,23.9349,26.06748059
Pik3cg,nscBYnpc_FC20,npc,nsc,0.92361,24.0432,26.03176665
Msr1,nscBYnpc_FC20,npc,nsc,1.78692,46.4096,25.97183981
Gm38079,nscBYnpc_FC20,npc,nsc,4.90247,127.286,25.9636469
Gm20468,nscBYnpc_FC20,npc,nsc,0.0281481,0.730783,25.96207204
Gm36949,nscBYnpc_FC20,npc,nsc,0.00971189,0.250979,25.84244673
Ccr1,nscBYnpc_FC20,npc,nsc,2.46744,63.7287,25.82786208
Nrros,nscBYnpc_FC20,npc,nsc,5.97233,154.087,25.80014835
Pf4,nscBYnpc_FC20,npc,nsc,133.912,3446.41,25.73637911
Tbxas1,nscBYnpc_FC20,npc,nsc,2.72631,69.9502,25.65746375
Vav1,nscBYnpc_FC20,npc,nsc,0.67439,17.2921,25.64109788
Folr2,nscBYnpc_FC20,npc,nsc,7.37292,188.59,25.5787395
Hcls1,nscBYnpc_FC20,npc,nsc,0.790191,20.177,25.53433284
Pin1rt1,nscBYnpc_FC20,npc,nsc,0.0113879,0.289065,25.38352111
Nlrp1a,nscBYnpc_FC20,npc,nsc,0.030379,0.768713,25.30409164
Ccl6,nscBYnpc_FC20,npc,nsc,3.02394,76.2204,25.20565884
4933425L06Rik,nscBYnpc_FC20,npc,nsc,0.00703932,0.177277,25.18382457
Ifi213,nscBYnpc_FC20,npc,nsc,0.0404817,1.01525,25.07923333
Hk3,nscBYnpc_FC20,npc,nsc,1.3921,34.9107,25.0777243
Fcna,nscBYnpc_FC20,npc,nsc,5.53034,138.5,25.0436682
Lilra6,nscBYnpc_FC20,npc,nsc,0.0247944,0.617268,24.89546027
Rubcnl,nscBYnpc_FC20,npc,nsc,0.0875174,2.17562,24.85928513
AC139513.1,nscBYnpc_FC20,npc,nsc,0.0238599,0.59303,24.85467248
Tlr4,nscBYnpc_FC20,npc,nsc,1.03456,25.6086,24.75313177
Gm43140,nscBYnpc_FC20,npc,nsc,0.0276952,0.680771,24.58082989
9530046B11Rik,nscBYnpc_FC20,npc,nsc,0.0104292,0.255662,24.51405669
Wnt11,nscBYnpc_FC20,npc,nsc,0.00692749,0.169559,24.4762533
Stap1,nscBYnpc_FC20,npc,nsc,0.393338,9.60148,24.41025276
Ighm,nscBYnpc_FC20,npc,nsc,3.25199,79.3288,24.39392495
Pld4,nscBYnpc_FC20,npc,nsc,13.4423,327.38,24.35446315
Tnf,nscBYnpc_FC20,npc,nsc,0.894469,21.7496,24.31565543
1700018M17Rik,nscBYnpc_FC20,npc,nsc,0.0594928,1.43728,24.15888982
Gm48293,nscBYnpc_FC20,npc,nsc,0.035066,0.846158,24.13043974
C1qa,nscBYnpc_FC20,npc,nsc,21.7514,523.705,24.07684103
BC035044,nscBYnpc_FC20,npc,nsc,0.578967,13.921,24.04454831
Hpgd,nscBYnpc_FC20,npc,nsc,6.32444,151.939,24.02410332
Gm37474,nscBYnpc_FC20,npc,nsc,0.0350806,0.84271,24.02210909
Gm38843,nscBYnpc_FC20,npc,nsc,5.62437,134.847,23.97548525
Ms4a4a,nscBYnpc_FC20,npc,nsc,11.98,286.616,23.9245409
Timd4,nscBYnpc_FC20,npc,nsc,1.29933,31.0648,23.90832198
Cdhr1,nscBYnpc_FC20,npc,nsc,0.00988569,0.235823,23.85498635
Lst1,nscBYnpc_FC20,npc,nsc,12.8474,306.16,23.83050267
Oas1c,nscBYnpc_FC20,npc,nsc,0.0688616,1.64014,23.81791884
Itga5,nscBYnpc_FC20,npc,nsc,0.0752077,1.78927,23.79104799
Fpr1,nscBYnpc_FC20,npc,nsc,4.34048,103.092,23.75129018
Gmfg,nscBYnpc_FC20,npc,nsc,10.6739,253.338,23.73434265
Ltc4s,nscBYnpc_FC20,npc,nsc,18.4871,438.079,23.69646943
A630001G21Rik,nscBYnpc_FC20,npc,nsc,0.112697,2.66382,23.63700897
Ly86,nscBYnpc_FC20,npc,nsc,12.9643,304.919,23.51989695
Gm43708,nscBYnpc_FC20,npc,nsc,0.00911249,0.214275,23.5144291
Mgl2,nscBYnpc_FC20,npc,nsc,6.206,145.386,23.42668385
Cd14,nscBYnpc_FC20,npc,nsc,11.0931,259.595,23.40148381
Gm21985,nscBYnpc_FC20,npc,nsc,0.00489853,0.114581,23.39089482
Ifi207,nscBYnpc_FC20,npc,nsc,1.17778,27.3959,23.26062592
9330175M20Rik,nscBYnpc_FC20,npc,nsc,0.00468245,0.108661,23.20601395
Fcgr3,nscBYnpc_FC20,npc,nsc,10.2176,236.802,23.17589258
Clec4a1,nscBYnpc_FC20,npc,nsc,4.58743,106.049,23.11730097
Lcp1,nscBYnpc_FC20,npc,nsc,6.52881,149.908,22.96099902
2010016I18Rik,nscBYnpc_FC20,npc,nsc,0.0108499,0.24804,22.86104019
P2ry6,nscBYnpc_FC20,npc,nsc,5.54243,126.312,22.79000366
Ctsc,nscBYnpc_FC20,npc,nsc,18.1898,412.992,22.70459268
Itgb2,nscBYnpc_FC20,npc,nsc,1.10636,25.0911,22.67896526
Nfam1,nscBYnpc_FC20,npc,nsc,2.00571,45.4286,22.64963529
Hmga1b,nscBYnpc_FC20,npc,nsc,0.00553234,0.124503,22.50458215
Cd53,nscBYnpc_FC20,npc,nsc,15.8389,353.973,22.34833227
5430427O19Rik,nscBYnpc_FC20,npc,nsc,0.149002,3.32155,22.29198266
Arhgap25,nscBYnpc_FC20,npc,nsc,0.469137,10.4379,22.2491511
Stkld1,nscBYnpc_FC20,npc,nsc,0.0310881,0.69147,22.24227277
Smagp,nscBYnpc_FC20,npc,nsc,0.76127,16.8888,22.18503291
Gm18445,nscBYnpc_FC20,npc,nsc,0.183059,4.06022,22.17984366
Fermt3,nscBYnpc_FC20,npc,nsc,2.15626,47.723,22.13230315
Cd84,nscBYnpc_FC20,npc,nsc,1.87159,41.3852,22.11232161
Map3k8,nscBYnpc_FC20,npc,nsc,0.451206,9.95262,22.05781838
Ptpn6,nscBYnpc_FC20,npc,nsc,4.14398,91.3378,22.04108128
Scimp,nscBYnpc_FC20,npc,nsc,0.210504,4.6383,22.03426063
Maf,nscBYnpc_FC20,npc,nsc,6.9168,151.455,21.89668633
Gm47230,nscBYnpc_FC20,npc,nsc,0.00700015,0.153064,21.86581716
Gm29408,nscBYnpc_FC20,npc,nsc,0.538433,11.6533,21.64298994
Myo1g,nscBYnpc_FC20,npc,nsc,0.136872,2.95029,21.55510258
Gpr31b,nscBYnpc_FC20,npc,nsc,0.0762469,1.64232,21.53949866
Nlrp1b,nscBYnpc_FC20,npc,nsc,0.0185436,0.398851,21.50882245
Klra9,nscBYnpc_FC20,npc,nsc,0.03245,0.697579,21.4970416
Ebi3,nscBYnpc_FC20,npc,nsc,3.17329,68.2085,21.49456873
Chp2,nscBYnpc_FC20,npc,nsc,0.572761,12.2784,21.43721378
Olfr212,nscBYnpc_FC20,npc,nsc,0.00278391,0.0595669,21.39684832
Aif1,nscBYnpc_FC20,npc,nsc,22.93,488.821,21.31796773
Cd209a,nscBYnpc_FC20,npc,nsc,12.2647,261.271,21.30268168
P2ry13,nscBYnpc_FC20,npc,nsc,5.18638,110.295,21.26627821
Tnfrsf11a,nscBYnpc_FC20,npc,nsc,0.327805,6.94189,21.1768887
Gm2245,nscBYnpc_FC20,npc,nsc,0.0173581,0.366853,21.13439835
Mctp2,nscBYnpc_FC20,npc,nsc,0.0244572,0.516862,21.13332679
Lyz1,nscBYnpc_FC20,npc,nsc,0.0614062,1.29598,21.105035
Rpl27-ps2,nscBYnpc_FC20,npc,nsc,0.0770754,1.62509,21.08441863
Cmklr1,nscBYnpc_FC20,npc,nsc,0.553472,11.6254,21.00449526
Unc93b1,nscBYnpc_FC20,npc,nsc,7.63916,160.428,21.0007383
Slc11a1,nscBYnpc_FC20,npc,nsc,2.49403,52.1874,20.92492873
Slc10a6,nscBYnpc_FC20,npc,nsc,0.550559,11.4946,20.87805303
Cd38,nscBYnpc_FC20,npc,nsc,2.64424,55.0263,20.80987354
Inpp5d,nscBYnpc_FC20,npc,nsc,2.12599,44.1996,20.79012601
Gm47445,nscBYnpc_FC20,npc,nsc,0.104466,2.16614,20.73535887
Gm36638,nscBYnpc_FC20,npc,nsc,0.0516005,1.06721,20.68216393
Casp1,nscBYnpc_FC20,npc,nsc,1.03101,21.32,20.6787519
Nlrc4,nscBYnpc_FC20,npc,nsc,0.164102,3.3911,20.66458666
Aoc3,nscBYnpc_FC20,npc,nsc,0.00727432,0.150104,20.63478098
Gm5763,nscBYnpc_FC20,npc,nsc,0.00518939,0.106934,20.6062755
Gm43009,nscBYnpc_FC20,npc,nsc,0.00907547,0.186882,20.59199138
Gm43213,nscBYnpc_FC20,npc,nsc,0.0105916,0.21797,20.57951584
Ikzf1,nscBYnpc_FC20,npc,nsc,0.249769,5.13682,20.56628325
Gm47566,nscBYnpc_FC20,npc,nsc,1.65599,33.9306,20.48961648
