Gene,Category,QNP_avg,TAP_avg,FC5
RN7SL399P,QNPbyTAP_FC5_,1.87325,0.0002825,6630.973451
SHB,QNPbyTAP_FC5_,1.302792857,0.000535,2435.126836
AP1G2,QNPbyTAP_FC5_,1.520127143,0.000713,2132.015628
CDH12P2,QNPbyTAP_FC5_,1.584012857,0.00079525,1991.842637
RP11-769O8.3,QNPbyTAP_FC5_,-0.294113286,-0.000175837,1672.642558
PAPSS2,QNPbyTAP_FC5_,-2.610485714,-0.00169375,1541.246178
C7orf57,QNPbyTAP_FC5_,2.399285714,0.00302125,794.1367693
TSPAN7,QNPbyTAP_FC5_,4.263657143,0.0074875,569.4366802
HSP90B3P,QNPbyTAP_FC5_,-0.911972857,-0.002438375,374.0084512
ASNSP4,QNPbyTAP_FC5_,1.398828571,0.00376275,371.7569787
TRPM3,QNPbyTAP_FC5_,2.609614286,0.0070625,369.5029077
IL1R1,QNPbyTAP_FC5_,-3.6842,-0.0105875,347.9763872
SLC27A5,QNPbyTAP_FC5_,0.498077143,0.0017625,282.5969605
EGFL7,QNPbyTAP_FC5_,2.2078,0.00948625,232.736856
SNORA65,QNPbyTAP_FC5_,0.172229714,0.0012895,133.5631751
GPR1,QNPbyTAP_FC5_,-3.286157143,-0.0255775,128.4784339
PCDHGA12,QNPbyTAP_FC5_,4.427571429,0.03635,121.8038907
LINC01004,QNPbyTAP_FC5_,1.485764286,0.012225,121.5349109
LINC01023,QNPbyTAP_FC5_,1.106821571,0.00998375,110.8623084
SYT12,QNPbyTAP_FC5_,1.186744286,0.0115125,103.0831084
ZNF425,QNPbyTAP_FC5_,2.3962,0.02394625,100.0657723
IL11RA,QNPbyTAP_FC5_,2.4977,0.0259375,96.29686747
RNA5SP82,QNPbyTAP_FC5_,-0.51969,-0.00565125,91.9601858
MED12L,QNPbyTAP_FC5_,1.761714286,0.020025,87.9757446
KRTCAP3,QNPbyTAP_FC5_,1.092522857,0.012519875,87.26308027
TCN2,QNPbyTAP_FC5_,-2.103431429,-0.0259525,81.04927959
RORB,QNPbyTAP_FC5_,3.652442857,0.0454875,80.2955286
NDUFAF6,QNPbyTAP_FC5_,0.588908571,0.0075775,77.71805628
RBM26-AS1,QNPbyTAP_FC5_,0.320512857,0.0041755,76.76035376
MIR503HG,QNPbyTAP_FC5_,0.745804286,0.010031,74.34994375
CHST6,QNPbyTAP_FC5_,1.467911429,0.02041625,71.89916995
AHRR,QNPbyTAP_FC5_,2.133285714,0.03366,63.3774722
RNF217,QNPbyTAP_FC5_,1.512461429,0.025415,59.51058149
CTD-2609K8.3,QNPbyTAP_FC5_,0.301489286,0.00508425,59.29867448
FRS3,QNPbyTAP_FC5_,1.683228571,0.02844375,59.17744923
RP11-698F20.3,QNPbyTAP_FC5_,0.377983857,0.006602125,57.25184803
EDIL3,QNPbyTAP_FC5_,-6.430285714,-0.1161,55.3857512
RP3-402G11.27,QNPbyTAP_FC5_,0.634614286,0.011869125,53.46765543
SNORD63,QNPbyTAP_FC5_,0.73867,0.01391975,53.06632662
DMTN,QNPbyTAP_FC5_,2.413357143,0.04625,52.18069498
THAP6,QNPbyTAP_FC5_,1.440035714,0.02875375,50.08166637
CEP72,QNPbyTAP_FC5_,0.821701429,0.01703125,48.24668938
TFEB,QNPbyTAP_FC5_,1.3859,0.02910375,47.61929305
TPM3P6,QNPbyTAP_FC5_,-0.275409,-0.006059625,45.44984219
SHH,QNPbyTAP_FC5_,5.557578571,0.1238375,44.87799391
RP11-98J23.2,QNPbyTAP_FC5_,1.880284286,0.04273125,44.00255751
PVT1,QNPbyTAP_FC5_,1.301617143,0.030145,43.17854181
RP11-447H19.3,QNPbyTAP_FC5_,1.577034286,0.03655125,43.1458373
AC064836.3,QNPbyTAP_FC5_,-1.438929286,-0.03351625,42.93228764
