Gene,Category
TMPRSS5,ADbyO_FC1.25
VCAM1,ADbyO_FC1.25
ANGPT2,ADbyO_FC1.25
MRC1,ADbyO_FC1.25
CD44,ADbyO_FC1.25
MIA,ADbyO_FC1.25
ADH1B,ADbyO_FC1.25
LILRB3,ADbyO_FC1.25
IL1R2,ADbyO_FC1.25
AEBP1,ADbyO_FC1.25
HSD11B2,ADbyO_FC1.25
ANXA2,ADbyO_FC1.25
CFH,ADbyO_FC1.25
CES1,ADbyO_FC1.25
C21orf62,ADbyO_FC1.25
TNFRSF10D,ADbyO_FC1.25
ZIC1,ADbyO_FC1.25
PRELP,ADbyO_FC1.25
MSR1,ADbyO_FC1.25
S100A4,ADbyO_FC1.25
SLC6A20,ADbyO_FC1.25
S100A9,ADbyO_FC1.25
LCP1,ADbyO_FC1.25
RGS1,ADbyO_FC1.25
SLCO4A1,ADbyO_FC1.25
GEM,ADbyO_FC1.25
MT2A,ADbyO_FC1.25
F13A1,ADbyO_FC1.25
CFI,ADbyO_FC1.25
CRYAB,ADbyO_FC1.25
GJA1,ADbyO_FC1.25
HSPA1A,ADbyO_FC1.25
MAFF,ADbyO_FC1.25
SLC1A7,ADbyO_FC1.25
FGL2,ADbyO_FC1.25
PLA1A,ADbyO_FC1.25
KDR,ADbyO_FC1.25
S100A12,ADbyO_FC1.25
PPBP,ADbyO_FC1.25
ALX3,ADbyO_FC1.25
CD163,ADbyO_FC1.25
FKBP5,ADbyO_FC1.25
EMP1,ADbyO_FC1.25
TPD52L1,ADbyO_FC1.25
CYP1B1,ADbyO_FC1.25
FAM107A,ADbyO_FC1.25
GADD45B,ADbyO_FC1.25
CXCR4,ADbyO_FC1.25
MICA,ADbyO_FC1.25
VIM,ADbyO_FC1.25
ADM,ADbyO_FC1.25
C7,ADbyO_FC1.25
TIMP1,ADbyO_FC1.25
ITPKB,ADbyO_FC1.25
ID3,ADbyO_FC1.25
IL18,ADbyO_FC1.25
C1S,ADbyO_FC1.25
CLEC2B,ADbyO_FC1.25
FMOD,ADbyO_FC1.25
CEBPD,ADbyO_FC1.25
FOXC1,ADbyO_FC1.25
MSX1,ADbyO_FC1.25
S100A8,ADbyO_FC1.25
PTGDS,ADbyO_FC1.25
TNFRSF11B,ADbyO_FC1.25
IFITM2,ADbyO_FC1.25
SLC13A4,ADbyO_FC1.25
SERPINH1,ADbyO_FC1.25
CRABP1,ADbyO_FC1.25
TTR,ADbyO_FC1.25
BAG3,ADbyO_FC1.25
DSP,ADbyO_FC1.25
GBP2,ADbyO_FC1.25
PCK1,ADbyO_FC1.25
OR7A5,ADbyO_FC1.25
LIPG,ADbyO_FC1.25
AGTR1,ADbyO_FC1.25
MYOT,ADbyO_FC1.25
PYGL,ADbyO_FC1.25
SLC22A2,ADbyO_FC1.25
AFM,ADbyO_FC1.25
MMP8,ADbyO_FC1.25
FGF2,ADbyO_FC1.25
TLR8,ADbyO_FC1.25
VAV3,ADbyO_FC1.25
CP,ADbyO_FC1.25
SLC38A2,ADbyO_FC1.25
PF4,ADbyO_FC1.25
ZFP36L1,ADbyO_FC1.25
ISG20,ADbyO_FC1.25
SEPP1,ADbyO_FC1.25
IL18RAP,ADbyO_FC1.25
CCL15,ADbyO_FC1.25
ALOX5AP,ADbyO_FC1.25
CDR1,ADbyO_FC1.25
MARCO,ADbyO_FC1.25
TGFB2,ADbyO_FC1.25
PLA2G2A,ADbyO_FC1.25
SAGE1,ADbyO_FC1.25
HMOX1,ADbyO_FC1.25
HP,ADbyO_FC1.25
KCNN3,ADbyO_FC1.25
TCL1B,ADbyO_FC1.25
B4GALT1,ADbyO_FC1.25
DNTT,ADbyO_FC1.25
G0S2,ADbyO_FC1.25
SERPINA5,ADbyO_FC1.25
CLU,ADbyO_FC1.25
VNN2,ADbyO_FC1.25
RREB1,ADbyO_FC1.25
IL3RA,ADbyO_FC1.25
ADH1A,ADbyO_FC1.25
GLUL,ADbyO_FC1.25
CDA,ADbyO_FC1.25
ELL2,ADbyO_FC1.25
NCF2,ADbyO_FC1.25
LAMP2,ADbyO_FC1.25
CD99,ADbyO_FC1.25
NFE2,ADbyO_FC1.25
CAST,ADbyO_FC1.25
CD36,ADbyO_FC1.25
TNFRSF12A,ADbyO_FC1.25
BDH2,ADbyO_FC1.25
GPRC5A,ADbyO_FC1.25
SLC18A2,ADbyO_FC1.25
SLC12A7,ADbyO_FC1.25
SLC11A1,ADbyO_FC1.25
LAT2,ADbyO_FC1.25
SLC7A11,ADbyO_FC1.25
ID4,ADbyO_FC1.25
APOC1,ADbyO_FC1.25
FHL5,ADbyO_FC1.25
KTN1,ADbyO_FC1.25
ADARB2,ADbyO_FC1.25
IGF2,ADbyO_FC1.25
EYA2,ADbyO_FC1.25
FZD7,ADbyO_FC1.25
HLA-DRA,ADbyO_FC1.25
OMD,ADbyO_FC1.25
SS18,ADbyO_FC1.25
KCNJ16,ADbyO_FC1.25
CASP1,ADbyO_FC1.25
CCR5,ADbyO_FC1.25
SCGN,ADbyO_FC1.25
AZGP1,ADbyO_FC1.25
SOAT1,ADbyO_FC1.25
VAT1,ADbyO_FC1.25
LILRA2,ADbyO_FC1.25
SLC7A7,ADbyO_FC1.25
PBX1,ADbyO_FC1.25
CYTL1,ADbyO_FC1.25
SLC2A1,ADbyO_FC1.25
FMO3,ADbyO_FC1.25
RNASE2,ADbyO_FC1.25
KCNJ15,ADbyO_FC1.25
ABLIM1,ADbyO_FC1.25
GCH1,ADbyO_FC1.25
SELL,ADbyO_FC1.25
BPESC1,ADbyO_FC1.25
