"GeneHu","Category"
"ABTB2","QSVZbyPSVZ_Morizur_FC5_"
"ACAA2","QSVZbyPSVZ_Morizur_FC5_"
"ACAD11","QSVZbyPSVZ_Morizur_FC5_"
"ACAD10","PSVZbyQSVZ_Morizur_FC5_"
"ACADS","PSVZbyQSVZ_Morizur_FC5_"
"ACADSB","QSVZbyPSVZ_Morizur_FC5_"
"ACADVL","QSVZbyPSVZ_Morizur_FC5_"
"ACAN","PSVZbyQSVZ_Morizur_FC5_"
"ACAT1","PSVZbyQSVZ_Morizur_FC5_"
"ACBD3","PSVZbyQSVZ_Morizur_FC5_"
"ACBD4","PSVZbyQSVZ_Morizur_FC5_"
"ACBD6","PSVZbyQSVZ_Morizur_FC5_"
"ACCS","PSVZbyQSVZ_Morizur_FC5_"
"ACER3","QSVZbyPSVZ_Morizur_FC5_"
"ACIN1","PSVZbyQSVZ_Morizur_FC5_"
"ACKR3","PSVZbyQSVZ_Morizur_FC5_"
"ACLY","PSVZbyQSVZ_Morizur_FC5_"
"ACO1","PSVZbyQSVZ_Morizur_FC5_"
"ACOT2","PSVZbyQSVZ_Morizur_FC5_"
"ACOT1","PSVZbyQSVZ_Morizur_FC5_"
"ACOT11","QSVZbyPSVZ_Morizur_FC5_"
"ACOT6","QSVZbyPSVZ_Morizur_FC5_"
"ACOT7","PSVZbyQSVZ_Morizur_FC5_"
"ACOX1","QSVZbyPSVZ_Morizur_FC5_"
"ACOX3","QSVZbyPSVZ_Morizur_FC5_"
"ACP2","QSVZbyPSVZ_Morizur_FC5_"
"ACP6","QSVZbyPSVZ_Morizur_FC5_"
"ACSBG1","QSVZbyPSVZ_Morizur_FC5_"
"ACSF3","PSVZbyQSVZ_Morizur_FC5_"
"ACSL3","QSVZbyPSVZ_Morizur_FC5_"
"ACSL6","QSVZbyPSVZ_Morizur_FC5_"
"ACSM3","PSVZbyQSVZ_Morizur_FC5_"
"ACSM5","PSVZbyQSVZ_Morizur_FC5_"
"ACSS1","QSVZbyPSVZ_Morizur_FC5_"
"ACSS2","QSVZbyPSVZ_Morizur_FC5_"
"ACTA2","QSVZbyPSVZ_Morizur_FC5_"
"ACTL6A","PSVZbyQSVZ_Morizur_FC5_"
"ACTR1B","PSVZbyQSVZ_Morizur_FC5_"
"ACTR2","PSVZbyQSVZ_Morizur_FC5_"
"ACTR3","PSVZbyQSVZ_Morizur_FC5_"
"ACTR5","PSVZbyQSVZ_Morizur_FC5_"
"ACTR6","PSVZbyQSVZ_Morizur_FC5_"
"ACTR8","PSVZbyQSVZ_Morizur_FC5_"
"ACVR2B","PSVZbyQSVZ_Morizur_FC5_"
"ACYP1","PSVZbyQSVZ_Morizur_FC5_"
"ADA","PSVZbyQSVZ_Morizur_FC5_"
"ADAM12","PSVZbyQSVZ_Morizur_FC5_"
"ADAM9","PSVZbyQSVZ_Morizur_FC5_"
"ADAMTS1","QSVZbyPSVZ_Morizur_FC5_"
"ADAMTS16","PSVZbyQSVZ_Morizur_FC5_"
"ADAMTS18","PSVZbyQSVZ_Morizur_FC5_"
"ADAMTS3","PSVZbyQSVZ_Morizur_FC5_"
"ADAMTS4","QSVZbyPSVZ_Morizur_FC5_"
"ADAMTS6","PSVZbyQSVZ_Morizur_FC5_"
"ADAMTSL1","PSVZbyQSVZ_Morizur_FC5_"
