Gene,Category,sample_1,sample_2,value_1_npc,value_2_nsc,FC5
Gm16213,nscBYnpc_FC5_,npc,nsc,0.0182115,0.184618,10.13744063
Gm48133,nscBYnpc_FC5_,npc,nsc,0.0279447,0.283287,10.13741425
Siglecg,nscBYnpc_FC5_,npc,nsc,0.0325701,0.328688,10.09170988
Gm37010,nscBYnpc_FC5_,npc,nsc,0.147769,1.49064,10.08763678
Il10rb,nscBYnpc_FC5_,npc,nsc,8.1496,82.0149,10.06367184
Irgm2,nscBYnpc_FC5_,npc,nsc,0.947655,9.5262,10.05239248
Gm26571,nscBYnpc_FC5_,npc,nsc,0.0550993,0.553806,10.05105328
Adam8,nscBYnpc_FC5_,npc,nsc,1.18051,11.859,10.04565823
Tns4,nscBYnpc_FC5_,npc,nsc,0.139342,1.39915,10.04112184
Glis1,nscBYnpc_FC5_,npc,nsc,0.0178017,0.178437,10.02359325
Fam46a,nscBYnpc_FC5_,npc,nsc,0.717803,7.17455,9.995151873
Ccnb1-ps,nscBYnpc_FC5_,npc,nsc,0.00635846,0.0634534,9.979366073
Snora68,nscBYnpc_FC5_,npc,nsc,1.72637,17.1698,9.945608415
Gdf15,nscBYnpc_FC5_,npc,nsc,0.0259342,0.257521,9.929783838
Gm13383,nscBYnpc_FC5_,npc,nsc,0.0325889,0.322758,9.903924342
E230013L22Rik,nscBYnpc_FC5_,npc,nsc,0.104661,1.03611,9.899676097
Sla,nscBYnpc_FC5_,npc,nsc,1.79479,17.7617,9.896255272
4930555A03Rik,nscBYnpc_FC5_,npc,nsc,0.14306,1.41574,9.896127499
Gm5834,nscBYnpc_FC5_,npc,nsc,0.0793443,0.781985,9.855591391
Dse,nscBYnpc_FC5_,npc,nsc,5.13498,50.4329,9.821440395
Myocd,nscBYnpc_FC5_,npc,nsc,0.00837217,0.0821704,9.814707537
Gm37416,nscBYnpc_FC5_,npc,nsc,0.271268,2.65739,9.796179424
Gm2396,nscBYnpc_FC5_,npc,nsc,0.0104575,0.102376,9.789720296
Gm48015,nscBYnpc_FC5_,npc,nsc,0.0826067,0.807353,9.773456632
Hspa1a,nscBYnpc_FC5_,npc,nsc,1.19613,11.6448,9.735396654
Gm15425,nscBYnpc_FC5_,npc,nsc,0.0164432,0.160002,9.73058772
Slc9a9,nscBYnpc_FC5_,npc,nsc,6.51762,63.344,9.718885115
Cer1,nscBYnpc_FC5_,npc,nsc,0.360464,3.50161,9.714173954
Gm14523,nscBYnpc_FC5_,npc,nsc,0.0656855,0.634987,9.667080254
