Gene,Category
Itga7,astroBYoFC5
Fmo1,astroBYoFC5
Slc25a34,astroBYoFC5
Ccdc80,astroBYoFC5
Phkg1,astroBYoFC5
Slc14a1,astroBYoFC5
Paqr6,astroBYoFC5
Cbs,astroBYoFC5
Gm45518,astroBYoFC5
Aldh1l1,astroBYoFC5
Grhl1,astroBYoFC5
Plcd4,astroBYoFC5
Gm13110,astroBYoFC5
Gli1,astroBYoFC5
Lrig1,astroBYoFC5
Grm3,astroBYoFC5
Cth,astroBYoFC5
Gcnt4,astroBYoFC5
Nat8,astroBYoFC5
Itih3,astroBYoFC5
Gm6145,astroBYoFC5
Pla2g3,astroBYoFC5
Hgf,astroBYoFC5
Ppp1r3c,astroBYoFC5
Gm20083,astroBYoFC5
C030018K13Rik,astroBYoFC5
Slc13a3,astroBYoFC5
Cyp4f15,astroBYoFC5
A2m,astroBYoFC5
4930432E11Rik,astroBYoFC5
Cybrd1,astroBYoFC5
Emp2,astroBYoFC5
P4ha3,astroBYoFC5
Atp13a4,astroBYoFC5
Notch3,astroBYoFC5
Nwd1,astroBYoFC5
Gm13325,astroBYoFC5
Ephx2,astroBYoFC5
Gm47076,astroBYoFC5
Entpd2,astroBYoFC5
Ppp1r3g,astroBYoFC5
Egfr,astroBYoFC5
Mfge8,astroBYoFC5
Klri1,astroBYoFC5
Lgr6,astroBYoFC5
Gm13111,astroBYoFC5
Ttll8,astroBYoFC5
3110079O15Rik,astroBYoFC5
Gm9925,astroBYoFC5
Kcnn3,astroBYoFC5
Chrdl1,astroBYoFC5
Raver2,astroBYoFC5
2900052N01Rik,astroBYoFC5
Slc25a18,astroBYoFC5
Acsf2,astroBYoFC5
Tst,astroBYoFC5
Crb2,astroBYoFC5
Rdh5,astroBYoFC5
Slc4a4,astroBYoFC5
Slc6a11,astroBYoFC5
Cep85l,astroBYoFC5
Cldn10,astroBYoFC5
Srebf1,astroBYoFC5
Tulp3,astroBYoFC5
Otx1,astroBYoFC5
Slc2a10,astroBYoFC5
AC140304.2,astroBYoFC5
Ccdc121,astroBYoFC5
Gm11627,astroBYoFC5
Plscr1,astroBYoFC5
Frem2,astroBYoFC5
Slc15a2,astroBYoFC5
Glb1l,astroBYoFC5
Slc27a1,astroBYoFC5
3930402G23Rik,astroBYoFC5
Stk38l,astroBYoFC5
Prodh,astroBYoFC5
Cyp4f14,astroBYoFC5
Aifm3,astroBYoFC5
Ptar1,astroBYoFC5
Mylk2,astroBYoFC5
Cfap100,astroBYoFC5
Sorcs2,astroBYoFC5
Megf10,astroBYoFC5
Gm10561,astroBYoFC5
Fgfr3,astroBYoFC5
AI464131,astroBYoFC5
Gpam,astroBYoFC5
Gli3,astroBYoFC5
Nphp3,astroBYoFC5
Bmpr1b,astroBYoFC5
Gm30437,astroBYoFC5
Rhoq,astroBYoFC5
Eepd1,astroBYoFC5
Pamr1,astroBYoFC5
Sfrp5,astroBYoFC5
Ttpa,astroBYoFC5
Sypl2,astroBYoFC5
Axl,astroBYoFC5
Amot,astroBYoFC5
Ptch1,astroBYoFC5
A430105I19Rik,astroBYoFC5
Ngef,astroBYoFC5
Rasa2,astroBYoFC5
Vnn1,astroBYoFC5
Hacd2,astroBYoFC5
AW011738,astroBYoFC5
Lgi4,astroBYoFC5
Ccdc190,astroBYoFC5
Tmem82,astroBYoFC5
4933416E14Rik,astroBYoFC5
Pygb,astroBYoFC5
Acsbg1,astroBYoFC5
Il18,astroBYoFC5
Sfxn5,astroBYoFC5
Slc7a2,astroBYoFC5
Ddit4l,astroBYoFC5
Gli2,astroBYoFC5
Nek8,astroBYoFC5
Slc39a12,astroBYoFC5
Rgs20,astroBYoFC5
Prdm16,astroBYoFC5
4930527E20Rik,astroBYoFC5
Gm6133,astroBYoFC5
Abhd1,astroBYoFC5
Bcl2l12,astroBYoFC5
Hdhd5,astroBYoFC5
Gal,astroBYoFC5
Adhfe1,astroBYoFC5
2900005J15Rik,astroBYoFC5
Glud1,astroBYoFC5
Slc30a10,astroBYoFC5
Pipox,astroBYoFC5
Mtmr11,astroBYoFC5
Nmb,astroBYoFC5
Gm32200,astroBYoFC5
Upp1,astroBYoFC5
Olfml1,astroBYoFC5
Spata3,astroBYoFC5
Six5,astroBYoFC5
4930447K03Rik,astroBYoFC5
Slc41a1,astroBYoFC5
Rfx4,astroBYoFC5
Gm5540,astroBYoFC5
Gm14230,astroBYoFC5
Dbx2,astroBYoFC5
Daam2,astroBYoFC5
Pbxip1,astroBYoFC5
Ezr,astroBYoFC5
Appl2,astroBYoFC5
Loxl1,astroBYoFC5
Acss1,astroBYoFC5
Rnf215,astroBYoFC5
Pdk4,astroBYoFC5
Mapk4,astroBYoFC5
Pm20d1,astroBYoFC5
Gm7967,astroBYoFC5
Fgfbp3,astroBYoFC5
Gm27202,astroBYoFC5
Slc9a3r1,astroBYoFC5
Erbb2,astroBYoFC5
Alpl,astroBYoFC5
Celsr1,astroBYoFC5
Tsku,astroBYoFC5
Rorb,astroBYoFC5
Folh1,astroBYoFC5
Aqp4,astroBYoFC5
Fzd2,astroBYoFC5
Il17rd,astroBYoFC5
Gm7451,astroBYoFC5
Akt2,astroBYoFC5
Fzd10,astroBYoFC5
Nhsl1,astroBYoFC5
Oacyl,astroBYoFC5
Nadk2,astroBYoFC5
Myom3,astroBYoFC5
Id3,astroBYoFC5
Macf1,astroBYoFC5
Agt,astroBYoFC5
A030012G06Rik,astroBYoFC5
Ppil6,astroBYoFC5
Dtna,astroBYoFC5
Gdpd2,astroBYoFC5
Gm38191,astroBYoFC5
9430041J12Rik,astroBYoFC5
Igsf1,astroBYoFC5
Grin2c,astroBYoFC5
C030037D09Rik,astroBYoFC5
Olfml2a,astroBYoFC5
Nup93,astroBYoFC5
Trim9,astroBYoFC5
1700007K13Rik,astroBYoFC5
Tnc,astroBYoFC5
Gm23675,astroBYoFC5
Celrr,astroBYoFC5
Msx2,astroBYoFC5
Gpr179,astroBYoFC5
Aspg,astroBYoFC5
Gm13322,astroBYoFC5
Pld2,astroBYoFC5
Sox9,astroBYoFC5
Tlcd1,astroBYoFC5
Fxyd1,astroBYoFC5
Mlc1,astroBYoFC5
Vcam1,astroBYoFC5
Dio2,astroBYoFC5
C2cd4b,astroBYoFC5
Rasl11a,astroBYoFC5
Gja1,astroBYoFC5
Arhgef26,astroBYoFC5
Fam20a,astroBYoFC5
Gm17660,astroBYoFC5
Ak4,astroBYoFC5
Hspa14,astroBYoFC5
Boc,astroBYoFC5
3110082J24Rik,astroBYoFC5
Aox1,astroBYoFC5
Als2cl,astroBYoFC5
Gm40578,astroBYoFC5
Gpc4,astroBYoFC5
Cdk11b,astroBYoFC5
Plpp3,astroBYoFC5
6720483E21Rik,astroBYoFC5
Nim1k,astroBYoFC5
4930412L05Rik,astroBYoFC5
Gm43823,astroBYoFC5
Slc7a11,astroBYoFC5
Slc25a42,astroBYoFC5
Kcne1l,astroBYoFC5
Alpk3,astroBYoFC5
Sctr,astroBYoFC5
Wwc1,astroBYoFC5
Nat1,astroBYoFC5
C4b,astroBYoFC5
Fam228b,astroBYoFC5
Gm5530,astroBYoFC5
Pdzph1,astroBYoFC5
Gm11734,astroBYoFC5
Ptpn13,astroBYoFC5
Ddhd1,astroBYoFC5
Glud-ps,astroBYoFC5
A330041J22Rik,astroBYoFC5
Dlk1,astroBYoFC5
Gm9938,astroBYoFC5
Sned1,astroBYoFC5
Gm44065,astroBYoFC5
