Gene,Category
Slc13a1,AstroByothersCuffdiff2FCover20
C030018K13Rik,AstroByothersCuffdiff2FCover20
Slco1c1,AstroByothersCuffdiff2FCover20
Atp13a4,AstroByothersCuffdiff2FCover20
Gm20083,AstroByothersCuffdiff2FCover20
3110079O15Rik,AstroByothersCuffdiff2FCover20
Frmd4b,AstroByothersCuffdiff2FCover20
Tsku,AstroByothersCuffdiff2FCover20
Plcd4,AstroByothersCuffdiff2FCover20
Enah,AstroByothersCuffdiff2FCover20
Gm45736,AstroByothersCuffdiff2FCover20
Myo18a,AstroByothersCuffdiff2FCover20
Zfp180,AstroByothersCuffdiff2FCover20
Kcnn2,AstroByothersCuffdiff2FCover20
Palld,AstroByothersCuffdiff2FCover20
Col11a2,AstroByothersCuffdiff2FCover20
Rab7,AstroByothersCuffdiff2FCover20
Lrrc74b,AstroByothersCuffdiff2FCover20
P2rx6,AstroByothersCuffdiff2FCover20
Atf2,AstroByothersCuffdiff2FCover20
Gli2,AstroByothersCuffdiff2FCover20
Phyhd1,AstroByothersCuffdiff2FCover20
R3hdm2,AstroByothersCuffdiff2FCover20
Dgcr6,AstroByothersCuffdiff2FCover20
Sp6,AstroByothersCuffdiff2FCover20
Ankra2,AstroByothersCuffdiff2FCover20
Grtp1,AstroByothersCuffdiff2FCover20
Dynlrb2,AstroByothersCuffdiff2FCover20
Nwd1,AstroByothersCuffdiff2FCover20
Exd1,AstroByothersCuffdiff2FCover20
Gli3,AstroByothersCuffdiff2FCover20
Ppara,AstroByothersCuffdiff2FCover20
Enox2,AstroByothersCuffdiff2FCover20
Ints1,AstroByothersCuffdiff2FCover20
Gm20743,AstroByothersCuffdiff2FCover20
Hagh,AstroByothersCuffdiff2FCover20
Znrf1,AstroByothersCuffdiff2FCover20
Cyp4f15,AstroByothersCuffdiff2FCover20
P4ha3,AstroByothersCuffdiff2FCover20
Arpp21,AstroByothersCuffdiff2FCover20
Ttll8,AstroByothersCuffdiff2FCover20
4930432E11Rik,AstroByothersCuffdiff2FCover20
C030005K06Rik,AstroByothersCuffdiff2FCover20
Pttg1,AstroByothersCuffdiff2FCover20
Chd2,AstroByothersCuffdiff2FCover20
Paqr6,AstroByothersCuffdiff2FCover20
Ctnnd2,AstroByothersCuffdiff2FCover20
Cbs,AstroByothersCuffdiff2FCover20
Bdh1,AstroByothersCuffdiff2FCover20
Gm973,AstroByothersCuffdiff2FCover20
Fxyd1,AstroByothersCuffdiff2FCover20
Ttll8,AstroByothersCuffdiff2FCover20
Mfge8,AstroByothersCuffdiff2FCover20
Tnfaip8,AstroByothersCuffdiff2FCover20
Mir99ahg,AstroByothersCuffdiff2FCover20
C030005K06Rik,AstroByothersCuffdiff2FCover20
Slc14a1,AstroByothersCuffdiff2FCover20
Rgs20,AstroByothersCuffdiff2FCover20
Axdnd1,AstroByothersCuffdiff2FCover20
Hgf,AstroByothersCuffdiff2FCover20
Tnfaip8,AstroByothersCuffdiff2FCover20
Timp3,AstroByothersCuffdiff2FCover20
Fgfr3,AstroByothersCuffdiff2FCover20
Oacyl,AstroByothersCuffdiff2FCover20
Gm6145,AstroByothersCuffdiff2FCover20
Donson,AstroByothersCuffdiff2FCover20
Ucp3,AstroByothersCuffdiff2FCover20
Slc7a2,AstroByothersCuffdiff2FCover20
Gm43314,AstroByothersCuffdiff2FCover20
RF01962,AstroByothersCuffdiff2FCover20
Gm7967,AstroByothersCuffdiff2FCover20
Phkg1,AstroByothersCuffdiff2FCover20
