"","DEG_edgeRnames","DEG_Limmanames","DEG_Simplenames"
"DEG_edgeRnames",0,5.15201040759324e-86,1
"DEG_Limmanames",5.15201040759359e-86,0,1
"DEG_Simplenames",1,1,0
