"","DEG_edgeRnames","DEG_Limmanames","DEG_Simplenames"
"DEG_edgeRnames",0,0.0050249870789252,1
"DEG_Limmanames",0.00502498707892522,1.26965127372632e-34,0.855881558048716
"DEG_Simplenames",1,0.855881558048717,0
