PSID Gene Module kTotal kWithin kOut kDiff rank
AC021231.1 AC021231.1 lightyellow 25.5258480876786 7.06618491697422 18.4596631707044 -11.3934782537301 1
LINC00596 LINC00596 lightyellow 25.7415320503017 6.67872317544251 19.0628088748592 -12.3840856994167 2
AC005697.1 AC005697.1 lightyellow 23.6997605319972 6.22326336608342 17.4764971659138 -11.2532337998304 3
NECTIN3-AS1 NECTIN3-AS1 lightyellow 22.7041203174634 5.79550188207741 16.908618435386 -11.1131165533086 4
LINC01221 LINC01221 lightyellow 21.9773347613415 5.6434925960734 16.3338421652681 -10.6903495691947 5
DPH6 DPH6 lightyellow 20.9185511181035 5.60420409749233 15.3143470206111 -9.7101429231188 6
NAALADL2 NAALADL2 lightyellow 21.6212237128291 5.48344278599723 16.1377809268319 -10.6543381408346 7
PSG6 PSG6 lightyellow 19.6672770551367 5.35934844924065 14.3079286058961 -8.94858015665543 8
ANP32AP1 ANP32AP1 lightyellow 23.4535984682044 5.33753996010691 18.1160585080975 -12.7785185479906 9
LINC01107 LINC01107 lightyellow 23.6214515472042 5.27612816512558 18.3453233820786 -13.0691952169531 10
PSG1 PSG1 lightyellow 19.8093131785009 5.24216346166208 14.5671497168388 -9.32498625517669 11
LINC01170 LINC01170 lightyellow 20.7943769235149 5.21586788622518 15.5785090372897 -10.3626411510646 12
CXXC4-AS1 CXXC4-AS1 lightyellow 22.104796774678 5.08749969641776 17.0172970782602 -11.9297973818424 13
PSG3 PSG3 lightyellow 22.9565543194054 4.95266402306312 18.0038902963422 -13.0512262732791 14
PSG7 PSG7 lightyellow 18.7353952128816 4.88013417919766 13.8552610336839 -8.97512685448626 15
AC105430.1 AC105430.1 lightyellow 23.2220179063022 4.78801557933103 18.4340023269712 -13.6459867476402 16
AC115622.1 AC115622.1 lightyellow 28.9333605222175 4.72424480159306 24.2091157206244 -19.4848709190314 17
AC002383.1 AC002383.1 lightyellow 23.8533636229481 4.61638905678032 19.2369745661678 -14.6205855093875 18
AZIN1-AS1 AZIN1-AS1 lightyellow 22.736670924611 4.57997241887177 18.1566985057392 -13.5767260868674 19
LINC01376 LINC01376 lightyellow 21.5670909823434 4.57874145048409 16.9883495318593 -12.4096080813752 20
AL845331.3 AL845331.3 lightyellow 20.1463859142547 4.44163812111903 15.7047477931357 -11.2631096720166 21
LINC02250 LINC02250 lightyellow 19.9228696106262 4.33109231439828 15.5917772962279 -11.2606849818296 22
SUMF1 SUMF1 lightyellow 20.9318069918921 4.16978807081851 16.7620189210736 -12.5922308502551 23
LINC01006 LINC01006 lightyellow 19.6429481553841 4.04593343647508 15.597014718909 -11.551081282434 24
AC097515.1 AC097515.1 lightyellow 19.0897321930339 3.94000225547669 15.1497299375572 -11.2097276820805 25
OR1L6 OR1L6 lightyellow 23.0341021456857 3.87944105406492 19.1546610916208 -15.2752200375559 26
LINC01222 LINC01222 lightyellow 24.3846335494332 3.87152351176309 20.5131100376702 -16.6415865259071 27
AL135934.1 AL135934.1 lightyellow 20.6776826973904 3.81328252648908 16.8644001709013 -13.0511176444122 28
SELP SELP lightyellow 21.6270576145467 3.74827594787237 17.8787816666743 -14.130505718802 29
AP003049.2 AP003049.2 lightyellow 22.1711178568497 3.72064461701633 18.4504732398333 -14.729828622817 30
AL359710.1 AL359710.1 lightyellow 18.3088859495446 3.69634049597768 14.612545453567 -10.9162049575893 31
AC037450.1 AC037450.1 lightyellow 19.1912864661545 3.65605200906277 15.5352344570917 -11.879182448029 32
PSG4 PSG4 lightyellow 19.8632500542704 3.6177345920737 16.2455154621967 -12.627780870123 33
OR1L4 OR1L4 lightyellow 20.696376126282 3.6084955512687 17.0878805750133 -13.4793850237446 34
CEACAMP5 CEACAMP5 lightyellow 23.0657834338769 3.60666983629362 19.4591135975833 -15.8524437612897 35
AL445433.2 AL445433.2 lightyellow 20.5199978568426 3.60527312270377 16.9147247341389 -13.3094516114351 36
MUSK MUSK lightyellow 22.4836470334364 3.49157502660934 18.9920720068271 -15.5004969802178 37
GPATCH2 GPATCH2 lightyellow 18.8076191211159 3.48095863041015 15.3266604907057 -11.8457018602956 38
AC034195.1 AC034195.1 lightyellow 17.8159925709786 3.42487061478026 14.3911219561983 -10.9662513414181 39
AC068481.1 AC068481.1 lightyellow 20.1959812253118 3.37272379795621 16.8232574273556 -13.4505336293994 40
AC016999.2 AC016999.2 lightyellow 19.4503810018099 3.20536407203004 16.2450169297798 -13.0396528577498 41
AC090502.1 AC090502.1 lightyellow 17.3251432841389 3.2018593325615 14.1232839515774 -10.9214246190159 42
RNF217-AS1 RNF217-AS1 lightyellow 18.1972899083989 3.19391191431807 15.0033779940808 -11.8094660797627 43
LINC01630 LINC01630 lightyellow 19.504969940534 3.18887561358042 16.3160943269536 -13.1272187133731 44
AOX3P AOX3P lightyellow 18.1161503438048 3.17364884594432 14.9425014978605 -11.7688526519162 45
AC027801.2 AC027801.2 lightyellow 25.0277483120423 3.16210291130509 21.8656454007373 -18.7035424894322 46
PSG5 PSG5 lightyellow 16.480207142447 3.10719115730232 13.3730159851447 -10.2658248278424 47
AL138830.2 AL138830.2 lightyellow 20.8595063497992 3.09358760271313 17.7659187470861 -14.672331144373 48
PSG8 PSG8 lightyellow 17.122538723082 3.03493955223861 14.0875991708434 -11.0526596186047 49
AGBL3 AGBL3 lightyellow 17.1591424913565 2.98917775808471 14.1699647332718 -11.1807869751871 50
KIAA0825 KIAA0825 lightyellow 20.0061303978583 2.94763637639903 17.0584940214593 -14.1108576450603 51
PALM2 PALM2 lightyellow 26.5057300356252 2.91397538958152 23.5917546460437 -20.6777792564622 52
AC007221.2 AC007221.2 lightyellow 19.533987159697 2.77537111379929 16.7586160458977 -13.9832449320984 53
AC098864.1 AC098864.1 lightyellow 19.385851850381 2.76304174857177 16.6228101018092 -13.8597683532374 54
AC233296.1 AC233296.1 lightyellow 21.1133499123815 2.70316498941935 18.4101849229622 -15.7070199335428 55
LINC02023 LINC02023 lightyellow 17.697406161266 2.69569929547274 15.0017068657933 -12.3060075703205 56
AC078881.1 AC078881.1 lightyellow 18.5532522342997 2.68790838639994 15.8653438478998 -13.1774354614998 57
AL157884.3 AL157884.3 lightyellow 24.8638702357642 2.62726046684971 22.2366097689145 -19.6093493020648 58
AC104803.1 AC104803.1 lightyellow 18.6046589172973 2.62010526348793 15.9845536538093 -13.3644483903214 59
RN7SKP14 RN7SKP14 lightyellow 19.392437372843 2.60481965428207 16.787617718561 -14.1827980642789 60
AC108866.1 AC108866.1 lightyellow 18.1007493245976 2.56795847511488 15.5327908494827 -12.9648323743679 61
ZNF847P ZNF847P lightyellow 18.0045061869023 2.55337302794113 15.4511331589611 -12.89776013102 62
RFX3-AS1 RFX3-AS1 lightyellow 16.9377124356674 2.55071739702308 14.3869950386443 -11.8362776416212 63
AL392023.2 AL392023.2 lightyellow 19.3064651902837 2.46206113552124 16.8444040547624 -14.3823429192412 64
LINC01277 LINC01277 lightyellow 19.3558280659483 2.46053654299499 16.8952915229533 -14.4347549799583 65
RNU6-634P RNU6-634P lightyellow 13.3981863734846 2.45271739839789 10.9454689750867 -8.49275157668878 66
MTERF1 MTERF1 lightyellow 19.9447905657397 2.44123669951953 17.5035538662202 -15.0623171667007 67
RFLNA RFLNA lightyellow 22.8437113015386 2.39403133130323 20.4496799702353 -18.0556486389321 68
