PSID Gene Module kTotal kWithin kOut kDiff rank
SART1 SART1 HuAgeMSNDsplitRnaseq_01 34.2348016964387 18.8089126979645 15.4258889984741 3.38302369949038 50
UQCRFS1 UQCRFS1 HuAgeMSNDsplitRnaseq_01 35.1008452682 18.6350536911814 16.4657915770186 2.16926211416285 51
HUWE1 HUWE1 HuAgeMSNDsplitRnaseq_01 42.9135123632106 18.6111338229426 24.302378540268 -5.69124471732549 52
OSBPL2 OSBPL2 HuAgeMSNDsplitRnaseq_01 37.1819707249987 18.6087370705418 18.5732336544569 0.0355034160849286 53
FBXO45 FBXO45 HuAgeMSNDsplitRnaseq_01 36.4005363302598 18.4797810287469 17.9207553015129 0.559025727234015 54
CNOT1 CNOT1 HuAgeMSNDsplitRnaseq_01 40.3784453440697 18.3991949608048 21.9792503832649 -3.58005542246007 55
KDM5C KDM5C HuAgeMSNDsplitRnaseq_01 36.3942204823822 18.3570505420272 18.0371699403549 0.319880601672295 56
RSL1D1 RSL1D1 HuAgeMSNDsplitRnaseq_01 43.6183166343232 18.2728154634725 25.3455011708507 -7.07268570737815 57
CCNI CCNI HuAgeMSNDsplitRnaseq_01 44.7507884903014 18.2121859228368 26.5386025674646 -8.32641664462771 58
GBA2 GBA2 HuAgeMSNDsplitRnaseq_01 34.5855277642181 18.1634424126596 16.4220853515585 1.74135706110113 59
PSMD1 PSMD1 HuAgeMSNDsplitRnaseq_01 32.8083357897045 18.1616606457348 14.6466751439697 3.51498550176504 60
SF3B3 SF3B3 HuAgeMSNDsplitRnaseq_01 39.8931988014802 18.0916131597792 21.801585641701 -3.70997248192173 61
EIF4G1 EIF4G1 HuAgeMSNDsplitRnaseq_01 37.729679258496 18.0509653935514 19.6787138649446 -1.62774847139322 62
CAND1 CAND1 HuAgeMSNDsplitRnaseq_01 42.6886800732833 17.9938642015079 24.6948158717754 -6.7009516702675 63
SERINC3 SERINC3 HuAgeMSNDsplitRnaseq_01 39.9311172434579 17.8708888456093 22.0602283978487 -4.1893395522394 64
NFKBIL1 NFKBIL1 HuAgeMSNDsplitRnaseq_01 32.8643911083409 17.8248883916811 15.0395027166598 2.78538567502127 65
SLU7 SLU7 HuAgeMSNDsplitRnaseq_01 31.8042750602239 17.7889404806801 14.0153345795437 3.77360590113638 66
DDX42 DDX42 HuAgeMSNDsplitRnaseq_01 33.5679009174568 17.7612623364474 15.8066385810094 1.95462375543791 67
RBSN RBSN HuAgeMSNDsplitRnaseq_01 32.1942737856022 17.6972874171047 14.4969863684975 3.20030104860717 68
ZRANB1 ZRANB1 HuAgeMSNDsplitRnaseq_01 36.0244786780321 17.6881287278335 18.3363499501987 -0.648221222365194 69
IK IK HuAgeMSNDsplitRnaseq_01 32.9694642844573 17.6266468233107 15.3428174611466 2.28382936216402 70
VPS18 VPS18 HuAgeMSNDsplitRnaseq_01 33.7407629615129 17.6238499618227 16.1169129996902 1.50693696213251 71
MORF4L1 MORF4L1 HuAgeMSNDsplitRnaseq_01 36.5578408187811 17.5911107533393 18.9667300654418 -1.37561931210253 72
ZNF622 ZNF622 HuAgeMSNDsplitRnaseq_01 31.6051231057458 17.3294643936574 14.2756587120885 3.05380568156891 73
STRAP STRAP HuAgeMSNDsplitRnaseq_01 37.8080419101832 17.322110499178 20.4859314110053 -3.16382091182729 74
OSBP OSBP HuAgeMSNDsplitRnaseq_01 31.306358444942 17.2093561104578 14.0970023344842 3.11235377597353 75
SUPT5H SUPT5H HuAgeMSNDsplitRnaseq_01 37.8897871979997 17.1785467642482 20.7112404337514 -3.5326936695032 76
