Sample_Name,MsGroup_Name,GEO_Accession,CellType,Age,Study,Species,Tissue,CellTypeDescription
astro_SRR1033783,astro_1,SRR1033783,other,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,Astrocyte
astro_SRR1033784,astro_2,SRR1033784,other,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,Astrocyte
neuron_SRR1033785,neuron_1,SRR1033785,other,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,Neuron
neuron_SRR1033786,neuron_2,SRR1033786,other,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,Neuron
preoligo_SRR1033787,preoligo_1,SRR1033787,preoligo,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,OligodendrocytePrecursor
preoligo_SRR1033788,preoligo_2,SRR1033788,preoligo,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,OligodendrocytePrecursor
newoligo_SRR1033789,newoligo_1,SRR1033789,other,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,NewlyOligodendrocytes
newoligo_SRR1033790,newoligo_2,SRR1033790,other,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,NewlyOligodendrocytes
myeoligo_SRR1033791,myeoligo_1,SRR1033791,other,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,MyelinatingOligodendrocytes
myeoligo_SRR1033792,myeoligo_2,SRR1033792,other,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,MyelinatingOligodendrocytes
microglia_SRR1033793,microglia_1,SRR1033793,other,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,Microglia
microglia_SRR1033794,microglia_2,SRR1033794,other,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,Microglia
endo_SRR1033795,endo_1,SRR1033795,other,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,EndothelialCells
endo_SRR1033796,endo_2,SRR1033796,other,No_data,GSE52564,mouse_FVN_Swiss,cerebral_cortex,EndothelialCells
microglia_SRR5483445,microglia_3,SRR5483445,other,No_data,GSE86573,mouse_C57BL6,brain,normal brain microglia
microglia_SRR5483446,microglia_4,SRR5483446,other,No_data,GSE86573,mouse_C57BL6,brain,normal brain microglia
microglia_SRR5483447,microglia_5,SRR5483447,other,No_data,GSE86573,mouse_C57BL6,brain,normal brain microglia
monocytes_SRR5483448,monocytes_1,SRR5483448,other,No_data,GSE86573,mouse_C57BL6,blood,Ly6C high blood monocyte
monocytes_SRR5483449,monocytes_2,SRR5483449,other,No_data,GSE86573,mouse_C57BL6,blood,Ly6C high blood monocyte
monocytes_SRR5483450,monocytes_3,SRR5483450,other,No_data,GSE86573,mouse_C57BL6,blood,Ly6C high blood monocyte
monocytes_SRR5483451,monocytes_4,SRR5483451,other,No_data,GSE86573,mouse_C57BL6,blood,Ly6C high blood monocyte
monocytes_SRR5483452,monocytes_5,SRR5483452,other,No_data,GSE86573,mouse_C57BL6,blood,Ly6C high blood monocyte
microglia_SRR1106118,microglia_6,SRR1106118,other,5_months,SRP035309,mouse_C57BL6,brain,microglia2
microglia_SRR1106122,microglia_7,SRR1106122,other,5_months,SRP035309,mouse_C57BL6,brain,microglia3
macrophages_SRR1106141,macrophages_1,SRR1106141,other,5_months,SRP035309,mouse_C57BL6,peritoneum,Young macrophages 1A
macrophages_SRR1106142,macrophages_2,SRR1106142,other,5_months,SRP035309,mouse_C57BL6,peritoneum,Young macrophages 1B
macrophages_SRR1106143,macrophages_3,SRR1106143,other,5_months,SRP035309,mouse_C57BL6,peritoneum,Young macrophages 2A
macrophages_SRR1106169,macrophages_4,SRR1106169,other,5_months,SRP035309,mouse_C57BL6,peritoneum,Young macrophages 3A
macrophages_SRR1106186,macrophages_5,SRR1106186,other,5_months,SRP035309,mouse_C57BL6,peritoneum,Young macrophages 3B
macrophages_SRR1106188,macrophages_6,SRR1106188,other,5_months,SRP035309,mouse_C57BL6,peritoneum,Young macrophages 3C
