"","DEG_edgeRnames","DEG_Limmanames","DEG_Simplenames"
"DEG_edgeRnames",0,1.89678453318627e-97,1
"DEG_Limmanames",1.8967845331864e-97,0,1
"DEG_Simplenames",1,1,0
