GSM1294118	GSM1294119	GSM1294120	GSM1294121	GSM1294122	GSM1294123	GSM1294124	GSM1294125	GSM1294126	GSM1294127	GSM1294128	GSM1294129	GSM1294130
A_23_P100001	7.655787577	6.813155246	9.941694399	9.245000003	9.685693688	9.32374317	9.376507669	8.805774821	7.514722732	8.553927209	8.653548048	8.905321413	8.241973619
A_23_P100022	9.347188827	NA	12.3105929	10.04746614	11.3012361	12.1379815	11.5626517	10.98073082	8.898172672	12.0232103	11.34631926	12.16825435	11.12735019
A_23_P100074	7.437169468	7.029214331	9.219689104	8.736732039	7.804336921	8.474446184	8.276541796	8.150905382	6.734608018	7.569755376	7.820252372	8.550813725	7.347399024
A_23_P100092	3.957111331	3.0872398	5.739679364	4.80362021	4.587918798	4.929580826	5.097559813	4.748908785	3.498604476	4.887607151	4.614758718	5.275351286	4.352289601
A_23_P100103	3.994228511	NA	4.665187518	5.556888883	5.287911435	4.737452061	5.126800271	4.351702525	3.469413247	3.265137704	3.915494131	4.044222734	4.272321106
A_23_P100133	5.632639022	4.134293237	6.370589771	5.723064018	5.529976449	5.655618302	6.363907484	6.242415393	4.9664217	3.896463679	5.371866187	5.963397594	4.576668456
A_23_P100141	8.380992589	6.998485503	9.308511961	NA	8.600738437	9.167128323	9.324377919	9.081278903	7.948742167	7.390021024	8.116015353	8.346190143	6.465211462
A_23_P100156	5.143488931	3.819951177	6.672637487	6.460599729	6.109487396	5.805635029	6.477289567	6.00648497	4.107314595	5.41090548	5.742781801	6.135196031	4.132036348
A_23_P100196	7.087374792	NA	7.535554556	7.610426195	7.125249172	6.974468511	7.859424212	6.5208154	5.816041053	6.409091843	6.554503822	7.1015881	5.602676895
A_23_P100203	8.164006344	8.239538863	9.819181498	9.714600308	8.964595303	8.719287846	9.552463148	9.251127552	6.748905298	9.006823677	8.939826302	9.480157659	7.511437993
A_23_P10025	4.600565328	6.858984314	8.945589269	6.70822449	7.726485212	7.40522232	7.718038251	7.281358862	3.968610582	8.446802928	8.355462543	9.051748389	5.769403615
A_23_P100263	6.875995026	3.560684389	8.519118441	7.642256075	7.230588272	7.083938789	8.934683678	8.097622384	6.186540966	5.210410296	6.585989755	7.198643444	7.7314711
A_23_P100292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P100315	7.744288268	6.560324732	8.432928933	8.711152088	8.304868751	4.024504083	8.917167074	8.528622497	7.337546978	6.757810005	7.604734087	7.630669749	7.869479102
A_23_P100326	8.857224937	7.01239883	10.24059101	9.678398905	9.900080959	10.22717188	9.829964961	9.873835494	9.45165972	8.939659133	9.083077178	9.867976286	8.877212649
A_23_P100341	11.0039423	9.218365616	12.04771934	11.63819107	10.18940083	10.1649773	10.77911934	10.64915646	10.58881581	9.611232885	9.407383558	10.31392604	10.58754127
A_23_P100386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P100392	8.2794244	6.731099046	9.025606355	9.531336814	9.168582871	8.759869546	9.751133452	8.886124238	8.135112592	8.342121794	7.924564315	7.579079807	8.139388145
A_23_P100408	3.900527765	NA	4.469665258	4.19646069	4.165435248	3.003126177	4.614928882	NA	3.827506068	3.079766021	3.413038885	3.268244088	4.014016898
A_23_P100413	5.791021152	3.702527894	6.647242546	7.041536504	6.335398216	5.836487959	6.229013153	6.381905764	5.038356722	4.689247155	4.553952698	5.578595202	5.788312984
A_23_P100420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P100441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P100455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P100478	5.506339797	3.989178072	6.903704736	7.587088908	6.727655029	6.508345296	7.590172332	6.538313423	5.007661072	5.9447397	6.500493281	6.45857624	5.945193787
A_23_P100486	8.486880463	6.283028514	9.585381911	9.093700133	8.774292572	8.600851404	9.385823799	8.974623952	7.97149987	8.517872099	8.16831259	8.715038095	7.458955287
A_23_P100499	7.36109457	6.11306493	7.977583888	7.216261807	7.030402296	7.476366295	8.197006787	7.648625782	5.740155021	6.038376258	6.824562939	7.666110358	6.768691164
A_23_P100517	6.836262482	5.431879654	7.512669363	8.236749946	NA	NA	8.083898911	7.604650332	6.000088362	6.605106554	6.622128273	7.233752916	5.856616506
A_23_P100522	10.07955945	8.032077695	11.77403381	11.67602846	10.77043512	10.53093591	11.06498185	10.20294414	9.810088299	8.118706486	8.901435926	9.889469131	10.56425621
A_23_P100539	2.675866504	NA	3.973730653	4.141001095	3.520363157	2.441754623	4.409672658	4.51914872	2.36458784	2.6452246	3.159909916	3.632613723	2.249670451
A_23_P100556	6.711359992	4.878324646	7.394506425	7.470287935	7.233336862	7.196125042	7.330928527	7.200956459	5.992351058	5.508726225	6.60542781	6.783493324	6.439875255
A_23_P100576	8.286091958	6.090580359	9.971836661	9.872928465	9.721886815	9.328180781	9.581483443	8.801036076	7.522326512	9.03320603	8.837061466	9.762755912	8.463105808
A_23_P100602	5.224483714	4.586200283	7.582722331	6.679525139	6.672315014	6.625268882	7.39264972	6.615716288	5.216981326	5.061871654	6.597110848	6.94650045	6.326978595
A_23_P10062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P100632	9.590392806	8.883176931	12.4319987	10.70077868	11.53479116	11.89122398	11.56595031	11.4953474	8.994779959	11.16987616	11.35796045	12.31823266	10.51376805
A_23_P100642	9.642448695	8.319073696	9.739374404	11.04203757	9.795665336	10.22660847	10.11625298	10.20033833	10.56352616	9.167564415	8.59305268	8.628679925	9.821241601
A_23_P100654	10.17031317	9.85169533	11.29886734	11.33321966	10.6103771	10.54084678	11.10649816	10.95817351	9.037969405	10.14943721	10.20020958	10.37471348	9.552529047
A_23_P100660	4.620446239	3.256511625	6.479800955	7.377095978	6.128337123	5.20094175	5.964268081	5.575708352	4.723767142	6.473903452	4.783491752	6.191861273	7.14845116
A_23_P100676	6.977314273	4.686913947	7.592759	7.348148304	7.335938743	7.31848135	7.860037235	7.165040634	6.318704943	6.06780046	6.048373307	6.534851917	6.84569954
A_23_P100693	7.818478645	4.780963574	8.434939249	8.88697715	8.620314047	7.949096572	8.182579583	7.297170319	7.076360275	5.548936857	6.877411754	6.830772508	6.392366199
A_23_P100704	6.383088035	4.228927946	7.020848855	7.60219555	7.265788488	6.604346104	7.074842565	6.904367281	6.007861293	6.17620128	6.307569873	6.377794606	6.234950752
A_23_P100711	11.81389059	NA	11.90197707	12.63479063	11.7614033	11.87704558	12.5798281	11.88752032	11.03942494	10.63055746	11.2006516	11.25434425	10.08303914
A_23_P100730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P100764	7.77050731	4.766421307	8.312062927	8.23785383	8.251002774	7.960333888	8.514877347	8.184130502	6.874809259	7.007488183	7.064522909	7.341605994	7.1766838
A_23_P10077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P100788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P100795	4.700709921	3.672369896	5.244289617	6.906181096	7.168969902	4.310167045	5.153909482	5.239297978	4.665067537	4.649471757	5.96184092	5.81774936	4.20779136
A_23_P100802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P100868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P100883	8.525341489	7.854134697	8.949021553	8.734539264	8.157022482	8.737271007	NA	8.261697697	7.70579548	7.345138196	7.784464067	8.174005858	7.662179859
A_23_P10091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P100912	4.962319506	2.008844327	6.777918063	5.455375556	5.295748734	5.818530029	5.891048987	5.685148803	5.072670931	4.283425483	5.487806598	6.058388152	4.465725072
A_23_P100963	4.092849301	2.312137134	5.665539159	6.113061595	5.544578426	4.420836733	5.467574903	5.309882661	4.691268939	3.551079144	4.860995563	5.189466805	5.736132107
A_23_P101007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A_23_P101013	8.163503261	5.882393857	8.646135289	9.383255864	8.610035234	8.79455428	8.494038326	8.804528272	7.052164801	6.592694726	7.583434088	7.54768117	8.254874611
