GSM509547	GSM509548	GSM509549	GSM509550	GSM509551	GSM509552	GSM509553	GSM509554	GSM509555	GSM509556	GSM509557	GSM509558
1007_s_at	1584.5	788.7	663.4	1069.8	1389	1507.9	1136.8	1376.4	1308.1	1099.6	1235.2	1356.6
1053_at	40.3	12.8	2.9	5.7	11.4	6.1	23.6	17.3	3.7	8.1	47.8	10.9
117_at	81	29.4	22.7	40.8	9	31.2	27.7	40.6	23.4	23.4	73.3	48.1
121_at	336.5	234.7	246	255.1	253.4	215.1	261.6	305.3	194.7	612.5	842.1	340
1255_g_at	27.9	39	29.2	39.7	42.3	29.9	33.5	33.6	34.5	78	26	49.9
1294_at	94.2	102.3	64.1	66.8	65.1	91.8	131.1	89.7	90.4	33.7	150.3	142.5
1316_at	76.1	65.8	44.3	51.4	76.8	88.4	88.3	68.5	49	267.3	167.3	116.3
1320_at	5.4	21.1	1.3	11	8.5	5.2	4.1	4.2	3	6.5	20.9	7.5
1431_at	21.3	18.9	19.7	36.4	16.5	44.5	15.5	24.5	19.8	47.8	55.8	29
1438_at	10	8.3	14.8	8.1	9.2	9.2	2.2	5.2	8.6	17	19.8	45.7
1487_at	105.8	127.3	45.2	84.3	121.4	93.6	91.6	100.8	129.6	239.1	115.2	69
1494_f_at	107.4	102.9	77.5	98.3	95	91.7	98.4	87.7	79.7	340	191.2	125.3
1598_g_at	598	858.5	515.2	623	351.1	603.8	478.5	641.7	567.6	1068.3	807.6	617.6
160020_at	156	128.9	87.9	130.8	168	73.5	185	84.1	126.1	254.6	348.1	146.9
1729_at	122	49.8	73.8	63	60.9	132.3	91.1	102.7	80.8	190.5	91.6	140.5
1773_at	70.7	76.5	14.5	34.7	25.1	22.2	30.1	8.6	7.6	9.1	15.8	26.7
177_at	23.3	26.8	5.1	30.4	48.9	29.6	33.7	36.5	20	46.2	9	59.4
1861_at	58.6	36.5	29.7	18.7	55.7	48.8	49	50.6	35.6	94	14.4	89
200000_s_at	393.4	340.9	339.7	396.8	331.6	437	340.5	482.5	404.1	165.8	287.5	415.6
200001_at	708	643.3	319.2	497.2	453	477.8	327.2	364.8	383.1	43.5	468.9	537.4
200002_at	1664.9	1766.5	1711.6	2221.2	2213.7	2300.2	2720.2	1959.4	2563.8	1322.3	2281.1	2191.2
200003_s_at	1761.6	1561.7	1372.7	2338.8	2332.6	2339.9	2728.7	1615	2409.3	1367.9	2901.8	2091.8
200004_at	1056.7	1066.2	1112.2	880	962.8	726.7	1158.9	1021.9	1037.3	348.3	563.3	706.2
200005_at	369.1	314.6	288.9	342.9	350.9	417.9	421.8	348.4	410.2	220.7	356.4	411
200006_at	1349.4	1407.2	1760.7	1249.2	1681.6	1693.5	2130.5	1679	1768.3	1161.9	933.9	1319.9
200007_at	1513	1890.8	1968.4	1626.1	1456.7	1569.9	1606	1548.8	1656.1	679.4	2222.1	1529.5
