GSM506013	GSM506014	GSM506015	GSM506016	GSM506017	GSM506018	GSM506019	GSM506020	GSM506021	GSM506022	GSM506023
200088_x_at	1539.422878	2131.215124	2066.784627	1125.658809	1488.67304	1704.617599	1850.383383	1660.802676	1647.531282	1958.889098	1775.442761
200089_s_at	1001.665864	1067.867075	1155.102847	862.331108	1315.982376	1422.093748	1240.137509	1300.390392	1624.380169	949.0062429	1124.614004
200090_at	926.4327346	739.382562	688.0847682	642.776764	741.2955413	696.2334112	998.5108243	761.0249754	1173.077742	590.0300382	1060.818087
200091_s_at	623.9131693	727.5827855	728.8033443	677.4699148	811.946527	1066.53902	819.3039331	393.1398991	952.5482764	607.2855835	806.1831613
200092_s_at	1379.060186	1768.970323	1819.114975	1550.159668	1414.679353	2006.115693	1833.029638	1361.801698	2028.476247	1607.973683	1550.41558
200093_s_at	654.4449762	590.4975519	626.5808543	615.0723596	522.9915392	402.2056825	503.3669744	444.2328407	482.3295509	429.0356821	784.8077428
200094_s_at	1029.013439	1443.016546	1300.69076	1080.990545	1106.720794	1165.05343	834.6099176	667.5197797	942.2987378	1005.741773	1001.713677
200095_x_at	3440.934736	4193.122253	4747.848099	3138.193899	3776.75149	3589.076933	5540.262086	4283.582076	4627.461068	3850.064845	3740.619539
200096_s_at	226.9033438	369.9517936	343.1549132	499.5519444	285.06792	372.2558097	352.8224551	231.4670435	400.5296196	351.2006509	351.5924037
200097_s_at	460.0747444	370.3113569	367.6746356	385.9251235	339.080693	403.0513034	322.4897699	238.4247545	399.7005506	277.6863105	451.469806
200098_s_at	595.9086708	532.9364428	476.2692425	442.3709603	670.6010627	538.0780008	747.2931292	807.7868036	775.0677965	617.2489001	730.0660917
200099_s_at	1342.406631	1935.388565	1899.627016	1861.496333	2292.000604	2172.462714	1850.853263	1923.420395	2385.837487	1595.021337	1640.883019
200593_s_at	232.291716	229.1496704	299.8391056	353.831339	281.2723087	217.9362079	169.1712716	251.0102649	285.3966505	260.4074122	244.9693079
200594_x_at	758.8623565	639.3091311	714.643797	831.2462086	642.7267496	916.9521396	778.4116793	872.5915887	1035.919771	757.8137077	659.6287027
200595_s_at	179.2919771	170.2184235	278.3491776	204.3143382	141.1658232	242.936917	164.1657228	91.70177844	251.6169271	198.8867961	183.431008
200596_s_at	78.87672593	72.43254649	90.06565154	76.04390372	57.10420033	40.32509816	147.272839	28.40637838	81.50024241	76.3464602	30.58100171
200597_at	79.72002432	67.58712835	69.69569733	56.05863745	44.13410243	84.52440851	55.79184515	51.51474711	36.13607322	71.13783848	71.79835932
200598_s_at	205.7775625	126.3572408	399.3710112	238.5760132	149.4245751	218.2319606	120.654638	184.2088662	418.6842987	210.105397	147.7757548
200599_s_at	789.8581433	684.6424479	1326.683016	681.6402804	773.5670145	907.8625867	909.0291198	605.8686729	1503.810469	734.4414482	722.4017645
200600_at	249.6337026	349.3293721	400.8974978	250.9757884	236.456458	437.2298762	262.8032178	228.5513086	535.9034145	323.6123886	240.2368212
200601_at	224.3195349	179.1726829	155.4678119	296.0198739	105.905484	235.9664666	231.996518	148.3640497	588.2968019	249.9783864	160.0207649
200602_at	729.3331244	493.1100464	453.6260592	515.7638363	441.2977633	776.4903928	631.8844462	248.7173133	409.9152735	360.7923996	552.988416
200603_at	859.5039745	547.2201323	559.894958	668.0452002	357.1754451	833.1968349	523.8581606	342.1600234	706.2800214	454.9337388	724.7146866
200604_s_at	388.8673493	355.0898734	436.2590289	397.1399857	248.7685676	267.8968509	182.7279119	347.2237703	378.8076528	360.7759812	337.0494843
200605_s_at	637.1106066	455.3717921	510.474006	572.4333128	706.9978454	708.5835446	715.0177206	533.1537721	1290.566372	480.3777215	669.6303989
200606_at	42.83103487	45.89007797	52.48741429	63.33195392	94.99409876	76.33231979	43.43072578	45.12204237	61.18241455	90.76859215	53.11889428
200607_s_at	204.5497025	182.9579945	268.9701226	355.3270808	147.3481704	221.9243373	101.2454252	218.3958727	165.4539428	257.2915919	169.1321459
200608_s_at	228.5664494	182.8585025	135.11958	248.8268913	227.6244229	353.7717229	259.171545	127.9913502	318.6737732	122.7789929	199.4351905
200609_s_at	393.7497556	599.1669184	463.9694135	384.1354969	418.9222602	357.4662355	427.227491	292.2648949	451.2194584	487.0265631	523.5412525
200610_s_at	630.8818777	544.8507204	468.847374	768.0173111	536.6210885	833.2172512	509.0927131	325.8834524	603.1688123	487.7868712	771.7717756
200611_s_at	193.0233077	380.3684743	421.0671949	243.9909479	240.5761226	219.9834068	227.9553388	174.7984837	316.4222116	281.8909813	202.9993886
200612_s_at	480.7331916	670.3746537	416.2572566	440.5358262	445.3093395	547.6086893	502.5969919	470.2138983	360.3078445	357.7521222	255.9223903
200613_at	611.0997337	811.5301943	549.0513677	643.0019413	544.9253709	393.5220856	558.7768132	492.766196	404.3224182	392.6815736	636.4455809
200614_at	1762.561754	1932.270404	1783.047592	1563.898274	1807.515949	1170.27581	1496.5749	1288.32721	1482.195992	1215.512022	2098.71154
200615_s_at	271.1135527	260.3439911	298.2828623	255.0758265	232.0478638	269.5204006	216.8168612	138.1103871	309.4775241	219.3504558	210.2697816
200616_s_at	2.608939635	21.97690663	3.62611831	17.24339419	9.215298133	9.227204934	20.9526877	17.77615114	26.22424396	12.0803821	6.351740015
200617_at	295.8405969	279.9892484	253.2249156	309.4840428	288.5867276	341.2796291	381.4011324	287.0245129	399.5055569	312.4243297	296.7261027
200618_at	340.1067043	306.0196598	189.3538316	246.3561854	259.4358513	296.2267861	297.0824684	148.7688466	292.3579362	245.3569831	280.7266424
200619_at	165.3910507	280.3065427	281.7922863	173.5325681	218.7796168	174.6557624	257.6084461	207.7692068	274.5567575	234.0504378	226.4439788
200620_at	1080.285872	968.9900252	915.4957218	966.3405329	1340.135948	987.9973459	1115.196857	1067.547524	2164.007771	906.0457579	1196.046334
200621_at	1746.837816	2098.752769	1983.668145	2540.509905	1917.22047	1921.223005	2070.617785	1938.252697	1757.324953	2312.339154	1846.233615
200622_x_at	400.1159334	405.3942363	298.0181203	228.8214254	313.5343105	342.3620992	362.8425167	377.1240864	253.1959959	255.7822476	402.3937022
200623_s_at	492.7724699	424.24071	368.2459516	375.9384309	599.6686518	208.9042844	494.7850807	511.1988264	195.8706545	183.5763488	579.6679585
200624_s_at	728.9226374	565.9843476	671.1536678	630.8490313	402.3837086	365.3898973	350.363484	281.9715656	671.9918974	457.071784	662.8893141
200625_s_at	728.4079209	597.8946583	606.0081161	547.3477001	639.1153933	650.471137	609.9487251	480.239534	969.655666	661.3367881	801.9418169
200626_s_at	621.4512978	544.9534402	546.9697682	635.3690651	568.4097057	586.277149	554.5300202	310.3804055	540.5173464	350.2840046	490.626427
200627_at	896.229878	872.8980728	1013.329596	980.743137	966.8578589	1133.240045	1115.901979	843.3715512	2000.29714	780.3081251	981.9055299
200628_s_at	106.1871385	156.2166477	128.1985512	176.7263508	172.1355457	270.5592855	220.9846364	52.47105998	265.0763911	91.81068278	133.1243864
200629_at	184.4575385	263.4511678	245.7716332	184.6912821	151.3980201	239.2837472	202.0603067	201.033072	186.5204768	148.4670104	216.5044068
200630_x_at	543.0281326	495.5950124	444.4441974	635.9337441	568.0688115	607.0031426	493.4526094	474.9619256	770.0588829	520.2614242	541.7468205
200631_s_at	497.3830302	547.849702	431.027806	536.9527397	478.7766496	529.992018	667.1803057	432.8945206	651.8096691	467.3777671	493.8727827
200632_s_at	1651.593875	2073.724792	1516.674172	2172.569336	2354.113636	2312.4467	3034.120694	2856.244219	3203.205141	1343.491564	2053.240001
200633_at	5847.768771	5600.348645	5040.294519	4417.674821	5631.100228	4875.409947	7200.088032	5803.804902	7835.122618	4852.078791	6337.693002
200634_at	447.5098912	511.3852059	500.3606389	452.5102609	354.7170311	630.2870543	616.3190114	453.7343517	625.0460053	345.371499	577.6339062
200635_s_at	81.92934385	105.3285507	99.50161184	77.38079938	83.58812701	122.5228576	93.2407864	131.5015655	79.19795938	112.4490364	66.43484557
200636_s_at	347.7078614	321.128672	243.2884855	264.5037181	229.4098561	470.1318932	269.2554593	220.0818994	219.9731646	293.4797034	358.5401853
200637_s_at	67.57824838	79.15965005	82.14847149	78.04062783	86.22009558	55.19166709	75.88634884	83.24495044	34.19477439	88.39139234	14.58352862
200638_s_at	630.3991737	744.3989313	695.4130518	554.9286888	493.7492963	367.5077324	550.0985945	414.6804467	461.2626323	461.6121146	705.0134205
200639_s_at	507.2964078	460.5551334	386.3773409	359.5882912	556.795144	355.3452883	497.4613741	384.4808032	325.2635973	478.3322375	451.0467345
200640_at	775.3035698	1020.197956	711.1878642	572.6752997	797.3771529	727.2941803	690.875543	671.1997611	610.3619518	659.8458482	907.8423033
200641_s_at	436.4946605	573.6770079	512.0896032	514.575937	484.0179991	346.7096089	397.0541635	379.2089328	439.497607	424.6739484	518.0501505
200642_at	3300.530933	3129.802998	2748.281256	2331.267748	2468.511413	1908.103733	2436.380595	1548.822302	2871.727804	2076.448308	3524.475965
200643_at	108.7158178	132.1092066	123.9799651	157.7409532	80.71612619	81.10305654	173.8293651	33.35224328	112.1919815	80.40095052	114.4418893
200644_at	1956.398308	1769.140751	1220.074357	946.1590445	1829.948731	2243.067516	2108.110822	1615.228206	2688.929548	1764.136815	2269.166678
200645_at	1124.839898	1343.004095	1456.749144	1230.227449	1348.818532	1192.083699	1423.232565	1321.946156	1138.918453	1275.629144	1399.181188
200646_s_at	57.01340949	74.45738011	57.38564556	57.89006305	42.23008056	74.13204974	40.11774713	79.96644793	51.70896674	49.24044649	9.419179653
200647_x_at	1334.936737	881.8133839	781.1536071	675.1138019	451.3519011	324.8848381	285.1269483	749.4671853	470.6542756	666.3767968	619.865097
200648_s_at	612.3399874	1148.002746	2152.359602	1688.513468	855.9508835	760.5993695	566.6472882	991.76595	981.3550389	804.9382639	233.588057
200649_at	207.9528281	236.1434373	227.1011312	203.2394157	206.5596361	192.5640377	241.6558885	213.7176895	148.8733917	133.3173518	201.2578881
200650_s_at	1517.772931	1471.549763	1706.983672	1131.406512	1141.540556	1173.231385	1495.788553	1203.853886	1504.247734	815.3809404	1678.665619
200651_at	815.8657593	1075.620604	1256.901283	938.2872793	981.6491183	1215.277813	932.4539734	690.4187753	976.5651383	1067.890686	793.6379574
200652_at	289.4129081	290.5417603	321.2481203	280.7181769	179.1958237	294.7900447	221.068227	277.9453393	274.2588552	286.5841981	221.9678478
200653_s_at	171.0938338	187.8556814	297.3872059	358.6550381	194.1968921	214.5867689	133.6147873	128.0631014	180.7389323	142.104017	311.7335644
200654_at	409.9974592	579.7303126	538.9128156	421.7879367	358.1093398	635.020851	667.1898279	310.7459783	498.5023715	568.2629277	310.651883
200655_s_at	1302.277296	1230.410253	1311.309229	1266.791694	1432.787996	1492.565254	1437.324634	1199.204261	1688.53385	1166.365855	1344.168399
200656_s_at	83.77081696	129.4555477	163.1974701	197.6064784	107.6550288	153.8268762	115.4619744	157.7224831	88.49042183	131.6500776	45.13998978
200657_at	883.839838	1409.010314	872.0398596	855.3389752	792.4923168	626.2090778	1074.371106	1082.662395	795.5691912	736.2778516	1172.955807
200658_s_at	101.0615895	181.0088415	148.1600778	175.0520832	138.1911196	105.0437723	202.4229251	233.0527707	143.6406726	97.24020296	150.7119221
200659_s_at	78.00996621	65.47873297	100.3293891	166.7492678	47.26843555	110.5668447	121.1979772	59.33736961	119.8303411	96.67667011	90.18983866
200660_at	53.86039996	108.8843949	218.5248751	114.8137718	131.1560836	193.4460112	206.6470339	208.783813	262.9374707	121.3635607	10.02713106
200661_at	124.5475469	216.9903397	210.8597433	157.163981	181.8177611	146.3631246	276.1286081	209.7977969	122.4169455	154.6928303	136.0871088
200662_s_at	792.0429319	762.8581483	668.0237412	477.8391036	651.577138	541.7867827	651.8197937	530.9401642	672.6147916	510.2645373	882.3982524
200663_at	1014.328802	1510.030178	1804.396307	1233.988145	1015.443165	1208.637693	1528.407213	1432.639556	1386.072528	1114.090096	1145.12151
