"","ID","GSM509547","GSM509548","GSM509549","GSM509550","GSM509551","GSM509552","GSM509553","GSM509554","GSM509555","GSM509556","GSM509557","GSM509558","gene_symbol"
"1","1007_s_at","10.6731029194717","9.5657843799932","9.21989452653681","10.0487933630437","10.3492996609859","10.5250721401315","10.1082521833818","10.3778160459549","10.2114827583407","10.5059521122699","10.4671300072498","10.4417770532242","DDR1"
"2","1053_at","5.44542875923832","3.97880577773088","2.58896443127865","2.9196578916824","3.73696559416621","2.96962635095648","4.70390357344466","4.32343012005259","2.6724253419715","2.36690500360575","5.07610297908579","3.4708621994137","RFC2"
"3","117_at","6.38629363515099","5.1168637576909","5.08852325661663","5.49532207710612","3.42234514612528","5.0936376383783","4.94407755537392","5.53579377225731","4.93231319248842","4.11547721741994","5.68813372300512","5.49931440981034","HSPA6"
"4","121_at","8.37101426442465","7.89026427702111","7.97723221454173","7.99416483694475","7.99713242553747","7.76641847995318","8.03291815350068","8.23357973448362","7.6427136038674","9.59617422316845","9.98263713366942","8.44259798152762","PAX8"
"5","1255_g_at","4.92025359537576","5.50805884586575","5.44404858593791","5.45779126025604","5.54316074166553","5.02347715183043","5.23010051647171","5.28725064325462","5.44818515106054","5.70113315484797","4.22753572461241","5.55305325276641","GUCA1A"
"6","1294_at","6.58846479662746","6.76807402277443","6.39803107397315","6.16842141085193","6.15220032342546","6.59712142878957","7.06644802519184","6.63487153926172","6.66782118057477","4.61667136044849","7.02937926199369","7.13005568234283","MIR5193"
"7","1316_at","6.30218194087563","6.1974624464606","5.94943766065471","5.8073549220576","6.37445991937252","6.54077382867385","6.56217881192622","6.2803068064537","5.87815311917121","8.10804522122892","7.26686460649622","6.81836913922872","THRA"
"8","1320_at","2.84632615357044","4.64793804582134","1.79701297783615","3.66343950542228","3.34340782229781","2.78485292356276","2.50567925119669","2.65535182861255","2.44404858593791","2.07324898203064","3.90929308582382","3.03268861870617","PTPN21"
"9","1431_at","4.51884982870769","4.49452228310566","4.85798099512757","5.32222862505008","4.21787694021396","5.60115173882049","4.10643207781693","4.83289001416474","4.67478076296963","5.04512256928097","5.28909670241999","4.77785802481311","CYP2E1"
"10","1438_at","3.55867580920088","3.48220292629596","4.47059109257444","3.3303193651465","3.4594316186373","3.48971418557334","1.86789646399265","2.92599941855622","3.61077879252529","3.54019263060113","3.79571500650173","5.4201005792923","EPHB3"
"11","1487_at","6.73318484110815","7.06765843391701","5.9750836768607","6.49425558654498","6.98056803728916","6.62192975887499","6.60720700121132","6.78964231846978","7.10651932088779","7.88980813694009","6.47816289273763","6.05075561960989","ESRRA"
"12","1494_f_at","6.75977724508184","6.77544567410286","6.61434176271485","6.69997724176563","6.66805764919371","6.59469782732387","6.69685164246051","6.60665196431952","6.52623838933413","8.53776844855529","7.51943968699498","6.93113146269603","CYP2A6"
"13","1598_g_at","9.1904831733817","9.68008109723998","8.8949945533383","9.26984745688085","8.47191225748261","9.23347987395511","8.8809864634331","9.22962997830307","9.08303603495137","10.4820432231652","9.90615152606142","9.31876874268273","GAS6"
