"","DEG_edgeRnames","DEG_Limmanames","DEG_Simplenames"
"DEG_edgeRnames",0,0.00917145106811997,1
"DEG_Limmanames",0.00917145106812004,0,1
"DEG_Simplenames",1,1,0
