"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"Mrpl32",0.735264283293871,4.91809286491843,1.7299395133608,0.0943853981186099,0.299367478505807,-5.41915823642392,"neuronBYo",1.66470239369674
"Ppp1r26",1.88188056286518,1.92411008282022,1.72919736279551,0.0945200509374871,0.299751589290428,-5.4203473050556,"neuronBYo",3.68555161451137
"5430405H02Rik",0.611089798117745,1.18938198883545,1.72886604096913,0.0945802169511443,0.299899403699321,-5.42087801336813,"neuronBYo",1.52741256621911
"Prkag1",0.945695864994029,1.46075296246077,1.72877979743406,0.0945958835477997,0.299906095117222,-5.42101614398726,"neuronBYo",1.9261176997457
"Aco2",0.608119092143517,0.569687041502491,1.72838015771073,0.0946685088099165,0.30009334007763,-5.42165614796174,"neuronBYo",1.52427065122483
"Gm47793",0.856091635018296,0.24801319091167,1.72747960512906,0.0948323358192977,0.300569593886866,-5.42309790104871,"neuronBYo",1.81012789520178
"Gm2829",0.688109164389385,0.133754564555798,1.7270397895941,0.094912433197481,0.300780369521254,-5.42380180923673,"neuronBYo",1.61117048990453
"Dut",1.35950862026715,3.12241438517989,1.72664762233117,0.0949839011854701,0.300963741897186,-5.42442933579089,"neuronBYo",2.56597767818513
"Sptan1",1.32828334254288,4.43392492530672,1.72640104194132,0.0950288608709207,0.301029325781785,-5.42482384239077,"neuronBYo",2.51103709701687
"Hacd4",1.30555397705054,2.56502365025269,1.72638485145893,0.0950318135542188,0.301029325781785,-5.42484974412056,"neuronBYo",2.47178622738606
"Taf4",0.782931757635696,1.88927315805926,1.72606626086207,0.0950899311563493,0.301170300210725,-5.4253593892023,"neuronBYo",1.72062387034345
"Tmem200b",-1.36394721075373,1.43806306222927,-1.72548563323236,0.0951959268949103,0.301462852948196,-5.42628801549854,"neuronBYo",0.38851785027873
"AC167019.3",0.996816709512052,1.01346903617847,1.72534803256654,0.0952210610073138,0.301465924917183,-5.4265080499195,"neuronBYo",1.99559188736084
"Prmt3",0.836575654469931,1.9369265352378,1.72533112031703,0.0952241505818052,0.301465924917183,-5.42653509297244,"neuronBYo",1.78580636124513
"Gm6123",0.817830149828085,4.13649086594927,1.7249047750765,0.0953020643865929,0.301669419147889,-5.42721675731338,"neuronBYo",1.762752772655
"Dcaf12",0.676330439009867,4.6920378115861,1.72457982399208,0.0953614846862394,0.301788157784057,-5.42773621543984,"neuronBYo",1.59806981747793
"Acvr1",0.544050883269519,1.29036235850854,1.72436224608087,0.095401288268127,0.301788157784057,-5.42808398536829,"neuronBYo",1.45806080312344
"Dtwd1",0.825800366793525,2.51553668674422,1.72426601390472,0.0954188973957245,0.301788157784057,-5.42823778862065,"neuronBYo",1.77251810888157
"Gm19366",1.65293246271607,0.911759782254995,1.72417690011138,0.0954352064034219,0.301788157784057,-5.42838020870377,"neuronBYo",3.14472195037276
"Med25",1.12504749510427,4.80215886720938,1.724158317551,0.0954386075548573,0.301788157784057,-5.42840990627066,"neuronBYo",2.18108726793545
"Poc5",0.959861315034598,2.2026602942839,1.72415661484658,0.0954389192046198,0.301788157784057,-5.42841262742083,"neuronBYo",1.94512290293708
