"","neuronBYo","AveExpr","F","P.Value","adj.P.Val"
"Lhx5",6.77949003465503,0.521167590456235,2318.91851821659,5.34595009006398e-29,1.18268453842485e-24
"Trp73",5.9052005643032,0.44071626253222,1855.51147933698,1.2553735404082e-27,1.20454494436339e-23
"Nhlh2",8.9363669566448,0.737415293115143,1821.27175492427,1.63342893508574e-27,1.20454494436339e-23
"Reln",7.61772770614191,0.64735749412483,1275.60081210408,2.46700894604549e-25,1.36444097283411e-21
"Gm31579",4.87127569642651,0.344840566601937,1244.9086729419,3.47261343578099e-25,1.53649254079566e-21
"Lhx1os",4.90749312243226,0.366121114818236,1210.26195426841,5.15987390136422e-25,1.90253150533134e-21
"5330417C22Rik",5.14409272465635,0.510285899849513,1047.74728955765,3.88583362834078e-24,1.22808996228262e-20
"Dlx5",6.00429110411599,0.501646600679602,1032.9275827847,4.74176995251919e-24,1.31127720824478e-20
"Slc17a6",6.10519831959813,0.545082621324757,1004.47095375351,7.00476269524036e-24,1.7218485011867e-20
"Scube3",5.4472311087746,0.546362148300919,982.658505942228,9.51645656946828e-24,2.10532568686347e-20
"Gm27199",4.86831058974238,0.400132374594555,951.836033814774,1.48426432045328e-23,2.98512541467163e-20
"Kcnk9",5.39217085881387,0.592095305039887,928.489343524531,2.0980440228022e-23,3.86791899303776e-20
"Mir679",3.7866249677959,0.252441664519727,894.046635061654,3.55132869573355e-23,6.04354190274718e-20
"Barhl2",4.77867612869308,0.396255687260633,853.795932355268,6.73893067473161e-23,1.06489545226491e-19
"Dlx1as",4.02607248431249,0.312208410944624,835.037363179527,9.17515654505213e-23,1.2798341028341e-19
"Gm27379",3.6929111330211,0.24619407553474,834.509117152411,9.25613417951704e-23,1.2798341028341e-19
"Pnoc",4.32698866177477,0.392903517052233,822.991527502297,1.12259083528017e-22,1.4608868852296e-19
"Nos1",3.97656470667228,0.347652962944032,801.090679909967,1.63203678468293e-22,2.00586387708558e-19
"Celf6",5.28622087196381,0.578482462490773,794.232434914387,1.8386683124494e-22,2.14088731980622e-19
"Hcn4",5.0949644357647,0.478178900239786,787.104589508681,2.08339639544037e-22,2.30454892281637e-19
"Gdf5",6.11520407406472,0.51570345101315,777.523059196471,2.46873574121338e-22,2.60075432394589e-19
"Dlx6os1",5.21984700025749,0.443899012408473,749.628495161612,4.09397839177424e-22,4.1168674527828e-19
"AC157931.1",5.09668187893067,0.505945314106168,738.950034541732,4.99266306959695e-22,4.80229065603014e-19
"Sp9",5.34678479072664,0.474463236963428,730.759659234546,5.82444944441312e-22,5.2192637355681e-19
"Syndig1l",5.51329535277397,0.714864026771206,728.813901719783,6.04309845569496e-22,5.2192637355681e-19
"Crabp1",4.6587244928088,0.412559423913703,728.027659387462,6.13392655267236e-22,5.2192637355681e-19
"Nkx2-1",4.40191349456506,0.330744816120954,711.071585334448,8.49429166473834e-22,6.79813985118375e-19
"Ripk4",4.93980689701799,0.450453267208258,710.410624995443,8.60407340022353e-22,6.79813985118375e-19
"Slc10a4",5.54837729553387,0.520313495720368,691.784731691616,1.24151128178799e-21,9.47101865068817e-19
"Mrap2",4.16213928667762,0.407036533028272,665.826490624689,2.10330854166943e-21,1.55104982891176e-18
"Nxph4",6.66823812758898,0.75652438417675,656.358105168797,2.56185030328624e-21,1.82825207289037e-18
"Gm44155",3.4538726815133,0.230258178767554,648.408579041471,3.02960165714933e-21,2.09449617065983e-18
"Gm5406",3.47998505936915,0.252169679539198,633.763567181708,4.14791941074632e-21,2.78074003405882e-18
"Clstn2",4.22383471208033,0.446626462268693,628.445835980425,4.65718524150283e-21,3.03032085581668e-18
"Gm44742",3.37620910690671,0.248496477447177,621.030527597688,5.48200710001378e-21,3.46509837353157e-18
"Sp8",6.25412544817479,0.596772112520849,617.093725335563,5.98226522960511e-21,3.67626815762649e-18
"March4",3.75672345188031,0.384332502224308,610.749676116704,6.89401877010112e-21,4.1220642500256e-18
"Mir298",3.12927627111846,0.208618418074564,607.782149821064,7.37055930999271e-21,4.29102325302549e-18
"Pcsk1",5.36172915365238,0.523576442446059,601.263480401385,8.54563091926127e-21,4.84756391863633e-18
"Prlhr",4.35704885563753,0.326048298506322,591.292843769257,1.07475078636839e-20,5.94417791170698e-18
"Lhfpl5",3.71692369393415,0.341914169961753,588.247012918622,1.15356607793618e-20,6.22447374199562e-18
"Gm23213",3.01732825077169,0.201155216718113,573.646984765279,1.62745963306352e-20,8.5724498719677e-18
"Gm14204",4.08741026234446,0.390409745289795,550.874149069317,2.83171886770249e-20,1.45688643046935e-17
"Lhx6",5.1570286413727,0.51626413349608,524.715822477938,5.49945499836155e-20,2.76510097565347e-17
"Igfbpl1",5.71948349441349,0.69998177968884,511.176351070501,7.85118999523194e-20,3.8598194725448e-17
"Trim66",4.91819532604654,0.512476203981394,509.909411962068,8.12085463690051e-20,3.90560145939456e-17
"Gm25224",4.11246340525267,0.274164227016845,503.028980188656,9.76920067821407e-20,4.5354400328657e-17
"Mir673",3.55157128539725,0.236771419026483,502.760086729939,9.84048825103076e-20,4.5354400328657e-17
"Lefty2",3.21243826978871,0.28850130475919,498.651484436764,1.10018083601318e-19,4.91472792559585e-17
"Lrrc26",4.90407480258476,0.495999748827144,498.30006392253,1.11077338642947e-19,4.91472792559585e-17
"Gm12063",5.4006152012029,0.488115753770644,492.359369410655,1.3073650750144e-19,5.67114461853794e-17
"AI606473",3.47347457337127,0.266723944435284,471.85072410494,2.32854985453942e-19,9.90663623691838e-17
"Grem2",3.31261138210324,0.310003807325309,462.926460139929,3.01580030593511e-19,1.24852627448062e-16
"Celf4",4.47510842012768,0.638517993120569,462.568720598734,3.04752605080474e-19,1.24852627448062e-16
"Tac2",3.91905077441316,0.385811410379788,424.023860590704,9.8660851466401e-19,3.96849821271125e-16
"Oxtr",3.48520137903194,0.304358586375694,422.903890747857,1.02238011682088e-18,4.0389491650765e-16
"Chodl",3.46721792892657,0.361161284986932,414.112205409611,1.35638852563636e-18,5.26445321976371e-16
"Kcnh7",3.60267972451358,0.410549358308984,413.426913252998,1.38693563414659e-18,5.29020293693534e-16
"Gpr83",4.51894497641523,0.621109169786955,412.212677051678,1.44288252185048e-18,5.41032034422001e-16
"St8sia2",4.0288566462448,0.389866802856554,407.340223404449,1.6928917050365e-18,6.24197386508707e-16
"Mir3070b",4.51931892427996,0.353943441478029,405.888858242903,1.77603388031958e-18,6.4411799236574e-16
"Ecel1",6.49921304489406,0.74958080529027,399.306326350949,2.21192960464103e-18,7.89266429733444e-16
"Dync1i1",3.48294959339915,0.437967102193376,387.603317045388,3.29554357374324e-18,1.15725889653844e-15
"Nhlh1",3.33430652305591,0.258049871481485,386.904165276674,3.37617952114138e-18,1.16705030540954e-15
"Kcns2",4.50690620393804,0.491114804234678,385.241249480695,3.57657397076718e-18,1.21730070700434e-15
"Gpr12",5.1501859276613,0.583170166628486,363.887132386927,7.66153060671036e-18,2.5681218426099e-15
"Abcc8",2.64463840215376,0.261063369841236,359.904338151623,8.87186960739473e-18,2.92943837797602e-15
"Isl1",3.69913465540459,0.355369401573451,349.348806108495,1.31842995815789e-17,4.28935675945985e-15
"L3mbtl1",3.14834212638549,0.406256262953351,344.166522323878,1.6080258397085e-17,5.15570371766247e-15
