"","DEG_edgeRnames","DEG_Limmanames","DEG_Simplenames"
"DEG_edgeRnames",0,2.05634236060898e-213,1
"DEG_Limmanames",2.05634236060906e-213,0,1
"DEG_Simplenames",1,1,0
