"","DEG_edgeRnames","DEG_Limmanames","DEG_Simplenames"
"DEG_edgeRnames",1.77280124847521e-277,8.21520214124433e-107,1
"DEG_Limmanames",8.2152021412444e-107,0,1
"DEG_Simplenames",1,1,0
