"","HuAgeMSNDsplit_11....HuAgeMSNDsplitRnaseq_01__"
"1","BCL7B"
"2","CDC25B"
"3","CDC42BPB"
"4","CPNE1"
"5","DGAT1"
"6","DGKD"
"7","DPF3"
"8","DRG2"
"9","DVL3"
"10","ERCC3"
"11","FAM50A"
"12","FASN"
"13","NR1H2"
"14","NUP214"
"15","PIAS3"
"16","PREB"
"17","RING1"
"18","RPS6KB2"
"19","SETDB1"
"20","SF1"
"21","SKIV2L"
"22","SNRPA"
"23","TAOK2"
"24","TESK1"
"25","TRIM28"
"26","UBAP1"
"27","VPS72"
"28","ZFPL1"
