"","HuAgeMSNDsplit_02....HuAgeMSNDsplitRnaseq_11__"
"1","ABCC5"
"2","ADRB3"
"3","ARHGAP6"
"4","CROT"
"5","DAD1"
"6","DICER1"
"7","HP1BP3"
"8","IL3RA"
"9","MC4R"
"10","MINPP1"
"11","MOS"
"12","NEK4"
"13","OPRK1"
"14","P2RX7"
"15","PCNA"
"16","PIAS4"
"17","PPIC"
"18","RAD52"
"19","RALA"
"20","RASA2"
"21","RFX1"
"22","TGDS"
"23","TRIP13"
"24","TWSG1"
"25","UPF3B"
