"","astro_SRR1033783","astro_SRR1033784","endo_SRR1033795","endo_SRR1033796","macrophages_SRR1106141","macrophages_SRR1106142","macrophages_SRR1106143","macrophages_SRR1106169","macrophages_SRR1106186","macrophages_SRR1106188","microglia_SRR1033793","microglia_SRR1033794","microglia_SRR1106118","microglia_SRR1106122","microglia_SRR5483445","microglia_SRR5483446","microglia_SRR5483447","monocytes_SRR5483448","monocytes_SRR5483449","monocytes_SRR5483450","monocytes_SRR5483451","monocytes_SRR5483452","myeoligo_SRR1033791","myeoligo_SRR1033792","neuron_SRR1033785","neuron_SRR1033786","newoligo_SRR1033789","newoligo_SRR1033790","preoligo_SRR1033787","preoligo_SRR1033788"
"","Min.   :0.00000  ","Min.   :0.00000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.00000  ","Min.   : 0.0000  ","Min.   : 0.00000  ","Min.   : 0.00000  ","Min.   : 0.00000  ","Min.   : 0.00000  ","Min.   : 0.000000  ","Min.   : 0.000000  ","Min.   :0.0000  ","Min.   :0.0000  ","Min.   : 0.0000  ","Min.   : 0.00000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.00000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   :0.0000  ","Min.   : 0.00000  ","Min.   : 0.000  ","Min.   : 0.00000  ","Min.   :0.0000  ","Min.   : 0.00000  ","Min.   :0.00000  ","Min.   :0.000000  "
"","1st Qu.:0.09463  ","1st Qu.:0.08187  ","1st Qu.: 2.068  ","1st Qu.: 2.129  ","1st Qu.: 0.00000  ","1st Qu.: 0.0000  ","1st Qu.: 0.00000  ","1st Qu.: 0.00000  ","1st Qu.: 0.00000  ","1st Qu.: 0.00000  ","1st Qu.: 0.008686  ","1st Qu.: 0.006888  ","1st Qu.:0.0000  ","1st Qu.:0.0000  ","1st Qu.: 0.1323  ","1st Qu.: 0.04633  ","1st Qu.: 0.0000  ","1st Qu.: 0.0000  ","1st Qu.: 0.09132  ","1st Qu.: 0.2405  ","1st Qu.: 0.2860  ","1st Qu.: 0.3103  ","1st Qu.:0.0000  ","1st Qu.: 0.00000  ","1st Qu.: 0.111  ","1st Qu.: 0.03363  ","1st Qu.:0.0000  ","1st Qu.: 0.00000  ","1st Qu.:0.07459  ","1st Qu.:0.002347  "
"","Median :0.66846  ","Median :0.68286  ","Median : 3.766  ","Median : 3.745  ","Median : 0.07111  ","Median : 0.0601  ","Median : 0.07383  ","Median : 0.08638  ","Median : 0.08719  ","Median : 0.06411  ","Median : 0.233806  ","Median : 0.320246  ","Median :0.1566  ","Median :0.1902  ","Median : 0.6669  ","Median : 0.40425  ","Median : 0.5691  ","Median : 0.5257  ","Median : 0.64825  ","Median : 0.8302  ","Median : 0.8127  ","Median : 0.8663  ","Median :0.0370  ","Median : 0.09904  ","Median : 0.571  ","Median : 0.39025  ","Median :0.1060  ","Median : 0.08543  ","Median :0.55969  ","Median :0.377032  "
"","Mean   :1.35690  ","Mean   :1.38490  ","Mean   : 4.131  ","Mean   : 4.131  ","Mean   : 0.97613  ","Mean   : 0.9250  ","Mean   : 0.95664  ","Mean   : 0.97879  ","Mean   : 0.92112  ","Mean   : 0.97607  ","Mean   : 1.043478  ","Mean   : 1.101978  ","Mean   :0.7379  ","Mean   :0.8386  ","Mean   : 1.4509  ","Mean   : 1.29470  ","Mean   : 1.4096  ","Mean   : 1.8392  ","Mean   : 1.74781  ","Mean   : 1.8763  ","Mean   : 1.6803  ","Mean   : 1.7193  ","Mean   :0.5258  ","Mean   : 0.61586  ","Mean   : 1.217  ","Mean   : 1.03177  ","Mean   :0.6855  ","Mean   : 0.67437  ","Mean   :1.18763  ","Mean   :1.119205  "
"","3rd Qu.:2.04583  ","3rd Qu.:2.15616  ","3rd Qu.: 5.692  ","3rd Qu.: 5.672  ","3rd Qu.: 0.88774  ","3rd Qu.: 0.8876  ","3rd Qu.: 0.91083  ","3rd Qu.: 0.92441  ","3rd Qu.: 0.92279  ","3rd Qu.: 0.98449  ","3rd Qu.: 1.207896  ","3rd Qu.: 1.374848  ","3rd Qu.:0.7528  ","3rd Qu.:0.9501  ","3rd Qu.: 2.1240  ","3rd Qu.: 1.87501  ","3rd Qu.: 2.1298  ","3rd Qu.: 2.9980  ","3rd Qu.: 2.75439  ","3rd Qu.: 2.9423  ","3rd Qu.: 2.5609  ","3rd Qu.: 2.5983  ","3rd Qu.:0.3903  ","3rd Qu.: 0.54033  ","3rd Qu.: 1.786  ","3rd Qu.: 1.39761  ","3rd Qu.:0.6426  ","3rd Qu.: 0.66231  ","3rd Qu.:1.63627  ","3rd Qu.:1.488463  "
"","Max.   :9.27555  ","Max.   :9.09721  ","Max.   :14.359  ","Max.   :14.309  ","Max.   :13.34426  ","Max.   :13.0931  ","Max.   :13.11720  ","Max.   :13.20020  ","Max.   :12.75395  ","Max.   :12.99153  ","Max.   :10.688154  ","Max.   :10.708996  ","Max.   :8.7147  ","Max.   :9.0373  ","Max.   :11.1295  ","Max.   :11.00704  ","Max.   :11.0807  ","Max.   :14.4182  ","Max.   :13.89269  ","Max.   :13.9214  ","Max.   :13.1769  ","Max.   :13.2122  ","Max.   :9.9675  ","Max.   :10.17854  ","Max.   :11.490  ","Max.   :11.52528  ","Max.   :9.9121  ","Max.   :10.28522  ","Max.   :9.23349  ","Max.   :9.826424  "
