"","astro_SRR1033783","astro_SRR1033784","endo_SRR1033795","endo_SRR1033796","macrophages_SRR1106141","macrophages_SRR1106142","macrophages_SRR1106143","macrophages_SRR1106169","macrophages_SRR1106186","macrophages_SRR1106188","microglia_SRR1033793","microglia_SRR1033794","microglia_SRR1106118","microglia_SRR1106122","microglia_SRR5483445","microglia_SRR5483446","microglia_SRR5483447","monocytes_SRR5483448","monocytes_SRR5483449","monocytes_SRR5483450","monocytes_SRR5483451","monocytes_SRR5483452","myeoligo_SRR1033791","myeoligo_SRR1033792","neuron_SRR1033785","neuron_SRR1033786","newoligo_SRR1033789","newoligo_SRR1033790","preoligo_SRR1033787","preoligo_SRR1033788"
"","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 2.125  ","Min.   : 2.396  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   :0.00000  ","Min.   :0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.00000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   :0.00000  ","Min.   : 0.00000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   :0.00000  ","Min.   : 0.00000  ","Min.   :0.0000  ","Min.   :0.0000  "
"","1st Qu.: 0.5396  ","1st Qu.: 0.5753  ","1st Qu.: 3.921  ","1st Qu.: 4.006  ","1st Qu.: 0.000  ","1st Qu.: 0.0000  ","1st Qu.: 0.0000  ","1st Qu.: 0.0000  ","1st Qu.: 0.000  ","1st Qu.: 0.0000  ","1st Qu.: 0.1372  ","1st Qu.: 0.2246  ","1st Qu.:0.04242  ","1st Qu.:0.0000  ","1st Qu.: 0.2852  ","1st Qu.: 0.1339  ","1st Qu.: 0.2137  ","1st Qu.: 0.07534  ","1st Qu.: 0.2037  ","1st Qu.: 0.2719  ","1st Qu.: 0.3667  ","1st Qu.: 0.3563  ","1st Qu.:0.01379  ","1st Qu.: 0.06499  ","1st Qu.: 0.4443  ","1st Qu.: 0.2205  ","1st Qu.:0.04067  ","1st Qu.: 0.01748  ","1st Qu.:0.4314  ","1st Qu.:0.2289  "
"","Median : 1.5642  ","Median : 1.6112  ","Median : 5.215  ","Median : 5.141  ","Median : 0.162  ","Median : 0.1247  ","Median : 0.1782  ","Median : 0.1659  ","Median : 0.146  ","Median : 0.1303  ","Median : 0.6340  ","Median : 0.8586  ","Median :0.41622  ","Median :0.4861  ","Median : 0.9344  ","Median : 0.6396  ","Median : 0.8950  ","Median : 1.03516  ","Median : 0.9308  ","Median : 0.9184  ","Median : 0.9169  ","Median : 1.0431  ","Median :0.20330  ","Median : 0.32098  ","Median : 1.3746  ","Median : 0.9162  ","Median :0.28565  ","Median : 0.27606  ","Median :1.2235  ","Median :1.0301  "
"","Mean   : 2.2234  ","Mean   : 2.2737  ","Mean   : 5.581  ","Mean   : 5.537  ","Mean   : 1.284  ","Mean   : 1.2072  ","Mean   : 1.2462  ","Mean   : 1.2760  ","Mean   : 1.169  ","Mean   : 1.2679  ","Mean   : 1.5601  ","Mean   : 1.6679  ","Mean   :1.01827  ","Mean   :1.1659  ","Mean   : 1.7942  ","Mean   : 1.6312  ","Mean   : 1.7876  ","Mean   : 2.19374  ","Mean   : 2.0627  ","Mean   : 2.1080  ","Mean   : 1.9028  ","Mean   : 1.9478  ","Mean   :0.80919  ","Mean   : 0.97615  ","Mean   : 1.8401  ","Mean   : 1.5728  ","Mean   :1.05311  ","Mean   : 1.03324  ","Mean   :1.8291  ","Mean   :1.7554  "
"","3rd Qu.: 3.1365  ","3rd Qu.: 3.2777  ","3rd Qu.: 6.692  ","3rd Qu.: 6.639  ","3rd Qu.: 1.470  ","3rd Qu.: 1.3302  ","3rd Qu.: 1.3383  ","3rd Qu.: 1.5000  ","3rd Qu.: 1.248  ","3rd Qu.: 1.5224  ","3rd Qu.: 2.2853  ","3rd Qu.: 2.5065  ","3rd Qu.:1.21347  ","3rd Qu.:1.4894  ","3rd Qu.: 2.6256  ","3rd Qu.: 2.5182  ","3rd Qu.: 2.7624  ","3rd Qu.: 3.65744  ","3rd Qu.: 3.1181  ","3rd Qu.: 3.2407  ","3rd Qu.: 2.6607  ","3rd Qu.: 2.8744  ","3rd Qu.:0.75980  ","3rd Qu.: 1.13327  ","3rd Qu.: 2.6240  ","3rd Qu.: 2.3041  ","3rd Qu.:1.34595  ","3rd Qu.: 1.28344  ","3rd Qu.:2.7693  ","3rd Qu.:2.7091  "
"","Max.   :12.8390  ","Max.   :13.2748  ","Max.   :14.359  ","Max.   :14.309  ","Max.   :13.344  ","Max.   :13.0931  ","Max.   :13.1172  ","Max.   :13.2002  ","Max.   :12.754  ","Max.   :12.9915  ","Max.   :10.6882  ","Max.   :10.7090  ","Max.   :8.71474  ","Max.   :9.0373  ","Max.   :11.1295  ","Max.   :11.0070  ","Max.   :11.0807  ","Max.   :14.41818  ","Max.   :13.8927  ","Max.   :13.9214  ","Max.   :13.1769  ","Max.   :13.2122  ","Max.   :9.96753  ","Max.   :10.17854  ","Max.   :11.4903  ","Max.   :11.5253  ","Max.   :9.91213  ","Max.   :10.28522  ","Max.   :9.2335  ","Max.   :9.8264  "
