"","ref.A.inColumnsAlsoPresentIn.A","ref.A.inColumnsAlsoPresentIn.B.moduleSize","ref.A.inColumnsAlsoPresentIn.B.Zsummary.pres","ref.A.inColumnsAlsoPresentIn.B.Zdensity.pres","ref.A.inColumnsAlsoPresentIn.B.Zconnectivity.pres","ref.A.inColumnsAlsoPresentIn.B.Z.propVarExplained.pres","ref.A.inColumnsAlsoPresentIn.B.Z.meanSignAwareKME.pres","ref.A.inColumnsAlsoPresentIn.B.Z.meanSignAwareCorDat.pres","ref.A.inColumnsAlsoPresentIn.B.Z.meanAdj.pres","ref.A.inColumnsAlsoPresentIn.B.Z.meanMAR.pres","ref.A.inColumnsAlsoPresentIn.B.Z.cor.kIM","ref.A.inColumnsAlsoPresentIn.B.Z.cor.kME","ref.A.inColumnsAlsoPresentIn.B.Z.cor.kMEall","ref.A.inColumnsAlsoPresentIn.B.Z.cor.cor","ref.A.inColumnsAlsoPresentIn.B.Z.cor.MAR"
"gold",NA,100,1.38299637104319,-0.747691782993363,3.51368452507974,-0.458899476933872,-1.23075924018438,6.03825769357198,-1.03648408905285,-0.850259944986339,3.51368452507974,0.204172541718367,9.72253202903418,8.68481892777676,3.88546844954862
"HuAgeMSNDsplit_00",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HuAgeMSNDsplit_01",NA,1561,9.30365048297254,4.20038064213637,14.4069203238087,3.1175696324325,5.28319165184025,25.6425632528928,-1.64207161800767,-2.39693514046483,8.5322815900984,14.4069203238087,17.3249233567591,47.1022780053632,2.29249868171109
"HuAgeMSNDsplit_02",NA,1161,1.91804691659221,1.041661670274,2.79443216291042,-3.25754558832983,5.34086892887784,19.6500831249368,-3.61370632621965,-2.99629380311776,2.79443216291042,2.27522359663127,7.22571056110216,32.0578964722594,5.52397187189718
"HuAgeMSNDsplit_03",NA,625,9.16445873085653,5.59683267528923,12.7320847864238,4.6166050913648,-3.70403685566393,10.2265591819056,6.57706025921367,-0.0869477071646878,12.7320847864238,4.26153525365735,10.3637878198773,25.4311283083169,13.0918919673637
"HuAgeMSNDsplit_04",NA,282,28.6550307095616,45.0770757833188,12.2329856358044,23.1037697498101,17.9973969171852,67.0503818168275,101.504388655481,11.7064078653188,9.20379904778141,12.2329856358044,33.0857968634605,38.3036560547428,11.7125266748283
"HuAgeMSNDsplit_05",NA,252,2.97814672957253,-1.28322154888589,7.23951500803094,-1.58525237226544,-2.9315962002879,5.85634911475187,-0.981190725506327,-0.384685369893655,1.772681960439,7.23951500803094,7.53152718603,17.840982859124,0.502962213725342
"HuAgeMSNDsplit_06",NA,197,17.2815927529616,15.417126773989,19.1460587319343,10.5408366573007,6.1680771932457,20.2934168906772,33.3637546636467,6.4419314384385,8.42527630522155,19.1460587319343,23.2167943922915,38.8251446070254,7.88851611684317
"HuAgeMSNDsplit_07",NA,165,12.0939968515962,16.776427151449,7.41156655174337,11.4341185521572,12.432494848938,32.3377416617964,21.12035945396,2.98333455174565,5.14117078658872,7.41156655174337,34.8780697801981,21.2860553951636,3.78157454779709
"HuAgeMSNDsplit_08",NA,137,30.8360063594589,50.4502756029725,11.2217371159453,33.7405610894253,16.1360793466362,67.1599901165197,195.332601410464,15.1055112106244,8.19622603212917,11.2217371159453,52.0659061960142,32.3960134405101,6.82281143409964
"HuAgeMSNDsplit_09",NA,148,6.11934912795865,9.03702418199854,3.20167407391875,8.95521120196511,6.29865368578318,14.0271774239378,9.11883716203197,0.693437504682043,3.20167407391875,3.06605034876066,13.3070249799199,15.4304417805108,3.64632275117064
"HuAgeMSNDsplit_10",NA,121,16.591785814295,26.5065691714683,6.67700245712172,15.9338074615502,13.1090336148814,41.4725531639322,37.0793308813865,4.06753559757252,5.3222816745598,6.67700245712172,27.4902401134651,19.242944796882,4.52218848818821
"HuAgeMSNDsplit_11",NA,124,2.57985387281733,2.27757635201905,2.88213139361562,1.01215492521877,3.54299777881933,8.80183718445882,0.0656511766706386,-1.45453466592419,1.93998179770568,2.88213139361562,11.5515711842308,14.5177551762247,1.97758233798759
"HuAgeMSNDsplit_12",NA,103,1.97702899671246,2.90060680393174,1.05345118949319,2.80540503482579,2.99580857303769,6.82359681356419,1.3984099524831,-0.37182239123563,1.05345118949319,0.304210787972527,12.9860006277894,6.32805973594835,-0.0787236175066889
"HuAgeMSNDsplit_13",NA,95,0.27737765986856,-0.392168033773301,0.946923353510422,-0.840910099442224,0.0565740318956219,4.19372844105851,-1.19317879324609,-1.19815044591249,-0.271979600949955,0.946923353510422,-0.072864015182152,6.58080245920042,-0.613837323014362
"HuAgeMSNDsplit_14",NA,84,14.4822442577342,21.5799775763251,7.38451093914326,18.3332896140445,10.4772254650925,33.8022583779753,24.8266655386057,4.19595737937744,4.65676242230305,7.38451093914326,36.1201767363283,20.2372816997708,2.02560133061309
"HuAgeMSNDsplit_15",NA,85,4.9939800258162,4.72378576891042,5.26417428272199,1.75056520451379,3.18386203857224,9.31903640025661,6.2637094992486,3.45875516304958,4.74810185814013,5.26417428272199,4.48767463867667,12.7245099700997,6.35609624806106
"HuAgeMSNDsplit_16",NA,71,11.6452939945038,16.6800406874044,6.61054730160333,12.7073711084625,6.99540999663772,20.6527102663462,64.70191768901,10.5077662133189,6.10549689749882,6.61054730160333,4.34005117837157,19.7075960325493,6.16409413549183
"HuAgeMSNDsplit_17",NA,73,1.35562272277254,1.29473225506022,1.41651319048485,1.06008058147803,1.52938392864241,3.68075916443173,0.133521173566092,-0.498604940617789,1.41651319048485,1.17320415016818,3.58086998499951,4.97374671283277,0.366962596566804
"HuAgeMSNDsplit_18",NA,57,1.60610042730575,0.754297513246331,2.45790334136517,1.45222428694993,-1.23318859390583,0.934820281210641,0.57377474528202,-0.266567587423634,2.45790334136517,0.868612959000271,10.3756690596642,3.02402204174248,3.66736004216837
"HuAgeMSNDsplit_19",NA,47,33.6330543549397,60.8922855667473,6.37382314313205,45.4255805814694,13.7165808105069,76.3589905520252,699.076782615033,34.113293680857,2.43265302231565,6.37382314313205,35.0229747778497,13.451354704159,1.46044135763007
"HuAgeMSNDsplit_20",NA,50,17.7964140499641,31.7093724963596,3.88345560356854,22.9204847758732,11.1079069182662,40.498260216846,83.750871765691,7.87071258189728,3.88345560356854,3.53975895778969,40.1799372174166,9.89172499291177,2.95345485447006
"HuAgeMSNDsplit_21",NA,31,6.73091364408353,9.09279318873453,4.36903409943254,8.20120813887012,5.40307751094049,11.4479740916971,9.98437823859893,2.80600217853601,2.54530411097198,4.36903409943254,8.97879140150668,9.3988918299071,2.56463183223896
"HuAgeMSNDsplit_22",NA,23,9.93947939935891,17.2846653330861,2.59429346563176,14.3108314955915,7.00585354527655,20.2584991705806,51.0267018060146,10.7653199326846,1.01588716298895,2.59429346563176,13.5886816266309,6.13807135828237,0.841550419778109
