"","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.832638842871112,0.837688683881834,0.838464833785429,0.933156150837301,0.725736343888027,0.837688683881834,0.732765700591432,0.766180978807155,0.680808234501927,NA,0,0,0,0,0,0,0,0,0
"microglia",0.832638842871112,1,0.66205998171359,0.859091419452683,0.848812648807543,0.679433249298628,0.66205998171359,0.638703309830814,0.960006388566011,0.701574712490401,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.837688683881834,0.66205998171359,1,0.43374239235349,0.913049353840374,0.318310817016243,1,0.312939384685662,0.540884876108142,0.320334552595237,0,0,NA,0,0,1.54000412422306e-09,0,2.97990032649409e-09,0,1.19681797805526e-09
"mouse_C57BL6",0.838464833785429,0.859091419452683,0.43374239235349,1,0.701417609755194,0.886730760843332,0.43374239235349,0.882323296577865,0.865587329552963,0.840755413090597,0,0,0,NA,0,0,0,0,0,0
"No_data",0.933156150837301,0.848812648807543,0.913049353840374,0.701417609755194,1,0.46871082931417,0.913049353840374,0.473382178595359,0.750444740139662,0.664371239990715,0,0,0,0,NA,0,0,0,0,0
"5_months",0.725736343888027,0.679433249298628,0.318310817016243,0.886730760843332,0.46871082931417,1,0.318310817016243,0.975538031811964,0.715321991285687,0.532079053185666,0,0,1.54000412422306e-09,0,0,NA,1.54000412422306e-09,0,0,0
"cerebral_cortex",0.837688683881834,0.66205998171359,1,0.43374239235349,0.913049353840374,0.318310817016243,1,0.312939384685662,0.540884876108142,0.320334552595237,0,0,0,0,0,1.54000412422306e-09,NA,2.97990032649409e-09,0,1.19681797805526e-09
"peritoneum",0.732765700591432,0.638703309830814,0.312939384685662,0.882323296577865,0.473382178595359,0.975538031811964,0.312939384685662,1,0.641022072171232,0.549083658724932,0,0,2.97990032649409e-09,0,0,0,2.97990032649409e-09,NA,0,0
"brain",0.766180978807155,0.960006388566011,0.540884876108142,0.865587329552963,0.750444740139662,0.715321991285687,0.540884876108142,0.641022072171232,1,0.683099485047791,0,0,0,0,0,0,0,0,NA,0
"blood",0.680808234501927,0.701574712490401,0.320334552595237,0.840755413090597,0.664371239990715,0.532079053185666,0.320334552595237,0.549083658724932,0.683099485047791,1,0,0,1.19681797805526e-09,0,0,0,1.19681797805526e-09,0,0,NA
