"","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1010001N08Rik",0.350514133944096,0,0.00333652518061363,0.500944608011601,0.00212324329675413,1.0018892160232,0.00333652518061363,1.33585228803093,0,0
"1600002K03Rik",4.84878037322634,5.05055590306255,3.89188899092193,5.77433712704604,4.18682347978541,6.84571541879558,3.89188899092193,7.29950995486443,5.22455351978671,4.49391334092331
"1700007G11Rik",0.521512705831026,0.427843450084544,0.0131928366695269,0.925312291958252,0.125114397977971,1.52964745364876,0.0131928366695269,1.60046698116794,0.598211735616469,0.442227221248416
"1700019N19Rik",0.372111043277348,0.0604011552802154,0.0220280896209126,0.542060551727983,0.116932831160831,0.801104974600276,0.0220280896209126,0.997671951640117,0.0845616173923016,0.452825806169103
"1700020L24Rik",1.86713103437947,1.19739336953832,1.50169791344946,1.89387478682522,1.20936363258931,3.0899709325664,1.50169791344946,3.51675584839795,0.7238464740287,1.11644582573448
"1700025O08Rik",1.24023877356083,0.60480104334466,0,2.04744369345698,0.241301438065035,3.43130843223511,0,4.07264613175454,0.846721460682524,0.817923000274371
"1700109G15Rik",1.41679220375724,0.972947523142581,0,2.46230333427592,0.191650457025482,4.39756791173176,0,4.97534734687125,1.36212653239961,0.546827321037822
"1810064F22Rik",0.471033465784116,0.576487332639582,0.000841185852865264,0.928587777473227,0.0852724727322024,1.62414833017541,0.000841185852865264,1.54054807949679,0.804726945307393,0.318096247210787
"2010008C14Rik",4.00050673680032,6.43952447856482,0.98700796103921,7.70438842761326,2.71598239974719,9.66708918774036,0.98700796103921,10.2360862835387,6.91553943762354,5.45519999049249
"2010107E04Rik",6.81446558343334,6.18888731807477,5.79031486132888,7.43690697418037,5.73920405108454,9.2240538152038,5.79031486132888,9.62073912699242,6.68923530360734,5.56398006137894
"2010109P13Rik",0.239314235333487,0,0.393159100905014,0,0.250192155121372,0,0.393159100905014,0,0,0
"2010110G14Rik",0.70420970951803,0.373070529063965,0.0305055967208255,1.14882741676693,0.144371800091041,1.95401717754495,0.0305055967208255,2.38539081874383,0.473587798805568,0.340190952356022
"2200002J24Rik",0.563217455478315,0.0394015160490446,0.0159351789761239,0.812919973917427,0.190621078304923,1.12951854570453,0.0159351789761239,1.50602472760604,0.0551621224686624,0.738952120939853
"2900092C05Rik",0.861497153763639,0.410115813305795,0.0483371369708991,1.37553283200698,0.13268320811436,2.47077683139854,0.0483371369708991,2.86210275122141,0.558533966528699,0.40864779442794
"4631405K08Rik",0.22550570644392,0,0.00654987992735333,0.318433308076701,0.0906920854926079,0.398925670921598,0.00654987992735333,0.53190089456213,0,0.380705512370885
