"","other","microglia"
"1010001N08Rik",0.350514133944096,0
"1600002K03Rik",4.84878037322634,5.05055590306255
"1700007G11Rik",0.521512705831026,0.427843450084544
"1700019N19Rik",0.372111043277348,0.0604011552802154
"1700020L24Rik",1.86713103437947,1.19739336953832
"1700025O08Rik",1.24023877356083,0.60480104334466
"1700109G15Rik",1.41679220375724,0.972947523142581
"1810064F22Rik",0.471033465784116,0.576487332639582
"2010008C14Rik",4.00050673680032,6.43952447856482
"2010107E04Rik",6.81446558343334,6.18888731807477
"2010109P13Rik",0.239314235333487,0
"2010110G14Rik",0.70420970951803,0.373070529063965
"2200002J24Rik",0.563217455478315,0.0394015160490446
"2900092C05Rik",0.861497153763639,0.410115813305795
"4631405K08Rik",0.22550570644392,0
"4833403J16Rik",1.15946756913459,0.623276655317085
"4921517D22Rik",0.202054605907636,0.0555889070243089
"4930435E12Rik",0.273362435711178,0.0852380069707693
"4930455G09Rik",2.89578270775552,0.180595379428883
"4930555A03Rik",1.37964565696981,0.160273851165302
"4930563E18Rik",0.410613631887494,0.164351623737872
"4933417E11Rik",0.525829785251749,0
"4933422A05Rik",0.645136707879094,0.633940622730986
"6030443J06Rik",0.563234721193364,0.365392568141639
"9530051G07Rik",0.794618984716819,0.393301479729129
"A4galt",0.559218030839795,0.283239231020698
"AC107452.2",0.132756955894314,0.278379168112737
"AC107452.3",0.817860117931804,0.481639995963863
"AC117194.1",0.350913343257483,0.288364277931159
"AC121567.1",2.30341343982113,1.87959752057789
"AC124408.1",0.202519956598549,0
"AC130673.2",0.15449982744362,0.128883404369421
"AC149294.3",0.859973544657753,0.91992898246063
"AC154276.3",1.3502299878937,0.972859405926194
"AC155167.2",0.768638509203779,0
"AC158986.1",0.57882723504606,0.450720952555204
"AL591952.1",0.219062682596118,0.126050993857494
"Adamtsl5",1.3619955670045,0.397683853667639
"Aipl1",0.303573154484838,0.124753760967681
"Akr1c12",0.417297941532463,0.0640256595911852
"Akr1c13",1.98913173987085,0.92553166813649
"Aldh1a2",0.956832553390269,0.113903590219371
"Alkal1",0.464053020731138,0.327850042847989
"Alox15",3.36010903801359,0.643542865941254
"Alox5ap",3.9537812362014,5.40102410182663
"Ambp",0.389007420631299,0.0720891997592043
"Anpep",0.754480908075548,0.213403982017883
"Apoc1",2.69287323747115,1.37780255893853
"Apon",0.238711720762702,0
"Arfip1",1.01743873708162,0.730770759956209
"Arg1",2.58581380066447,0.702661626827612
"Arhgdib",3.36282116247575,3.82452401462527
"Ascl2",2.22648928830236,2.81450728388952
"Asf1b",2.20452817493705,1.60654298597122
"Asz1",0.426624821805976,0.0408185940174974
"Atox1",5.79554888930481,5.87573249920967
"Atp5e",8.06310133038609,7.32799254599848
"Atp5g1",5.15416148557023,4.87100820273905
"Atp5g2",4.15648897126123,4.11031249326019
"Atp5k",8.79349847374304,7.56347782312028
"Atp5l",5.13960064564371,4.83149738119221
"Atpif1",6.84449086906156,6.57822852310049
"B230377A18Rik",0.963734781185069,0.360398138275449
"B3gnt3",0.876634626623803,0.524456395502017
"Bcam",3.70777344598754,1.25615603397309
"Best3",0.340870684073412,0.074926494958905
"Birc5",3.6138026325137,1.25430331238494
"Bri3",1.80187909071989,1.69709660883345
"Bst1",2.35365180996239,0.34762849327933
"C1ra",1.99210223440934,1.24443999681237
"C1rb",0.300694241112006,0.0423608246633776
"C4a",1.62287411378624,0.319441673918306
"CT009550.1",0.456944273575584,0.117551871517406
"CT025525.1",0.159334316159006,0
"Calml4",1.99774364515058,0.845756184683297
"Car6",0.847077386945212,0.0405699491411907
"Card9",1.69240257870173,2.5313318792627
"Ccdc68",0.333411198150772,0.305487062493054
"Ccl24",3.45815819131363,4.64232876892125
"Ccl26",0.430232213512224,0.0679529188612309
"Ccm2l",1.56497697134249,0.475194242410605
"Ccnb1",2.5795549712086,1.07695936572444
"Ccnb2",2.8190932754566,0.973631220961872
"Cd209b",1.32557198534537,1.23366888827984
"Cd24a",5.97610221047098,2.20349174720032
"Cd36",2.05359522140101,0.444363650513545
"Cd38",2.14472039507522,0.705849394390344
"Cd5l",3.22764437890317,0.724781717246912
"Cdkn2a",1.15719000627193,0.116878896062252
"Cebpb",7.51754762684598,8.52035366523268
"Cfb",1.8490161905603,0.0910168911978681
"Cfp",7.02575965441183,3.35112107634038
"Cks1b",4.73910877651233,3.62277761130502
"Clec18a",0.424849471756457,0.255660266755208
"Clec4d",3.07375020163862,0.804600310468448
"Cma1",1.40620046522083,0.403940204579438
"Colca2",1.31536713912876,0.781738233736046
"Cops9",6.72993286090535,6.36764130688368
"Cotl1",5.59826143517702,5.93430827249921
"Cox7a1",2.72394877348366,1.33177906592502
"Cox7b",6.78132983544561,5.70582179116043
"Cpa3",0.677610693202717,0.0840424826710096
"Crip1",6.40973717702397,3.88221276209658
"Crlf2",6.00007212224239,5.48971264099258
"Cryl1",2.13054738069179,3.1755151226195
"Ctsr",0.292533223203289,0.0519114436307819
"Cxcl13",2.91926162842297,0.788253294136443
"Cyp21a2-ps",0.174879920049113,0.109258335091647
"Cyp26a1",1.28749370117056,0.109297059176116
"Cyp26c1",0.339891297027202,0.0229799583720135
"Cyp2e1",1.44145206614004,0.675912747740957
"Cyp2j14-ps",0.359785336891459,0.048374102471674
"D130058E05Rik",1.00073771150545,0.00913225986919824
"Ddt",3.60947661692798,3.7676220596793
"Dhrs3",3.79160269789677,4.89529012935418
"Dnah12",1.01436638389165,0.0675523140086818
"E230032D23Rik",0.386551655896491,0.115532312658661
"Ecm1",6.37761310754132,1.96240707565187
"Engase",3.76973455339109,4.52631274842828
