"","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.854810598170569,0.860414089848203,0.843266870989494,0.951374715548918,0.730736046826332,0.860414089848203,0.749406949496661,0.792980671743131,0.703182896138548,NA,0,0,0,0,0,0,0,0,0
"microglia",0.854810598170569,1,0.672834534999108,0.890942451873033,0.852656725505241,0.743731970754483,0.672834534999108,0.725290626771864,0.960899874874545,0.722728991262397,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.860414089848203,0.672834534999108,1,0.47509031231948,0.917171262619111,0.368936758589754,1,0.378052938428734,0.552673939211936,0.362756765382785,0,0,NA,0,0,1.34647848426539e-12,0,3.37063710276198e-13,0,3.35953487251572e-12
"mouse_C57BL6",0.843266870989494,0.890942451873033,0.47509031231948,1,0.734438262943095,0.891120549809234,0.47509031231948,0.897999656800276,0.90235031787994,0.853905913565894,0,0,0,NA,0,0,0,0,0,0
"No_data",0.951374715548918,0.852656725505241,0.917171262619111,0.734438262943095,1,0.520700557137523,0.917171262619111,0.544104065794607,0.756646031204579,0.691119880638989,0,0,0,0,NA,0,0,0,0,0
"5_months",0.730736046826332,0.743731970754483,0.368936758589754,0.891120549809234,0.520700557137523,1,0.368936758589754,0.975439591741417,0.789056493564531,0.558313868116727,0,0,1.34647848426539e-12,0,0,NA,1.34647848426539e-12,0,0,0
"cerebral_cortex",0.860414089848203,0.672834534999108,1,0.47509031231948,0.917171262619111,0.368936758589754,1,0.378052938428734,0.552673939211936,0.362756765382785,0,0,0,0,0,1.34647848426539e-12,NA,3.37063710276198e-13,0,3.35953487251572e-12
"peritoneum",0.749406949496661,0.725290626771864,0.378052938428734,0.897999656800276,0.544104065794607,0.975439591741417,0.378052938428734,1,0.73745631213308,0.589442070713077,0,0,3.37063710276198e-13,0,0,0,3.37063710276198e-13,NA,0,0
"brain",0.792980671743131,0.960899874874545,0.552673939211936,0.90235031787994,0.756646031204579,0.789056493564531,0.552673939211936,0.73745631213308,1,0.706283354924402,0,0,0,0,0,0,0,0,NA,0
"blood",0.703182896138548,0.722728991262397,0.362756765382785,0.853905913565894,0.691119880638989,0.558313868116727,0.362756765382785,0.589442070713077,0.706283354924402,1,0,0,3.35953487251572e-12,0,0,0,3.35953487251572e-12,0,0,NA
