"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.312939384685662,0.540884876108142,0.320334552595237,NA,2.97990032649409e-09,0,1.19681797805526e-09
"peritoneum",0.312939384685662,1,0.641022072171232,0.549083658724932,2.97990032649409e-09,NA,0,0
"brain",0.540884876108142,0.641022072171232,1,0.683099485047791,0,0,NA,0
"blood",0.320334552595237,0.549083658724932,0.683099485047791,1,1.19681797805526e-09,0,0,NA
