"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.379321345990591,0.625874044985947,0.38299451644521,NA,0,0,0
"peritoneum",0.379321345990591,1,0.698220450008145,0.648224046414243,0,NA,0,0
"brain",0.625874044985947,0.698220450008145,1,0.703625261853083,0,0,NA,0
"blood",0.38299451644521,0.648224046414243,0.703625261853083,1,0,0,0,NA
