"","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.934631076826324,0.941586801161536,0.976485521427296,0.976435355253997,0.943110599069808,0.941586801161536,0.92848717051442,0.918530758367309,0.935083522470952,NA,0,0,0,0,0,0,0,0,0
"microglia",0.934631076826324,1,0.915619727266578,0.937392511657738,0.951800161662925,0.892257028667993,0.915619727266578,0.841176608917282,0.993076304550492,0.870088843688895,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.941586801161536,0.915619727266578,1,0.860791693070043,0.978391842856499,0.805468557573914,1,0.770774574942684,0.884097336715949,0.827956016067595,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.976485521427296,0.937392511657738,0.860791693070043,1,0.930704984574858,0.977357747972847,0.860791693070043,0.962357617600218,0.935093585771585,0.944966200262837,0,0,0,NA,0,0,0,0,0,0
"No_data",0.976435355253997,0.951800161662925,0.978391842856499,0.930704984574858,1,0.862800033144865,0.978391842856499,0.832400430079287,0.92993421453516,0.921339633845925,0,0,0,0,NA,0,0,0,0,0
"5_months",0.943110599069808,0.892257028667993,0.805468557573914,0.977357747972847,0.862800033144865,1,0.805468557573914,0.991090606649086,0.893224243195384,0.864622518432347,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.941586801161536,0.915619727266578,1,0.860791693070043,0.978391842856499,0.805468557573914,1,0.770774574942684,0.884097336715949,0.827956016067595,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.92848717051442,0.841176608917282,0.770774574942684,0.962357617600218,0.832400430079287,0.991090606649086,0.770774574942684,1,0.837327878227007,0.85383716371982,0,0,0,0,0,0,0,NA,0,0
"brain",0.918530758367309,0.993076304550492,0.884097336715949,0.935093585771585,0.92993421453516,0.893224243195384,0.884097336715949,0.837327878227007,1,0.861859467254986,0,0,0,0,0,0,0,0,NA,0
"blood",0.935083522470952,0.870088843688895,0.827956016067595,0.944966200262837,0.921339633845925,0.864622518432347,0.827956016067595,0.85383716371982,0.861859467254986,1,0,0,0,0,0,0,0,0,0,NA
