"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.511496758245472,NA,0
"mouse_C57BL6",0.511496758245472,1,0,NA
