"","cerebral_cortex","peritoneum","brain","blood","cerebral_cortex","peritoneum","brain","blood"
"cerebral_cortex",1,0.378052938428734,0.552673939211936,0.362756765382785,NA,3.37063710276198e-13,0,3.35953487251572e-12
"peritoneum",0.378052938428734,1,0.73745631213308,0.589442070713077,3.37063710276198e-13,NA,0,0
"brain",0.552673939211936,0.73745631213308,1,0.706283354924402,0,0,NA,0
"blood",0.362756765382785,0.589442070713077,0.706283354924402,1,3.35953487251572e-12,0,0,NA
