"","mouse_FVN_Swiss","mouse_C57BL6","mouse_FVN_Swiss","mouse_C57BL6"
"mouse_FVN_Swiss",1,0.43374239235349,NA,0
"mouse_C57BL6",0.43374239235349,1,0,NA
